pool_id,ticker,sigma_ada,declared_pledge_ada,active_pledge_ada,fixed_cost_ada,margin,declared_pledge_met,f_unsplit_ada,pi_unsplit_ada,f_half_ada,pi_half_ada,pi_split_sum_ada,delta_pi_ada,split_increases_pi,split_decreases_pi,f_unsplit_c50_ada,pi_unsplit_c50_ada,f_half_c50_ada,pi_half_c50_ada,pi_split_sum_c50_ada,delta_pi_c50_ada,split_increases_pi_c50,split_decreases_pi_c50
pool100wj94uzf54vup2hdzk0afng4dhjaqggt7j434mtgm8v2gfvfgp,,4419.361614,4000.0,0.0,340.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,False,False
pool102s2nqtea2hf5q0s4amj0evysmfnhrn4apyyhd4azcmsclzm96m,YULI,6712.196804,1.0,1497.271996,340.0,0.005,True,1.9934875375633383,1.9934875375633383,0.9967437668534695,0.9967437668534695,1.993487533706939,-3.856399199975158e-09,False,True,1.9934875375633383,1.9934875375633383,0.9967437668534695,0.9967437668534695,1.993487533706939,-3.856399199975158e-09,False,True
pool1030as3pp5684ghgf4kzcpv4p2jnmkmme7j363t95690zwxp7wa0,888,1268558.68384,50000.0,53374.407057,170.0,0.0,True,376.82539731869457,178.70214605507846,188.39517577455254,170.77397412684448,341.54794825368896,162.8458021986105,True,False,376.82539731869457,97.2785076831521,188.39517577455254,89.35033575491812,178.70067150983624,81.42216382668414,True,False
pool1030vz0wxheg0dvarr8hmeavelpszmp52qucs68c7wc9uga6n6e4,ROMER,1764031.096207,50000.0,93160.970503,340.0,0.01,True,524.0066153222492,351.4605385758796,261.9786601611318,261.9786601611318,523.9573203222636,172.49678174638404,True,False,524.0066153222492,192.04869897700158,261.9786601611318,175.72873416039033,351.45746832078066,159.40876934377908,True,False
pool103455uc7a3477q8pdmzvny884qtlv9vhm2csxvqx2cadwuk36sq,EDEN,58465669.811509,1000.0,1094.142715,340.0,0.01,True,17364.06695097956,510.5560766761754,8682.016677631847,423.57472043554463,847.1494408710893,336.5933641949139,True,False,17364.06695097956,342.25922628892295,8682.016677631847,255.27787004829221,510.55574009658443,168.29651380766148,True,False
pool1043kkcc2uwmdf76wg6jy80tkgwztzprep2rakyypmwc4637c2xe,BNP,24668.670882,2.0,17.639298,345.0,0.06,True,7.326466967193672,7.326466967193672,3.6632334694228317,3.6632334694228317,7.326466938845663,-2.834800838513729e-08,False,True,7.326466967193672,7.326466967193672,3.6632334694228317,3.6632334694228317,7.326466938845663,-2.834800838513729e-08,False,True
pool104avq7309gjm0fxms69yqusxy8zf888k4mamngg5vnc6vculpzq,NUFIB,24594658.61133,1000.0,1004.645511,340.0,0.03,True,7304.51391562825,549.2113701348161,3652.2498916528884,439.4987369479736,878.9974738959472,329.78610376113113,True,False,7304.51391562825,384.3181059894332,3652.2498916528884,274.6054728025907,549.2109456051815,164.89283961574824,True,False
pool104gtn3hvp9lz5l6wevhjj98e45s7rfaa4zzvk9pex7nn786qncr,PILOT,14870603.710077,325000.0,325050.0,340.0,0.0,True,4421.948061858515,429.22551117463945,2209.6070890087635,380.8669208144174,761.7338416288349,332.5083304541954,True,False,4421.948061858515,262.94146656403325,2209.6070890087635,214.58287620381122,429.16575240762245,166.2242858435892,True,False
pool104hlwrk98e6h07e05ywee3thn379ddmmfveje8d6cuvp54zcah6,ADASC,1182230.365966,100000.0,105494.080424,340.0,0.0,True,351.24081786116403,341.0030530238565,175.58924956144722,175.58924956144722,351.17849912289444,10.175446099037913,True,False,351.24081786116403,186.17268001734533,175.58924956144722,170.49874606482751,340.99749212965503,154.8248121123097,True,False
pool104v7kzpq86r0wnfsz8r7jeld2raap92qq84trjcqk62zyh9akqt,SEAL,1895162.283236,60000.0,100377.502775,170.0,0.0,True,562.9799823481062,190.8142329644254,281.45831752816036,175.90340345834466,351.8068069166893,160.9925739522639,True,False,562.9799823481062,110.31626838975396,281.45831752816036,95.4054388836732,190.8108777673464,80.49460937759244,True,False
