pool_id,pool_name.name,pool_name.ticker,pool_name.description,active_stake,live_stake,pledged,live_pledge,blocks.epoch,delegators,epochs.0.no,epochs.0.data.epoch_stake,epochs.0.data.delegators,epochs.0.data.block.minted,epochs.0.data.reward.member_lovelace,epochs.0.data.reward.leader_lovelace,pool_update.active.margin,pool_update.active.fixed_cost,pool_update.active.pledge,saturation
pool102s2nqtea2hf5q0s4amj0evysmfnhrn4apyyhd4azcmsclzm96m,,YULI,,6570051739,,1000000,,0,4,500,6570051739,4,0,0,0,0.005,340000000,1000000,0.0001
pool102vsulhfx8ua2j9fwl2u7gv57fhhutc3tp6juzaefgrn7ae35wm,,BNP,,314933380,,2000000,,0,10,500,314933380,10,0,0,0,0.06,340000000,2000000,0.0
pool1030as3pp5684ghgf4kzcpv4p2jnmkmme7j363t95690zwxp7wa0,,888,,1789388068667,,50000000000,,2,75,500,1789388068667,75,2,649702192,170000000,0,170000000,50000000000,0.0241
pool1030vz0wxheg0dvarr8hmeavelpszmp52qucs68c7wc9uga6n6e4,,ROMER,,2657832821560,,50000000000,,5,1517,500,2657832821560,1517,5,1677619172,357450426,0.01,340000000,50000000000,0.0358
pool103455uc7a3477q8pdmzvny884qtlv9vhm2csxvqx2cadwuk36sq,,EDEN,,63673213227015,,1000000000,,56,2296,500,63673213227015,2296,56,21259202974,739067239,0.017,340000000,1000000000,0.8584
pool1043kkcc2uwmdf76wg6jy80tkgwztzprep2rakyypmwc4637c2xe,,BNP,,3903228748,,2000000,,0,4,500,3903228748,4,0,0,0,0.06,345000000,2000000,0.0001
pool104avq7309gjm0fxms69yqusxy8zf888k4mamngg5vnc6vculpzq,,NUFIB,,33380080871847,,1000000000,,23,5694,500,33380080871847,5694,23,8970550215,617449009,0.03,340000000,1000000000,0.45
pool104gtn3hvp9lz5l6wevhjj98e45s7rfaa4zzvk9pex7nn786qncr,,PILOT,,22612634854867,,325000000000,,21,2006,500,22612634854867,2006,21,8286170898,340000000,0,340000000,325000000000,0.3048
pool104hlwrk98e6h07e05ywee3thn379ddmmfveje8d6cuvp54zcah6,,,,1588807851079,,,,0,13,500,1588807851079,13,0,0,0,0,340000000,,0.021400000000000002
pool104re5tajgh4mpp7c744khap56lf609cfjlna5ysjkum8qn8fel9,,TOKYO,,726579766707,,100000000000,,1,11,500,726579766707,11,1,131957804,255012145,0.03,250000000,100000000000,0.0098
pool104v7kzpq86r0wnfsz8r7jeld2raap92qq84trjcqk62zyh9akqt,,SEAL,,1802854778921,,60000000000,,4,190,500,1802854778921,190,4,1434251818,170000000,0,170000000,60000000000,0.024300000000000002
pool104ylwjrxvrp87r7769d6g6agu0ydxsn6hgmqjdsrf47e6j2ek46,,ELMPI,,125573548403,,100000000,,1,5,500,125573548403,5,1,204405531,170000000,0,170000000,100000000,0.0017000000000000001
pool104z3yr7faqhck6wcsczhmqrrpdeparcr8juw8unxy8tm6xp447d,,,,70021292774092,,,,61,3,500,70021292774092,3,61,23837857101,1594624058,0.05,340000000,,0.9440000000000001
pool106l8sgu50wpw3nmqkmhlgzl5cctw428ruem2rpwjklg46nprex0,,,,502365742,,100000000,,0,1,500,502365742,1,0,0,0,0.025,345000000,100000000,0.0
pool106p2jjwuwagq2as7cdzx4y6cyc2pdj7a3h3vv5cvkvnskegff3w,,VOLT,,10079801698321,,1000000000,,7,1650,500,10079801698321,1650,7,2577599124,340000000,0,340000000,1000000000,0.1359
pool1072lq3k32sfxs96s9qhrx3s9la2t68vrqwfsp7h9qnwk56yr2mv,,,,7047111019889,,,,5,24,500,7047111019889,24,5,,2084632974,1,340000000,,0.095
pool107attaqquuq5ne2ch0hx0qcnlkzzr2683s4gml4ywnqvgj6pak9,,CCJ5,,262048122830,,10000000000,,0,8,500,262048122830,8,0,0,0,0.048,170000000,10000000000,0.0034999999999999996
pool107qfdeg9wlpt9yntg7650kzval6ahl696jr2ca20763ukzr0tzw,,SRP,,342692031938,,50000000000,,0,8,500,342692031938,8,0,0,0,0,340000000,50000000000,0.0046
pool107rsdzswa5s3y8wk5z62tgh5lhm790dsyqjp4lq66fht7qnaq9d,,,,10856795380518,,,,10,36,500,10856795380518,36,10,3806747699,359146387,0.005,340000000,,0.1464
pool1085up093vl7qgwnqsuset7kdt3yflscdp6h8eeakuhyzwlhmq68,,,,822464453554,,,,0,19,500,822464453554,19,0,0,0,0,170000000,,0.0111
pool108zdflss3ayqlm5c7vr6mtqj2uwl99vk28ur8dv4zswdzt6yauc,,AZUR,,57186658746991,,500000000000,,61,6674,500,57186658746991,6674,61,24098468353,843668990,0.02,340000000,500000000000,0.7709
pool109k0t72eh8txza4ptnagnfyqkjnmfe60afmtm4dvj9lz7dy78lh,,,,540365372532,,2000000000,,0,688,500,540365372532,688,0,0,0,0.02,340000000,2000000000,0.0073
pool10akpqvczl93ep4rc59c0aqyn3dm0env2ydysuwmdm670wl24pd8,,,,60999843464670,,1000000000000,,37,13586,500,60999843464670,13586,37,14402584795,718543573,0.025,340000000,1000000000000,0.8223
pool10c9l3k0z50ytt4krkfet7w3gwpv9d9nq47kk9ecy2c5f2uyvkgk,,,,270841398741,,,,1,307,500,270841398741,307,1,73577417,341896929,0.025,340000000,,0.0037
pool10cpz0zepq23hm6lrk8vgnsdwl772lasq9caaemvw9kh9ktxqygk,,,,2522889313,,2000000000,,0,3,500,2522889313,3,0,0,0,0.03,340000000,2000000000,0.0
pool10cqp98vsdtam5p4xkfuleahy99vcdggsfdl4cszxcefmcheexma,,BNP,,208581547,,2000000,,0,6,500,208581547,6,0,0,0,0.06,345000000,2000000,0.0
pool10d303wup90j39mmvysf0lhr2xmr3mf38y5vs577nmlq6yy8n666,,CBCP,,5041504724,,2000000000,,0,7,500,5041504724,7,0,0,0,0.04,340000000,2000000000,0.0001
pool10d6mmw3mn9ku3r7uqqye672dz3sv76lh5kvh5rdpr9l5ug5yknr,,,,66036506462369,,,,47,22,500,66036506462369,22,47,18289892023,1302776309,0.05,340000000,,0.8902
pool10dzswwk8ycrxfv04nv44fjpqdx4j5euj406df0xsq7xyy0r0ta5,,,,116519837307,,,,0,5,500,116519837307,5,0,0,0,0.04,345000000,,0.0016
pool10efuydxjnasr0309lqklmj9xahupdnzqd59r5dqjeh4twz06tr0,,F4ADA,,9855333806620,,300000000000,,17,426,500,9855333806620,426,17,6648088239,239261098,0.01,170000000,300000000000,0.1329
pool10eltx2wej46e62ulmwzm35xfu0azu47yvpjper7gwhncqe74vg6,,CHIL,,7166378761069,,35000000000,,8,1319,500,7166378761069,1319,8,2894505701,426876805,0.029,340000000,35000000000,0.0966
pool10emzedn7jczjrk7x7687mzwpqs2qfk8dnmyuf3ca7ju8cx79z57,,,,6958548212,,,,0,4,500,6958548212,4,0,0,0,1,345000000,,0.0001
pool10ez5uusmzx7ep6pee6hmqr79z5ee0lhgzdelzgptexh9xq3ar4e,,SACT,,291471501,,100000000,,0,2,500,291471501,2,0,0,0,0.03,340000000,100000000,0.0
pool10f5k6djk7m95dls80f5n2temjlkacsqd47758z2xal8g79kg9ct,,,,34506120042,,30000000000,,0,7,500,34506120042,7,0,0,0,0,340000000,30000000000,0.0005
pool10fsg5ykzcjuzq5fzm9vj6d3yd0jjqgg6qnza6u8wtq0677vam2t,,,,97023027,,,,0,1,500,97023027,1,0,0,0,0.02,340000000,,0.0
pool10fxpa6wkv0wc6wcmahcnz4wvvfx9m7547sevxrge3nfuv7yh8m0,,GRANA,,6662197699153,,30000000000,,3,435,500,6662197699153,435,3,906344331,340000000,0,340000000,30000000000,0.0898
pool10glz67jju4f3gjs84pse79vsl6d34k764hs4cq6fwplkxzf277w,,COVE,,1320400771,,500000000,,0,2,500,1320400771,2,0,0,0,0.03,340000000,500000000,0.0
pool10gtnlhevam52ynwuzua7dqgv7vje4q87q25dzzfrjgw3wwjk2xw,,,,97189188752,,100000000,,0,4,500,97189188752,4,0,0,0,0,340000000,100000000,0.0013
pool10hex9l4wjgqarvhr94xgyh9frv5lhtajhrj4dah0kl65jtws30k,,,,33738676287641,,20000000000,,35,427,500,33738676287641,427,35,13973014111,609364239,0.0189,340000000,20000000000,0.4548
pool10jd7mphm0mmrnfvyytzs3tfrmjmtkvalfx8nql7tae06v0rkjk3,,DOS,,138403576168,,1000000000,,0,14,500,138403576168,14,0,0,0,0,170000000,1000000000,0.0019
