pool_id,pool_name.name,pool_name.ticker,pool_name.description,active_stake,live_stake,pledged,live_pledge,blocks.epoch,delegators,epochs.0.no,epochs.0.data.epoch_stake,epochs.0.data.delegators,epochs.0.data.block.minted,epochs.0.data.reward.member_lovelace,epochs.0.data.reward.leader_lovelace,pool_update.active.margin,pool_update.active.fixed_cost,pool_update.active.pledge,saturation
pool102s2nqtea2hf5q0s4amj0evysmfnhrn4apyyhd4azcmsclzm96m,,YULI,,6481489374,,1000000,,0,2,445,6481489374,2,0,0,0,0.005,340000000,1000000,0.0001
pool102vsulhfx8ua2j9fwl2u7gv57fhhutc3tp6juzaefgrn7ae35wm,,BNP,,5722279429,,2000000,,0,12,445,5722279429,12,0,0,0,0.06,340000000,2000000,0.0001
pool1030as3pp5684ghgf4kzcpv4p2jnmkmme7j363t95690zwxp7wa0,,888,,1595144703822,,50000000000,,1,73,445,1595144703822,73,1,129613741,340000000,0,340000000,50000000000,0.022000000000000002
pool1030vz0wxheg0dvarr8hmeavelpszmp52qucs68c7wc9uga6n6e4,,ROMER,,2802535958007,,50000000000,,3,1586,445,2802535958007,1586,3,1044523477,350777886,0.01,340000000,50000000000,0.038599999999999995
pool103455uc7a3477q8pdmzvny884qtlv9vhm2csxvqx2cadwuk36sq,,EDEN,,49364665422673,,1000000000,,43,2203,445,49364665422673,2203,43,17921096998,705763063,0.018,340000000,1000000000,0.6799
pool103a3tldslwvrcvj5rfraezfqra7sk6c0njawszv6ttpjkq84gyz,,,,2033148,,,,0,1,445,2033148,1,0,0,0,1,340000000,,0.0
pool103w4na57zyunn2s7r8cgrnqgsn3tskj4w69yx3alx4sezphv53t,,,,15369583223344,,2000000,,19,6,445,15369583223344,6,19,8205632930,771875558,0.05,340000000,2000000,0.21170000000000003
pool1043kkcc2uwmdf76wg6jy80tkgwztzprep2rakyypmwc4637c2xe,,BNP,,17639298,,2000000,,0,1,445,17639298,1,0,0,0,0.06,345000000,2000000,0.0
pool104avq7309gjm0fxms69yqusxy8zf888k4mamngg5vnc6vculpzq,,NUFIB,,36102564330277,,1000000000,,26,5828,445,36102564330277,5828,26,11584449271,698293710,0.03,340000000,1000000000,0.4972
pool104gtn3hvp9lz5l6wevhjj98e45s7rfaa4zzvk9pex7nn786qncr,,PILOT,,21269708695476,,325000000000,,25,2039,445,21269708695476,2039,25,11303591033,340000000,0,340000000,325000000000,0.2929
