bin_m_ada,bin_lo_m,bin_hi_m,n_pools,n_gain,n_lose,n_flat,sum_delta_gain_ada,sum_delta_lose_ada,sum_delta_net_ada,sum_delta_gain_m_ada,sum_delta_lose_m_ada,sum_delta_net_m_ada,net_share_of_total_stake_426_pct,net_share_of_total_stake_500_pct
0–1,0.0,1.0,162,112,50,0,366198015.872724,-7072521.500243,359125494.372481,366.198015872724,-7.072521500243,359.125494372481,1.644870339409623,1.6971683782054916
1–5,1.0,5.0,103,50,53,0,311536504.33277303,-45864708.383038,265671795.94973505,311.536504332773,-45.864708383038,265.67179594973504,1.2168327340251641,1.2555214768442315
5–15,5.0,15.0,37,16,21,0,68642234.401514,-92217769.06415,-23575534.66263601,68.64223440151399,-92.21776906415,-23.575534662636013,-0.10798091004386504,-0.11141412279467319
15–30,15.0,30.0,29,7,22,0,104160422.13312101,-219230285.94849902,-115069863.81537801,104.16042213312102,-219.23028594849902,-115.06986381537801,-0.527044191837592,-0.5438013652946516
≥30,30.0,,43,21,22,0,251075451.57600594,-411322478.270545,-160247026.69453907,251.07545157600595,-411.322478270545,-160.24702669453907,-0.7339651050087838,-0.7573012517049059
