pool_id,ticker,sigma_ada,declared_pledge_ada,active_pledge_ada,fixed_cost_ada,margin,f_ada_k1000,desirability,role,free_space_ada,rank,received_ada,sigma_after_ada
pool135h773klt7djljmyawkh88e8qc457wxqfhc6j9h6y9n4y3sgh7t,KTOP,18545521.310514,10000.0,11759.039354,170.0,0.01,5508.349490569798,0.0002849726307056086,receiver,21454478.689486,22.0,21454478.689486,40000000.0
pool1v5u6wzakuc25q3zpx04t8gjz3rgu60wuxkv2mh5nga23xjkc86s,MOKSH,39311590.038023,200000.0,518451.136275,340.0,0.0,11530.513411348713,0.00028466193813389415,receiver,688409.9619769976,23.0,688409.9619769976,40000000.0
pool1d3gckjrphwytzw2uavgkxskwe08msumzsfj4lxnpcnpks3zjml3,CRFA,24555407.629511,1000.0,1000.829703,170.0,0.0199,7292.884753207164,0.00028430150506759743,receiver,15444592.370489001,24.0,15444592.370489001,40000000.0
pool15ccmgcc4k9t8auxw9v4dfjmrl2kqnuevawn8z6n7xv09utw9hh3,4ADA,21440403.791132,300000.0,300018.543195,170.0,0.02,6382.380077411301,0.00028395605489394733,receiver,18559596.208868,25.0,18559596.208868,40000000.0
pool16kus5xvdysgmtjp0hhlwt72tsm0yn2zcn0a8wg9emc6c75lxvmc,EDEN,33188349.828851,1000.0,1027.79353,340.0,0.01,9856.843515800181,0.0002838850117354076,receiver,6811650.1711490005,26.0,6811650.1711490005,40000000.0
pool1swe9nsv8lzugakjkfv04dn38scmq48wzynmn0lxasupuzmqcgjm,ADAGE,15510706.438858,110000.0,137240.390638,170.0,0.0084,4610.5040595541,0.00028388157836723517,receiver,24489293.561141998,27.0,24489293.561141998,40000000.0
pool1f9934hk9awd25mmxl0dd2haqvda9nlquwnh5pv64hs42znl07zj,BD5,38696963.009297,200.0,2405.435607,170.0,0.03,11492.814477472364,0.00028382408305554835,receiver,1303036.9907030016,28.0,1303036.9907030016,40000000.0
pool1w8ham64lthvzzxzn5hknq4yrj8xt2nark409s2xmntlwvt4ag3r,1PCT7,31505238.648924,50000.0,62340.381663,340.0,0.01,9360.511611811271,0.0002834546532152092,receiver,8494761.351076,29.0,8494761.351076,40000000.0
pool1qwa8x4u4a2pff0xdv0haxpgk3tyrvl5adl2lpf3ztcftqruhea0,ELITE,24281445.731307,200000.0,218488.156174,340.0,0.0,7222.590821835797,0.0002834506189621901,receiver,15718554.268693,30.0,15718554.268693,40000000.0
pool1r0sxz0hygfc0266lhdclve6j3cwcwlth6dya6uey65yxjnwm7qc,BURN,12114731.303373,200000.0,213221.093223,170.0,0.0,3603.518072513397,0.00028341677471273606,receiver,27885268.696627,31.0,27885268.696627,40000000.0
pool1qqqyv9pn9typyqwcxqk5ewpxy5p27g5j2ms58hpp2c2kuzs5z77,ANGEL,25992645.513419,55555.0,118392.690772,170.0,0.025,7722.997214676273,0.0002833175361279608,receiver,14007354.486581001,32.0,14007354.486581001,40000000.0
