Quantity,k=500,k=1000
z0(k) (M ADA),77.52791513286927,38.763957566434634
Oversaturated pools (count),7.0,211.0
Oversaturated pools (% of pools),0.25983667409057165,7.832219747587231
E(k) - Stake above saturation (B ADA),0.0833698827927661,4.787838181955543
E(k) (% of S),0.38959835658653424,22.374193471386196
