stake_bin_M_ADA,n_pools,n_continuing,n_exited,n_gain,n_lose_continuing,n_flat,agg_dstake_gain_ADA,agg_dstake_lose_continuing_ADA,agg_dstake_exit_ADA,agg_dstake_lose_or_exit_ADA,agg_dstake_flat_ADA,agg_dstake_net_ADA
0–5,900,613,287,296,249,68,2142742947.242762,-99532540.83417001,-71150743.543292,-170683284.37746203,0.0,1972059662.8653002
5–10,36,34,2,20,14,0,242534916.559977,-39440317.927024,-12447692.151547,-51888010.078571,0.0,190646906.481406
10–15,26,25,1,16,9,0,339703586.449959,-47648556.49087799,-12709068.635363,-60357625.12624099,0.0,279345961.323718
15–30,40,40,0,21,19,0,359565519.597813,-143397616.10546902,0.0,-143397616.10546902,0.0,216167903.492344
30–45,27,27,0,15,12,0,220872802.86633903,-181202774.458886,0.0,-181202774.458886,0.0,39670028.40745303
45–60,21,21,0,2,19,0,5201465.069189005,-360053321.111972,0.0,-360053321.111972,0.0,-354851856.04278296
>60,2,2,0,0,2,0,0.0,-49919875.067975,0.0,-49919875.067975,0.0,-49919875.067975
