pool_id,sigma_ada,s_k500,s_k1000,excess_k500_ada,excess_k1000_ada,oversaturated_k500,oversaturated_k1000
pool10f5k6djk7m95dls80f5n2temjlkacsqd47758z2xal8g79kg9ct,3072.467418,3.963046617124076e-05,7.926093234248152e-05,0.0,0.0,False,False
pool10fsg5ykzcjuzq5fzm9vj6d3yd0jjqgg6qnza6u8wtq0677vam2t,97.023027,1.2514592561107767e-06,2.5029185122215533e-06,0.0,0.0,False,False
pool10fxpa6wkv0wc6wcmahcnz4wvvfx9m7547sevxrge3nfuv7yh8m0,4262012.487617,0.05497390817633438,0.10994781635266876,0.0,0.0,False,False
pool10gtnlhevam52ynwuzua7dqgv7vje4q87q25dzzfrjgw3wwjk2xw,597.470252,7.706517723016807e-06,1.5413035446033613e-05,0.0,0.0,False,False
pool10h9j9hazmtszyfyty7e6vj3usr6v0jdzvraqcxxs27rtqp7hsgc,0.0,0.0,0.0,0.0,0.0,False,False
pool10hex9l4wjgqarvhr94xgyh9frv5lhtajhrj4dah0kl65jtws30k,13562150.580139,0.174932481505479,0.349864963010958,0.0,0.0,False,False
pool10jd7mphm0mmrnfvyytzs3tfrmjmtkvalfx8nql7tae06v0rkjk3,23038.755606,0.00029716722765620106,0.0005943344553124021,0.0,0.0,False,False
pool10jn0wjlh9y3w2ygq84u2llvlnxfz3lc4g0ssqlmpp3w3y2d2lw5,7104483.057688,0.09163774165101898,0.18327548330203797,0.0,0.0,False,False
pool10jqlkjfn2rtlc6hp95p8k4h04h3dfmdcgnga6umwp2rpukpg20l,16350.180704,0.00021089411054042473,0.00042178822108084946,0.0,0.0,False,False
pool10ldeq0mccp8t4gfmvfkwmfcvh2pvz44hj2hmewfpk9udjxug58y,215231.051864,0.002776174897714348,0.005552349795428696,0.0,0.0,False,False
pool10le7rwlfg3t9646gm09jp05qg5kqvq3gvut4q2yaeu2ujncnh7w,2854.261122,3.681591484961638e-05,7.363182969923275e-05,0.0,0.0,False,False
pool10ljdn3zwsh7vjkxf6t250423l5qy487x83st7m8a53jxznrkw5g,127062.59889,0.0016389270712650656,0.003277854142530131,0.0,0.0,False,False
pool10mf43thtl3keag50mrlvqa78xkwg7harmu4w5yzr3k7jvw0ap43,2927773.115288,0.03776411516123334,0.07552823032246668,0.0,0.0,False,False
pool10n23qyec2zcetv0e3x7fdjydscsrlet5sph2hgtfc7x5ze56jqn,901698.759103,0.011630633399049184,0.023261266798098368,0.0,0.0,False,False
pool10n5e9hupkx0fs39fmhzpusdhd25vh6twxyq2n5dncegpkumhuz5,0.0,0.0,0.0,0.0,0.0,False,False
pool10nug2zc80t6tz64awqr0362kfsh6yvje6xz2a6appzhzwe25nc5,0.0,0.0,0.0,0.0,0.0,False,False
pool10nwac5phcc4vkjvux5mw6gvdzlxurkd944e5yx9yyfa8sqs35t7,36120.987876,0.0004659094445412978,0.0009318188890825956,0.0,0.0,False,False
pool10p3g22454ly7eaurlur5wc9d9ual2fnfwy7a6e7k09z3yf929k9,6076311.463663,0.07837578829830863,0.15675157659661726,0.0,0.0,False,False
pool10p6wd9k0fwk2zqkqnqr8efyr7gms627ujk9dxgk6majskhawr6r,7036434.076718,0.09076000643972927,0.18152001287945854,0.0,0.0,False,False
pool10p7hdyghmkfuuxep4slslvjs2fk0hechqwadc2348e6g2x8hta6,360.524775,4.650257579893947e-06,9.300515159787895e-06,0.0,0.0,False,False
pool10pd44d65586rldtdzuu88e7mn4sxjctvdksmt05nnqfzqu7g7hd,3460141.27996,0.04463090841576126,0.08926181683152253,0.0,0.0,False,False
pool10pktmr26fpvrt77j7m5mchqlt0mjmmfvt7ruvdewkcpasp0nzkl,0.0,0.0,0.0,0.0,0.0,False,False
pool10pmpya78vv23pngluf7hwpg9lerepmqdmdu47huf5vsskt56wzq,247.210196,3.1886604402598084e-06,6.377320880519617e-06,0.0,0.0,False,False
pool10pvwz69qz468m79ysw8qjcav5z830sv4zmeprru2n4anyuxwj9l,124124.412269,0.0016010286366694175,0.003202057273338835,0.0,0.0,False,False
pool10pxym4rs92lj853juzku38z58d9n59ra55qd2mnm820ljx4c6h9,139.818659,1.803462130516154e-06,3.606924261032308e-06,0.0,0.0,False,False
pool10q2fhzwe4f5k2llny65z5z2fuhrpk3x56fdc0782djdq58p9uee,2278562.468341,0.029390219825155144,0.05878043965031029,0.0,0.0,False,False
pool10q33p4hx4wqum6thmglw7z5l2vaay4w6m5cdq8fnurw7vjdppcf,38230.184169,0.0004931150812385468,0.0009862301624770937,0.0,0.0,False,False
