group,n,gain_stake,lose_stake,flat_stake
margin↓,156,91,65,0
margin↑,116,65,51,0
margin=,579,214,297,68
cost↓,21,9,12,0
cost↑,9,4,5,0
cost=,821,357,396,68
only margin changes,251,146,105,0
only cost changes,9,3,6,0
both change,21,10,11,0
neither changes,570,211,291,68
m↓ only,145,85,60,0
c↓ only,5,2,3,0
m↓ & c↓,9,6,3,0
no change,570,211,291,68
m↑ only,106,61,45,0
c↑ only,4,1,3,0
m↑ & c↑,3,3,0,0
m↓ & c↑,2,0,2,0
m↑ & c↓,7,1,6,0
