Quantity,Epoch 228,Epoch 285
T (B ADA),32.03687470708404,33.02781783380142
S (B ADA),17.34859197563094,23.159940155010116
S / T (%),54.15194875982954,70.12252602201198
Pools with sigma_i>0,1161.0,2813.0
