margin_strategy,n_pools,share_of_surviving_pct,stake_gain,stake_lose,stake_flat,agg_dstake_gain_ADA,agg_dstake_lose_ADA,agg_dstake_net_ADA,median_dstake_ADA
margin ↓,156,18.331374853113985,91,65,0,591689426.9176928,-612423973.593712,-20734546.676019028,34742.10890800001
margin ↑,116,13.6310223266745,65,51,0,760947419.686136,-1355432024.7449942,-594484605.058858,145942.74102300004
margin =,579,68.03760282021152,214,297,68,1957984391.18221,-5746426025.22821,-3788441634.0460005,-762.6073269999999
