pool_id,pool_ticker,sigma_ada,declared_pledge_ada,active_pledge_ada,declared_fixed_cost_ada,margin,pledge_met,ratio_k500,category_k500,ratio_k1000,category_k1000
pool10efuydxjnasr0309lqklmj9xahupdnzqd59r5dqjeh4twz06tr0,F4ADA,11480352.787575,300000.0,300050.979323,170.0,0.0,True,0.34376977403391396,losing_025_050,0.3439073338276506,losing_025_050
pool10eltx2wej46e62ulmwzm35xfu0azu47yvpjper7gwhncqe74vg6,CHIL,11309160.587532,35000.0,37477.294161,340.0,0.029,True,0.5900227810600456,losing_050_075,0.5900425219271868,losing_050_075
pool10emzedn7jczjrk7x7687mzwpqs2qfk8dnmyuf3ca7ju8cx79z57,MPL,39.46004,30.0,38.297271,345.0,1.0,True,1.581331966999665e-05,losing_lt_025,1.5813320110090195e-05,losing_lt_025
pool10ez5uusmzx7ep6pee6hmqr79z5ee0lhgzdelzgptexh9xq3ar4e,SACT,291.472771,100.0,101.008551,340.0,0.03,True,0.000116805587279879,losing_lt_025,0.00011680561697179665,losing_lt_025
pool10f5k6djk7m95dls80f5n2temjlkacsqd47758z2xal8g79kg9ct,,3072.467418,30000.0,1.831463,340.0,0.0,False,0.0,pledge_not_met,0.0,pledge_not_met
pool10fsg5ykzcjuzq5fzm9vj6d3yd0jjqgg6qnza6u8wtq0677vam2t,,97.023027,0.0,97.023027,340.0,0.02,True,3.888126060193163e-05,losing_lt_025,3.888126060193163e-05,losing_lt_025
pool10fxpa6wkv0wc6wcmahcnz4wvvfx9m7547sevxrge3nfuv7yh8m0,GRANA,4262012.487617,30000.0,35562.995523,340.0,0.0,True,0.46919580141581224,losing_025_050,0.4691974461204495,losing_025_050
pool10gtnlhevam52ynwuzua7dqgv7vje4q87q25dzzfrjgw3wwjk2xw,STKCH,597.470252,100.0,173.993722,170.0,0.0,True,0.00023943186244395308,losing_lt_025,0.00023943193958717986,losing_lt_025
pool10h9j9hazmtszyfyty7e6vj3usr6v0jdzvraqcxxs27rtqp7hsgc,,0.0,1000.0,0.0,340.0,0.01,False,0.0,pledge_not_met,0.0,pledge_not_met
pool10hex9l4wjgqarvhr94xgyh9frv5lhtajhrj4dah0kl65jtws30k,CSN1,13562150.580139,20000.0,23328.311214,340.0,0.0189,True,0.561226445581666,losing_050_075,0.5612350990134092,losing_050_075
pool10jd7mphm0mmrnfvyytzs3tfrmjmtkvalfx8nql7tae06v0rkjk3,DOS,23038.755606,1000.0,1557.175541,170.0,0.0,True,0.009232645117563925,losing_lt_025,0.009232679294513933,losing_lt_025
pool10jn0wjlh9y3w2ygq84u2llvlnxfz3lc4g0ssqlmpp3w3y2d2lw5,EARN,7104483.057688,100000.0,106108.193574,340.0,0.05,True,0.6121419985050223,losing_050_075,0.6122119930122024,losing_050_075
pool10jqlkjfn2rtlc6hp95p8k4h04h3dfmdcgnga6umwp2rpukpg20l,CCIO,16350.180704,410000.0,1022.172676,340.0,0.01,False,0.0,pledge_not_met,0.0,pledge_not_met
pool10ldeq0mccp8t4gfmvfkwmfcvh2pvz44hj2hmewfpk9udjxug58y,BREAD,215231.051864,100.0,619.058768,170.0,0.0,True,0.08625228579898951,losing_lt_025,0.08625231915955846,losing_lt_025
pool10le7rwlfg3t9646gm09jp05qg5kqvq3gvut4q2yaeu2ujncnh7w,,2854.261122,0.0,439.569766,340.0,0.05,True,0.001143824037879624,losing_lt_025,0.001143824037879624,losing_lt_025
pool10ljdn3zwsh7vjkxf6t250423l5qy487x83st7m8a53jxznrkw5g,,127062.59889,1200000.0,5020.24725,340.0,0.005,False,0.0,pledge_not_met,0.0,pledge_not_met
pool10mf43thtl3keag50mrlvqa78xkwg7harmu4w5yzr3k7jvw0ap43,JORGE,2927773.115288,200000.0,209406.623655,190.0,0.0,True,0.32201385816531475,losing_025_050,0.32207486977805505,losing_025_050
pool10n23qyec2zcetv0e3x7fdjydscsrlet5sph2hgtfc7x5ze56jqn,DOTAR,901698.759103,5000.0,56818.583109,170.0,0.0,True,0.23770115702717154,losing_lt_025,0.23770159521332948,losing_lt_025
pool10n5e9hupkx0fs39fmhzpusdhd25vh6twxyq2n5dncegpkumhuz5,,0.0,1495.0,0.0,340.0,0.045,False,0.0,pledge_not_met,0.0,pledge_not_met
pool10nug2zc80t6tz64awqr0362kfsh6yvje6xz2a6appzhzwe25nc5,,0.0,12000.0,0.0,340.0,0.0,False,0.0,pledge_not_met,0.0,pledge_not_met
pool10nwac5phcc4vkjvux5mw6gvdzlxurkd944e5yx9yyfa8sqs35t7,,36120.987876,0.0,2.0,340.0,0.02,True,0.01447521878291809,losing_lt_025,0.01447521878291809,losing_lt_025
pool10p3g22454ly7eaurlur5wc9d9ual2fnfwy7a6e7k09z3yf929k9,OUROS,6076311.463663,2500.0,340422.257946,340.0,0.0149,True,0.5972882270708983,losing_050_075,0.5972898776121183,losing_050_075
pool10p6wd9k0fwk2zqkqnqr8efyr7gms627ujk9dxgk6majskhawr6r,BBHMM,7036434.076718,550000.0,551023.40242,340.0,0.01,True,0.6659121286913096,losing_050_075,0.6664075238570751,losing_050_075
pool10p7hdyghmkfuuxep4slslvjs2fk0hechqwadc2348e6g2x8hta6,SBPIO,360.524775,100.0,5.893313,345.0,0.15,False,0.0,pledge_not_met,0.0,pledge_not_met
pool10pd44d65586rldtdzuu88e7mn4sxjctvdksmt05nnqfzqu7g7hd,RDB,3460141.27996,1000.0,1439.881162,340.0,0.01,True,0.4684314754322439,losing_025_050,0.4684315312852793,losing_025_050
pool10pktmr26fpvrt77j7m5mchqlt0mjmmfvt7ruvdewkcpasp0nzkl,IOGP,0.0,64000000.0,0.0,500.0,1.0,False,0.0,pledge_not_met,0.0,pledge_not_met
pool10pmpya78vv23pngluf7hwpg9lerepmqdmdu47huf5vsskt56wzq,,247.210196,200.0,247.210196,340.0,0.015,True,9.906767261282755e-05,losing_lt_025,9.906768725522077e-05,losing_lt_025
pool10pvwz69qz468m79ysw8qjcav5z830sv4zmeprru2n4anyuxwj9l,,124124.412269,0.0,0.0,345.0,0.06,True,0.0497419403384785,losing_lt_025,0.0497419403384785,losing_lt_025
pool10pxym4rs92lj853juzku38z58d9n59ra55qd2mnm820ljx4c6h9,JVNP,139.818659,10.0,139.818659,340.0,0.05,True,5.603129567281892e-05,losing_lt_025,5.603129768592178e-05,losing_lt_025
pool10q2fhzwe4f5k2llny65z5z2fuhrpk3x56fdc0782djdq58p9uee,KURIS,2278562.468341,100.0,34747.281659,340.0,0.0,True,0.46569924464635654,losing_025_050,0.4656992500344127,losing_025_050
pool10q33p4hx4wqum6thmglw7z5l2vaay4w6m5cdq8fnurw7vjdppcf,SPKL,38230.184169,1000.0,8576.795501,340.0,0.01,True,0.01532052133392831,losing_lt_025,0.015320579069185889,losing_lt_025
pool10qmnswfc22zm0fscg80gkwqz65ujwjkqmctv8g9l9l58wqtelgg,WAAUS,2697137.476281,30000.0,40865.975291,170.0,0.008,True,0.24899791799269647,losing_lt_025,0.24900077891644612,losing_lt_025
pool10qrz84cvz95zg8saf43ruhs5ulczuuqm2d3jn6d8xkkkzgzfje7,,112074.806511,44325.545672,88771.874447,340.0,0.015,True,0.04491781113721863,losing_lt_025,0.04492248114754948,losing_lt_025
pool10quq4wlghwrvmhdzc7geq22pyhzegccwj56ax2g8hx0cjfahufs,SPS2,24708911.64549,10000.0,26172.056006,340.0,0.05,True,0.940449508435468,losing_075_100,0.9404690517402786,losing_075_100
pool10rdglgh4pzvkf936p2m669qzarr9dusrhmmz9nultm3uvq4eh5k,KILN0,74073232.951482,100.0,4679.600928,340.0,0.05,True,1.9218016921684669,edge,1.2134559385233172,edge
pool10retvgthe4vymhaq8vr2734zladmeeuwy07rq8r5f690ydmz3vc,MORAL,971.580862,59000.0,137.688251,340.0,0.0,False,0.0,pledge_not_met,0.0,pledge_not_met
pool10s8x49tu6wcne63rqv6gmnhwpcg4kg8r4s3ncv6q7uxx76jvlwg,,5097.623546,5000.0,5097.623546,340.0,0.0,True,0.0020428356994995397,losing_lt_025,0.0020428364640723866,losing_lt_025
pool10scv5quxduhrcc26wpurhk743dngspe8dc3zpkkam0svyx6ejx3,CDNTH,8648242.326177,100.0,1040.369948,340.0,0.2,True,1.0604499770367202,edge,1.0604502453808509,edge
