pool_id,pool_name.name,pool_name.ticker,pool_name.description,active_stake,live_stake,pledged,live_pledge,blocks.epoch,delegators,epochs.0.no,epochs.0.data.epoch_stake,epochs.0.data.delegators,epochs.0.data.block.minted,epochs.0.data.reward.member_lovelace,epochs.0.data.reward.leader_lovelace,pool_update.active.margin,pool_update.active.fixed_cost,pool_update.active.pledge,saturation
pool1026f3pyjhxjafmtjyyny5ytuh2kraxakfa8eu5h844uv2upzxvq,,,,3274899715555,,1300000000,,5,9,285,3274899715555,9,5,3146421766,437363825,0.03,340000000,1300000000,0.0496
pool102kv4jtzs5cp2s58qa8esmdxc6awsu4a8smtlgkyylq7gvzgdwv,,TROFI,,5047432217,,5000000000,,0,1,285,5047432217,1,0,0,0,0,340000000,5000000000,0.0001
pool102s2nqtea2hf5q0s4amj0evysmfnhrn4apyyhd4azcmsclzm96m,,YULI,,6481489374,,1000000,,0,2,285,6481489374,2,0,0,0,0.005,340000000,1000000,0.0001
pool102vsulhfx8ua2j9fwl2u7gv57fhhutc3tp6juzaefgrn7ae35wm,,BNP,,65844169341403,,2000000,,53,8,285,65844169341403,8,53,35404096593,2599939664,0.06,340000000,2000000,0.9968
pool1030as3pp5684ghgf4kzcpv4p2jnmkmme7j363t95690zwxp7wa0,,888,,1184195409631,,50000000000,,1,40,285,1184195409631,40,1,367778719,340000000,0,340000000,50000000000,0.0179
pool1030vz0wxheg0dvarr8hmeavelpszmp52qucs68c7wc9uga6n6e4,,ROMER,,7993385682120,,50000000000,,8,2668,285,7993385682120,2668,8,5257027963,393500144,0.01,340000000,50000000000,0.121
pool103455uc7a3477q8pdmzvny884qtlv9vhm2csxvqx2cadwuk36sq,,EDEN,,61171783573482,,1000000000,,50,1697,285,61171783573482,1697,50,32509615993,1247979616,0.025,340000000,1000000000,0.9261
pool1043kkcc2uwmdf76wg6jy80tkgwztzprep2rakyypmwc4637c2xe,,BNP,,17639298,,2000000,,0,1,285,17639298,1,0,0,0,0.06,345000000,2000000,0.0
pool104avq7309gjm0fxms69yqusxy8zf888k4mamngg5vnc6vculpzq,,NUFIB,,35052604293395,,1000000000,,27,3634,285,35052604293395,3634,27,18380455190,909009094,0.03,340000000,1000000000,0.5307
pool104gtn3hvp9lz5l6wevhjj98e45s7rfaa4zzvk9pex7nn786qncr,,PILOT,,7863901203254,,325000000000,,9,575,285,7863901203254,575,9,5929112228,340000000,0,340000000,325000000000,0.11900000000000001
pool104re5tajgh4mpp7c744khap56lf609cfjlna5ysjkum8qn8fel9,,TOKYO,,657229510502,,100000000000,,1,8,285,657229510502,8,1,319531299,351319507,0.03,340000000,100000000000,0.009899999999999999
pool104ug5smdp7ykd8qjcvk9vwjm8yjldwldymcq2zlueymzje6mu3q,,,,3950714158,,2000000000,,0,2,285,3950714158,2,0,0,0,0.01,340000000,2000000000,0.0001
pool104v7kzpq86r0wnfsz8r7jeld2raap92qq84trjcqk62zyh9akqt,,SEAL,,4250119493494,,60000000000,,4,49,285,4250119493494,49,4,2516170300,340000000,0,340000000,60000000000,0.0643
pool104yydru8l6rjg0c9jryy9luw2s7r9ye4u5x835kvhkngy24986h,,GER,,8490790445,,5300000000,,0,7,285,8490790445,7,0,0,0,0.005,340000000,5300000000,0.0001
pool106l8sgu50wpw3nmqkmhlgzl5cctw428ruem2rpwjklg46nprex0,,,,502365742,,100000000,,0,1,285,502365742,1,0,0,0,0.025,345000000,100000000,0.0
pool106p2jjwuwagq2as7cdzx4y6cyc2pdj7a3h3vv5cvkvnskegff3w,,VOLT,,51538786066053,,1000000000,,42,2487,285,51538786066053,2487,42,29370620168,637646604,0.01,340000000,1000000000,0.7802
pool106skp44rrmuvnwhy89mxcxgagcsr920kremevqlan68xvl2say4,,RIMTK,,486859789,,444000000,,0,2,285,486859789,2,0,0,0,0.02,340000000,444000000,0.0
pool107attaqquuq5ne2ch0hx0qcnlkzzr2683s4gml4ywnqvgj6pak9,,CCJ5,,372425786643,,10000000000,,0,8,285,372425786643,8,0,0,0,0.048,340000000,10000000000,0.005600000000000001
pool107nx44v67sgca9mkl6gjqg3l03vauh5crp58rm5shve4kp0zfjf,,,,1924758046,,1250000000,,0,3,285,1924758046,3,0,0,0,0.01,340000000,1250000000,0.0
pool107qfdeg9wlpt9yntg7650kzval6ahl696jr2ca20763ukzr0tzw,,SRP,,333829870076,,50000000000,,0,4,285,333829870076,4,0,0,0,0.01,340000000,50000000000,0.0051
pool108zdflss3ayqlm5c7vr6mtqj2uwl99vk28ur8dv4zswdzt6yauc,,AZUR,,52485175280788,,500000000000,,50,5490,285,52485175280788,5490,50,33652654776,1055093422,0.02,340000000,500000000000,0.7946
pool109a9tnt8zsmwr3cvmghrmtxrxj5utyf87hexrn6sncqls7pg3gu,,,,8744307749,,3000000000,,0,1,285,8744307749,1,0,0,0,0,340000000,3000000000,0.0001
pool109ee6weyn52awvu30gspwmp6xwws98z0dhzcw2dqupc6vv6mkg6,,,,4016900639,,2000000000,,0,3,285,4016900639,3,0,0,0,0.02,340000000,2000000000,0.0001
pool10akpqvczl93ep4rc59c0aqyn3dm0env2ydysuwmdm670wl24pd8,,,,46030163062492,,1000000000000,,40,4986,285,46030163062492,4986,40,26799587990,1044603607,0.025,340000000,1000000000000,0.6968000000000001
pool10capak8jppvj8h46e35xdth6h22pahtr3lcgscrpa06jzv0xn8w,,SWAG,,15057755988830,,100000000000,,17,561,285,15057755988830,561,17,11328985588,636629497,0.025,340000000,100000000000,0.228
pool10cpz0zepq23hm6lrk8vgnsdwl772lasq9caaemvw9kh9ktxqygk,,,,2197229932,,2000000000,,0,1,285,2197229932,1,0,0,0,0.03,340000000,2000000000,0.0
pool10cqp98vsdtam5p4xkfuleahy99vcdggsfdl4cszxcefmcheexma,,BNP,,65911602671072,,2000000,,56,5,285,65911602671072,5,56,37421467374,2733715494,0.06,345000000,2000000,0.9978
pool10cz0gm5zu74clhrxp9mm7ulslves04wyfxaqzr4sjr2zv7qjpnv,,,,451940733611,,100000000000,,1,20,285,451940733611,20,1,150167000,343773419,0.01,340000000,100000000000,0.0068000000000000005
pool10d303wup90j39mmvysf0lhr2xmr3mf38y5vs577nmlq6yy8n666,,CBCP,,59875155238,,2000000000,,0,10,285,59875155238,10,0,0,0,0.04,340000000,2000000000,0.0009
pool10efuydxjnasr0309lqklmj9xahupdnzqd59r5dqjeh4twz06tr0,,F4ADA,,14268424726213,,300000000000,,18,328,285,14268424726213,328,18,12197029286,465848672,0.01,340000000,300000000000,0.21600000000000003
pool10eltx2wej46e62ulmwzm35xfu0azu47yvpjper7gwhncqe74vg6,,CHIL,,5052394274214,,35000000000,,6,595,285,5052394274214,595,6,3817187021,454814967,0.029,340000000,35000000000,0.0765
pool10ez5uusmzx7ep6pee6hmqr79z5ee0lhgzdelzgptexh9xq3ar4e,,SACT,,291471501,,100000000,,0,2,285,291471501,2,0,0,0,0.03,340000000,100000000,0.0
pool10ez60e4t8t70nyfqa9awm7zwwphy8kpfmhrppttx02z6xeyzgyk,,PGWAD,,11503398328,,3000000000,,0,6,285,11503398328,6,0,0,0,0,340000000,3000000000,0.0002
pool10fvfzepq2udukqm3t8thyf66qn5k36paltt4ptexl9pl6j92tfj,,,,297451347544,,295000000000,,0,2,285,297451347544,2,0,0,0,0,340000000,295000000000,0.0045000000000000005
pool10fxpa6wkv0wc6wcmahcnz4wvvfx9m7547sevxrge3nfuv7yh8m0,,GRANA,,99779634829,,30000000000,,0,31,285,99779634829,31,0,0,0,0,340000000,30000000000,0.0015
pool10glz67jju4f3gjs84pse79vsl6d34k764hs4cq6fwplkxzf277w,,COVE,,43592524375,,500000000,,0,3,285,43592524375,3,0,0,0,0.03,340000000,500000000,0.0007000000000000001
pool10gt8f0wkg8cdvnd9tnvj74kdtv88w4j704vkvl8xwhwjg0mgmcl,,SAITA,,109475606953,,100000000000,,0,3,285,109475606953,3,0,0,0,0.015,340000000,100000000000,0.0017000000000000001
pool10h9j9hazmtszyfyty7e6vj3usr6v0jdzvraqcxxs27rtqp7hsgc,,,,1002443936,,1000000000,,0,1,285,1002443936,1,0,0,0,0.01,340000000,1000000000,0.0
pool10hex9l4wjgqarvhr94xgyh9frv5lhtajhrj4dah0kl65jtws30k,,CSN1,,31251368498072,,20000000000,,24,127,285,31251368498072,127,24,16527530988,658820220,0.0189,340000000,20000000000,0.4731
