pool_id,pool_name.name,pool_name.ticker,pool_name.description,active_stake,live_stake,pledged,live_pledge,blocks.epoch,delegators,epochs.0.no,epochs.0.data.epoch_stake,epochs.0.data.delegators,epochs.0.data.block.minted,epochs.0.data.reward.member_lovelace,epochs.0.data.reward.leader_lovelace,pool_update.active.margin,pool_update.active.fixed_cost,pool_update.active.pledge,saturation
pool102s2nqtea2hf5q0s4amj0evysmfnhrn4apyyhd4azcmsclzm96m,,YULI,,6481489374,,1000000,,0,2,228,6481489374,2,0,0,0,0.005,340000000,1000000,0.0
pool1030as3pp5684ghgf4kzcpv4p2jnmkmme7j363t95690zwxp7wa0,,888,,142795784978,,50000000000,,0,7,228,142795784978,7,0,0,0,0,340000000,50000000000,0.0007000000000000001
pool103gv6hc8ux9tvu7597f4806fayzeyvrn2pp338ndztgl6jg29mf,,KIBC2,,1024684657505,,17000000000,,0,8,228,1024684657505,8,0,0,0,0.03,500000000,17000000000,0.0048
pool104re5tajgh4mpp7c744khap56lf609cfjlna5ysjkum8qn8fel9,,TOKYO,,3411244365039,,100000000000,,4,9,228,3411244365039,9,4,3979164356,541063218,0.01,500000000,100000000000,0.016
pool106p2jjwuwagq2as7cdzx4y6cyc2pdj7a3h3vv5cvkvnskegff3w,,VOLT,,22133533507169,,1000000000,,9,21,228,22133533507169,21,9,9967796235,340000000,0,340000000,1000000000,0.1036
pool108zdflss3ayqlm5c7vr6mtqj2uwl99vk28ur8dv4zswdzt6yauc,,AZUR,,17645327936427,,500000000000,,7,128,228,17645327936427,128,7,6890583292,494740550,0.02,340000000,500000000000,0.08259999999999999
pool1092quwhywgsjcnmjpd6w9lp90uxwwcedpv05fk645jdjqv5dmj6,,,,1022027119,,1000000000,,0,1,228,1022027119,1,0,0,0,0,340000000,1000000000,0.0
pool10akpqvczl93ep4rc59c0aqyn3dm0env2ydysuwmdm670wl24pd8,,,,11077384870745,,1000000000000,,10,36,228,11077384870745,36,10,5779429517,901081847,0.05,340000000,1000000000000,0.0519
pool10capak8jppvj8h46e35xdth6h22pahtr3lcgscrpa06jzv0xn8w,,SWAG,,36642001490819,,100000000000,,21,175,228,36642001490819,175,21,22994854363,936395063,0.025,340000000,100000000000,0.1716
pool10cz0gm5zu74clhrxp9mm7ulslves04wyfxaqzr4sjr2zv7qjpnv,,,,342279771204,,100000000000,,0,6,228,342279771204,6,0,0,0,0,340000000,100000000000,0.0016
pool10dwjth7esfw5gc036vu6l6csnvn6elqax0d3kh8t65rxyewk2g3,,IOG2,,113741616917436,,3300000000000,,70,38,228,113741616917436,38,70,72815890809,5984531485,0.07,340000000,3300000000000,0.5326
pool10efuydxjnasr0309lqklmj9xahupdnzqd59r5dqjeh4twz06tr0,,F4ADA,,19818306088752,,300000000000,,16,117,228,19818306088752,117,16,16636117075,883314905,0.03,340000000,300000000000,0.0928
pool10eltx2wej46e62ulmwzm35xfu0azu47yvpjper7gwhncqe74vg6,,CHIL,,135339694205,,35000000000,,0,10,228,135339694205,10,0,0,0,0.029,340000000,35000000000,0.0006
pool10hex9l4wjgqarvhr94xgyh9frv5lhtajhrj4dah0kl65jtws30k,,CSN1,,284497362542,,20000000000,,1,15,228,284497362542,15,1,756176719,380577413,0.05,340000000,20000000000,0.0013
pool10j307gzqx5cuqxzgnycg9rwyyutjy2eqyhnkmu2umj6cctcvrqq,,,,521761404149,,108146000000,,0,5,228,521761404149,5,0,0,0,0,340000000,108146000000,0.0024
pool10jd7mphm0mmrnfvyytzs3tfrmjmtkvalfx8nql7tae06v0rkjk3,,DOS,,5503595440,,1000000000,,0,1,228,5503595440,1,0,0,0,0,340000000,1000000000,0.0
pool10jn0wjlh9y3w2ygq84u2llvlnxfz3lc4g0ssqlmpp3w3y2d2lw5,,EARN,,8071148443623,,100000000000,,7,12,228,8071148443623,12,7,7190828120,726122872,0.05,340000000,100000000000,0.0378
pool10jqlkjfn2rtlc6hp95p8k4h04h3dfmdcgnga6umwp2rpukpg20l,,CCIO,,395319421889,,410000000000,,0,2,228,395319421889,2,0,0,0,0.0025,340000000,410000000000,0.0019
pool10k5ushs6d60827ezmncrd88gg8jnzzxc26jahaf5x4arqzyf5me,,,,359758829734,,50000000000,,0,11,228,359758829734,11,0,0,0,0.03,340000000,50000000000,0.0017000000000000001
