pool_id,pool_name.name,pool_name.ticker,pool_name.description,active_stake,live_stake,pledged,live_pledge,blocks.epoch,delegators,epochs.0.no,epochs.0.data.epoch_stake,epochs.0.data.delegators,epochs.0.data.block.minted,epochs.0.data.reward.member_lovelace,epochs.0.data.reward.leader_lovelace,pool_update.active.margin,pool_update.active.fixed_cost,pool_update.active.pledge,saturation
pool1l3fvlzadk5hg78wy3e304s9t8tjzxnu962e2fl7tq8x2yg3mz6l,,IOG18,,134387405179813,,1050000000000,,111,419,234,134387405179813,419,111,51388249697,1941842881,0.03,340000000,1050000000000,2.0891
pool1l3rf0h8s6fdw8g4vy8qg7fw3wwj8jdm3hg0wwwycnvj8xcl2ps8,,WALL,,23934922733,,1000000000000,,0,11,234,23934922733,11,0,0,0,0.012,340000000,1000000000000,0.0004
pool1l4gza884cpv5868j2rjfvxmg795u0p4sgsf5cer4nv88k8gu6wv,,HORSE,,2600831930,,0,,0,1,234,2600831930,1,0,0,0,0.02,340000000,0,0.0
pool1l4jajh4a9rnafhg055uf7fu6s7rrrr9hugdp8tw0l35luhlpqlw,,PHNX,,26805844946,,2000000000,,0,5,234,26805844946,5,0,0,0,0,340000000,2000000000,0.0004
pool1l54esv8h5xjry9ms3jq4mnf49vwt3yuxl5fdudp7jpdx2swuaah,,,,19453176,,4700000000,,0,1,234,19453176,1,0,0,0,0.01,340000000,4700000000,0.0
pool1l5kwfudnqrhw3k4lwzcppu36nun9puvvr7xnanuz8a2zx4jaek5,,ADOPT,,3980708509023,,250000000,,2,45,234,3980708509023,45,2,1580950716,410194030,0.042,340000000,250000000,0.061900000000000004
pool1l6ag9a4teknjsds8qcqpxh3sdagprv65apsrys82pc8nspzrxtc,,,,20268595197,,950000000,,0,2,234,20268595197,2,0,0,0,0.1,340000000,950000000,0.0003
pool1l6hkustv67tynh66w46mys94wsxhwddgp28k3r5twwlsv80uw0k,,CASCH,,614959478297,,50000000000,,0,4,234,614959478297,4,0,0,0,0.025,340000000,50000000000,0.0096
pool1l8myd66tqjk75kh7uk9k8nyl20sd4qs33s4tzzn927ujyl7ahyk,,KURD,,2667803486146,,500000000,,2,28,234,2667803486146,28,2,1434583782,390218301,0.03,340000000,500000000,0.0415
pool1lagcrwhhy24grdxpetj5vwwey6z8ncp7gx9gdd5p7gnd5f6urcc,,GAMER,,85127950879,,20000000000,,1,4,234,85127950879,4,1,30363243,351607177,0.01,345000000,20000000000,0.0013
pool1larpvn53yyufaf8fh89nrrpgruqcq8mgxrtdxp5y87cqse3yfg2,,JP5,,59484840277985,,50000000000,,51,85,234,59484840277985,85,51,48370203805,2888129581,0.05,340000000,50000000000,0.9247
pool1lcl9j8zzqtcd4g2gf5zgexcqmnmjtvje707hupngymjhq43yk3s,,,,12178490741,,10100000000,,0,3,234,12178490741,3,0,0,0,0,340000000,10100000000,0.0002
pool1ld9hkah2dkzh73pvh9tf6xr0x28us34msv3zcv2sase5vhvq962,,KOPI,,24603652787155,,1000000000,,7,147,234,24603652787155,147,7,6546872129,393703067,0.008,340000000,1000000000,0.3825
pool1lf3kn4ykqqrany9jwhzr28wmsq76xr5xx3gq206lwn7ugln9ul3,,,,67622121,,10000000,,0,3,234,67622121,3,0,0,0,0,340000000,10000000,0.0
pool1lfhv4s9pp76krhn5hk2vzmhc5grjwf26nvg02m6f4dc5sk8akt3,,,,83634590240,,777000000,,0,2,234,83634590240,2,0,0,0,0.03,340000000,777000000,0.0013
pool1lgdk6s5d6flv2sj0cgzz5es5vly8lg88k2e7457tc44hjf8pffk,,ROCK,,321690849568,,105000000000,,0,16,234,321690849568,16,0,0,0,0.0249,340000000,105000000000,0.005
pool1lhgjma5lejn65er7lxfsqxa0lgcv9r9wrntse9wjm834qp89chh,,,,612825878408,,100000000000,,0,5,234,612825878408,5,0,0,0,0.03,340000000,100000000000,0.0095
pool1lhvpgr8lhsf6h03v9zqxm74pa63rdxx4yuvkqfw4tv9fua8t37a,,OSAKA,,5461930950063,,1000000000,,3,6,234,5461930950063,6,3,2572491859,420333810,0.03,340000000,1000000000,0.0849
pool1lhwzsyhh7dmw9wuz7qxnml2z5ef5303lp7jxgss2qnat22sprgx,,UNION,,1069916449353,,50000000000,,0,9,234,1069916449353,9,0,0,0,0.019,340000000,50000000000,0.0166
pool1lhz4gsk5ezdl5s4mv2kxgrkhzzhad6me2v0xmwuyt845vensdlc,,SECUR,,21968612604683,,100000000000,,21,145,234,21968612604683,145,21,19858833480,340000000,0,340000000,100000000000,0.34149999999999997
pool1lj9t0saaxejj6drmxefgejwuy47lx4ewwruwvn3uttyuw6f5389,,ADBV,,501251536,,7000000,,0,1,234,501251536,1,0,0,0,0.08,340000000,7000000,0.0
pool1ljlmfg7p37ysmea9ra5xqwccue203dpj40w6zlzn5r2cvjrf6tw,,AAA,,60660275597712,,300000000000,,48,424,234,60660275597712,424,48,46006096641,1664970732,0.0275,340000000,300000000000,0.943
pool1ljywsch33t7gaf02aeeqkqpuku0ngpwl9fm04t7u5sl5xyunmgp,,AUTO,,61640058467599,,100000000,,41,640,234,61640058467599,640,41,39510237301,1000000000,0,1000000000,100000000,0.9581999999999999
pool1lk0hu3njxgra3emgfa73268el89qzytecff0fzz982avvjsw3l6,,IMPI,,520076740890,,10000000000,,0,4,234,520076740890,4,0,0,0,0.025,340000000,10000000000,0.008100000000000001
pool1lkpj6fa4l0sy39qfvyl4pcsnnd22y8np8j98vzwula2kuxgers4,,JOY,,63031301498267,,50000000000,,51,611,234,63031301498267,611,51,49072732027,1365965034,0.02,340000000,50000000000,0.9798
pool1ll03hrl9daqeatu47gxl3laguuk8n854w8heecwf4xtlxhg4vxp,,,,1008447705,,0,,0,1,234,1008447705,1,0,0,0,0.01,340000000,0,0.0
pool1lllmq2jgcqrag5c77lpc5m34fsqn63leadyx9tzx842n66ly3ql,,,,225742265733,,100000000000,,0,20,234,225742265733,20,0,0,0,0.01,340000000,100000000000,0.0034999999999999996
pool1llwfa6erdh7k87j06y2z9999jcc84cnezwhg9e2sulrgwzrsug4,,,,4613866,,100000000,,0,1,234,4613866,1,0,0,0,0.15,345000000,100000000,0.0
pool1llxh8l0h8g9ghz3nrzh7ndvev4x43vnk72nsemzm795vxqs6dp8,,JP4,,60786313359267,,50000000000,,38,83,234,60786313359267,83,38,35955568496,2234273029,0.05,340000000,50000000000,0.9449
pool1lm03avq3jxyl4z362d6sy75t3s92qh6nlulgyquljzdd79usuqe,,ADAKA,,16752641,,10000000,,0,1,234,16752641,1,0,0,0,0.004,345000000,10000000,0.0
pool1lmefyx5kaah33e8hzpgm78fqthhgjjp6272l40g0dxulwhge326,,CPL,,504804074,,500000000,,0,1,234,504804074,1,0,0,0,0.02,340000000,500000000,0.0
pool1lmqvtamlkm4vdcq3yjs2zxhsx2ejy9tafs66zsmpwvk3jq0zhyu,,,,558928599650,,25000000000,,1,5,234,558928599650,5,1,634764600,340000000,0,340000000,25000000000,0.0087
pool1lnk67xp7jsc2e3yyun3fpaqvkx0f3c8q0ml29ge85udeghn2gvn,,WIRA,,1570332193217,,487000000000,,0,5,234,1570332193217,5,0,0,0,0,340000000,487000000000,0.024399999999999998
pool1lp9wmr8dkcceta5we999nvlfh9um06cd6sggtt5523eawf7mtg4,,YYG,,15295750720,,1000000000,,0,1,234,15295750720,1,0,0,0,0.03,340000000,1000000000,0.0002
pool1lq7t0qg273vp8t2wzmeyj7sdq2vhu2v87jjplgurpfxcs9afnr3,,,,118185929710857,,50000000000,,94,4,234,118185929710857,4,94,40899516815,10570240301,0.2,340000000,50000000000,1.8372
