Quantity,Value
T (ADA),38763957566.43464
T (B ADA),38.76395756643464
S (ADA),21398930817.678818
S (B ADA),21.398930817678817
S / T,0.5520316335349608
S / T (%),55.20316335349608
Pools with sigma_i>0,2694.0
Pools total (rows),2911.0
