epoch,rank,pool_id,ticker,active_stake_lovelace,declared_pledge_lovelace,active_pledge_lovelace,n_owners
228,40,pool17038jcq6xdgjn0xsjx7m79rx52r7sucqwtr5j20tk23w5mjank3,IOG17,132396388243450.0,1100000000000.0,1100000000000.0,1
228,41,pool1welc4vthqtkvcf2e4adza90np6p7v7c4dmkmf567w3xr7ffqd72,IOG12,132374730933437.0,1700000000000.0,1700000000000.0,1
228,42,pool1ell3xjtspzzz4vtsatscan6rheltf7j3hh2s8qsam2h3jvcxzm9,OCEA4,132285699537198.0,500000000000.0,2573844816835.0,5
228,43,pool1lkpj6fa4l0sy39qfvyl4pcsnnd22y8np8j98vzwula2kuxgers4,JOY,132031714280948.0,3000000000000.0,9015788269752.0,3
228,44,pool1w6l6rvhxtym5psec3mvgrjlg28d6hrv8g9jjexadzmxfgndfg2f,SIPO,127832237951608.0,40000000000.0,201747236516.0,4
228,45,pool1x8ujs98g90dchw8kvu7u8jzntdh656u376fv7rv62e84jmznsr9,IOG11,125970435158867.0,2000000000000.0,2000000000000.0,1
228,46,pool1rkyc3ss904h066sffergss99r9p2kqa4k6ds0g4u5ud4x7yaajd,1PCT5,125653510267549.0,111000000000.0,239025068822.0,2
228,47,pool1lvsa8e0dw6z8g2fkw7prnfa7627wuy5jjexaadck6w5sxw5xkvm,DIGI2,124716230908420.0,600000000000.0,610331538205.0,1
228,48,pool1augg8mngjqjmxr8zypdqx7066f67q5cjcuwf738ja7csynadd99,IOG3,123010057383967.0,3300000000000.0,3300000000000.0,1
228,49,pool1j25x3lguq95gp0tt8ng2nw3fz9ea2p6a89vmgffdw6h0zyh66a0,IOG19,122277221216990.0,1033736000000.0,1033736000000.0,1
228,50,pool1uy8ws63cmz37gaunkhuehynvr4a0yakw2yv0vfjs704326nte98,IOG16,121893405203339.0,1200000000000.0,1200000000000.0,1
228,51,pool1czg8a3gg33aujkkcf9wrnr8zf4qq9qn0rrkh04umrg60k0vyvdl,IOG4,121595445011148.0,3000000000000.0,3000000000000.0,1
