pool_id,pool_ticker,epoch_stake_ada,declared_pledge_ada,active_pledge_ada,margin,declared_fixed_cost_ada,T_ada,R_ada,a0,opex_epoch_ada_Cstar,ada_usd,z0_k150_ada,f_ada_k150,Pi_ada_k150,coverage_ratio_k150,category_k150,viable_k150,z0_k500_ada,f_ada_k500,Pi_ada_k500,coverage_ratio_k500,category_k500,viable_k500
pool1uqehpxy4wst2k5u640wdt9tgmqdd26l0dahgxf3ln70js830xv2,IOG10,114776644.934275,2500000.0,2500000.0,0.05,340.0,32040000000.0,29700000.0,0.3,1010.6060606060606,0.11,213580000.0,82126.09700765963,6121.65245737586,6.057407229187508,strong,True,64070000.0,46219.9654278306,3583.36317009104,3.5457566600600994,comfortable,True
pool1uqgn8wt3qwaextmmurmcjmk3egwsac6sunyqtrssrdeavlgpyr4,,617501.372022,70000.0,70000.0,0.03,340.0,32040000000.0,29700000.0,0.3,1010.6060606060606,0.11,213580000.0,440.3483665372106,354.0446841113649,0.3503290727338843,losing,False,64070000.0,440.4380836249159,354.05724084945336,0.35034149769211276,losing,False
pool1uqrecfnsa6pqd2tz60r0lcj4kunhc4rrw8lldrpdvfx9qfjd6n0,AMS,807069.516904,10000.0,10000.0,0.001,340.0,32040000000.0,29700000.0,0.3,1010.6060606060606,0.11,213580000.0,575.4897048018329,343.1504085583783,0.3395491299078406,losing,False,64070000.0,575.5083377765523,343.1506578324732,0.33954937656586553,losing,False
pool1uqwtasd8pcf9elw6zejxsmapkfmp0f5djlx3l7raapm0k02l4tn,XPNTL,18354.404406,15000.0,15000.0,0.01,340.0,32040000000.0,29700000.0,0.3,1010.6060606060606,0.11,213580000.0,13.087676719479372,13.087676719479372,0.012950324789889634,losing,False,64070000.0,13.087794514273536,13.087794514273536,0.012950441348456573,losing,False
pool1uthdnav2zc2hxpg2hyeyy545lnxtl8lqdcdqxjm0j8t5srmyvzj,ADAST,45920721.447655,1000000.0,1000000.0,0.05,340.0,32040000000.0,29700000.0,0.3,1010.6060606060606,0.11,213580000.0,32789.02265572891,2633.750941481343,2.6061103768780907,comfortable,True,64070000.0,32896.18923281864,2641.326314080477,2.6136062478157642,comfortable,True
pool1uy8ws63cmz37gaunkhuehynvr4a0yakw2yv0vfjs704326nte98,IOG16,121893405.203339,1200000.0,1200000.0,0.03,340.0,32040000000.0,29700000.0,0.3,1010.6060606060606,0.11,213580000.0,87062.09631402571,3769.8005556147154,3.7302374313428968,comfortable,True,64070000.0,45941.87554019014,2143.5234930030347,2.121027744200904,comfortable,True
pool1v0kxk4z5h77ts2qnes6ucfk22gax77zj9hy4k9zc9mc7shs9er4,,1021.651193,1000.0,1000.0,0.0,340.0,32040000000.0,29700000.0,0.3,1010.6060606060606,0.11,213580000.0,0.7284894203286949,0.7284894203286949,0.0007208441040733712,losing,False,64070000.0,0.7284894709804169,0.7284894709804169,0.000720844154193516,losing,False
pool1v26c2xjq37hz6fhc2p324q9gy887ccv238dyz73r4s0cq8xxwxd,,756.166501,750.0,750.0,0.0072,340.0,32040000000.0,29700000.0,0.3,1010.6060606060606,0.11,213580000.0,0.5391852797637766,0.5391852797637766,0.0005335266636343216,losing,False,64070000.0,0.5391852905932293,0.5391852905932293,0.000533526674350122,losing,False
pool1v2q5w37cnu608tu0v8yjan0k3puzwa4mssyxl4wmq9z8ghneqnt,,55406.75318,46400.0,46400.0,0.0,340.0,32040000000.0,29700000.0,0.3,1010.6060606060606,0.11,213580000.0,39.50825955535777,39.50825955535777,0.03909363014473182,losing,False,64070000.0,39.50924196135335,39.50924196135335,0.0390946022406195,losing,False
pool1v2rhtaxs55lspa2zm5ggeuhsave7nxtu800yng36nefs5jhzl80,CENT1,112950.59201,50000.0,50000.0,0.01,340.0,32040000000.0,29700000.0,0.3,1010.6060606060606,0.11,213580000.0,80.54268569503506,80.54268569503506,0.0796974101330182,losing,False,64070000.0,80.55005550733149,80.55005550733149,0.0797047026009577,losing,False
pool1v3k049f5aypn325f3rvn79765cuvqrvlhmqyzj835frn6ya03qp,ASP1,289149.210695,10000.0,10000.0,0.0,340.0,32040000000.0,29700000.0,0.3,1010.6060606060606,0.11,213580000.0,206.1809280959415,206.1809280959415,0.20401711025985217,losing,False,64070000.0,206.1874537560455,206.1874537560455,0.20402356743476766,losing,False
pool1v46kmtavsty57aql824069j2p6wxpcpk3j25veqauu54kynydty,JIFF,70651.317279,1000.0,1000.0,0.02,340.0,32040000000.0,29700000.0,0.3,1010.6060606060606,0.11,213580000.0,50.378061770652444,50.378061770652444,0.04984935647470856,losing,False,64070000.0,50.37822456339972,50.37822456339972,0.04984951755898623,losing,False
pool1v4adhelnswa7pwv2njn5h84atw08mlc79ll2ewl2kgxhv3cqwql,12345,73144.117506,50000.0,50000.0,0.0,340.0,32040000000.0,29700000.0,0.3,1010.6060606060606,0.11,213580000.0,52.156645569318265,52.156645569318265,0.051609274476386885,losing,False,64070000.0,52.15935886809391,52.15935886809391,0.05161195929976309,losing,False
pool1v4wgyctxyxlcf90qtgflznv5f4fcm6cy0z80mchctekt20d3cww,CPX,1697989.181794,305000.0,305000.0,0.01,340.0,32040000000.0,29700000.0,0.3,1010.6060606060606,0.11,213580000.0,1211.1791432051248,503.63182573572146,0.4983463343112086,losing,False,64070000.0,1212.179622584494,503.81974376467565,0.4985322801869354,losing,False
pool1v4xevkf7fx08pzy7atsk59dds6p0sdyl6xmhwf4mh79x6l5p6kx,DIVY,194553525.052185,1000.0,1000.0,0.0,340.0,32040000000.0,29700000.0,0.3,1010.6060606060606,0.11,213580000.0,138726.77927377596,340.71130440446484,0.33713562354864585,losing,False,64070000.0,45685.391097666376,340.23307411718963,0.33666241216993276,losing,False
pool1v53upfe8vexje6qcpcxu84e0rwv2hsxeantu6pjmpw097r6vzxe,TRUX,2047685.499605,1000000.0,1000000.0,0.05,340.0,32040000000.0,29700000.0,0.3,1010.6060606060606,0.11,213580000.0,1461.1631135375444,916.2088126337813,0.9065934277935468,losing,False,64070000.0,1463.708874354817,917.517176956562,0.9078880611564182,losing,False
pool1v5jj7xumvk4engwvqrxt0kfhpdkucqvydmmlwwq2x76hz99affw,,3365.466517,1000.0,1000.0,0.03,340.0,32040000000.0,29700000.0,0.3,1010.6060606060606,0.11,213580000.0,2.399751614247691,2.399751614247691,0.0023745668146978654,losing,False,64070000.0,2.3997571429871143,2.3997571429871143,0.002374572285414536,losing,False
pool1v6mdg9xm9a80js00zx53c6nagcw5m0m970nm4my4pkrlyxq707e,,14924162.717073,10.0,10.0,0.02,340.0,32040000000.0,29700000.0,0.3,1010.6060606060606,0.11,213580000.0,10641.689208754327,546.0405488128193,0.5403099883305259,losing,False,64070000.0,10641.68955756242,546.0405557892102,0.5403099952337013,losing,False
