series,n,median_ADA,mean_ADA,p90_ADA,p99_ADA,max_ADA,sum_ADA,n_exited,n_exited_omitted
epoch_228_all,1161,332646.786288,14942801.012602014,57751509.363975,176058470.3029988,211629046.193261,17348591975.63094,310.0,
epoch_228_continuing_to_285,851,781622.681881,17366293.366498817,65388682.167856,179042227.928503,211629046.193261,14778715654.890491,,
epoch_285_among_epoch_228_continuing,850,1341294.720586,12205946.904819394,47619972.9601894,64732796.150955044,67946313.440054,10375054869.096485,,310.0
