pool_id,ticker,sigma_ada,fixed_cost_ada,margin,pledge_met,f_ada_rho_0p003,f_ada_rho_0p0042,member_apr_rho_0p003,member_apr_rho_0p0042,f_gt_c_rho_0p003,f_gt_c_rho_0p0042
pool10d6mmw3mn9ku3r7uqqye672dz3sv76lh5kvh5rdpr9l5ug5yknr,KILN4,79971298.819684,340.0,0.05,True,23025.396356854468,32235.55489959625,0.01967246075238964,0.02765938236509612,True,True
pool10dzswwk8ycrxfv04nv44fjpqdx4j5euj406df0xsq7xyy0r0ta5,ADAFS,100.79721,345.0,0.04,False,0.0,0.0,0.0,0.0,False,False
pool10efuydxjnasr0309lqklmj9xahupdnzqd59r5dqjeh4twz06tr0,F4ADA,11480352.787575,170.0,0.0,True,3413.475050095355,4778.865070133496,0.020624251104305543,0.029306342439570022,True,True
pool10eltx2wej46e62ulmwzm35xfu0azu47yvpjper7gwhncqe74vg6,CHIL,11309160.587532,340.0,0.029,True,3359.215549099452,4702.9017687392325,0.01892369058785468,0.027345580927950364,True,True
pool10emzedn7jczjrk7x7687mzwpqs2qfk8dnmyuf3ca7ju8cx79z57,MPL,39.46004,345.0,1.0,True,0.01171942691098641,0.016407197675380972,0.0,0.0,False,False
pool10ez5uusmzx7ep6pee6hmqr79z5ee0lhgzdelzgptexh9xq3ar4e,SACT,291.472771,340.0,0.03,True,0.08656591857297702,0.12119228600216782,0.0,0.0,False,False
pool10f5k6djk7m95dls80f5n2temjlkacsqd47758z2xal8g79kg9ct,,3072.467418,340.0,0.0,False,0.0,0.0,0.0,0.0,False,False
pool10fsg5ykzcjuzq5fzm9vj6d3yd0jjqgg6qnza6u8wtq0677vam2t,,97.023027,340.0,0.02,True,0.02881533424609823,0.04034146794453752,0.0,0.0,False,False
pool10fxpa6wkv0wc6wcmahcnz4wvvfx9m7547sevxrge3nfuv7yh8m0,GRANA,4262012.487617,340.0,0.0,True,1265.9415004605275,1772.3181006447385,0.015859580357872646,0.024532828482050656,True,True
pool10gtnlhevam52ynwuzua7dqgv7vje4q87q25dzzfrjgw3wwjk2xw,STKCH,597.470252,170.0,0.0,True,0.17744561361124087,0.2484238590557372,0.0,0.0,False,False
pool10h9j9hazmtszyfyty7e6vj3usr6v0jdzvraqcxxs27rtqp7hsgc,,0.0,340.0,0.01,False,0.0,0.0,0.0,0.0,False,False
pool10hex9l4wjgqarvhr94xgyh9frv5lhtajhrj4dah0kl65jtws30k,CSN1,13562150.580139,340.0,0.0189,True,4028.1995086707348,5639.4793121390285,0.019476996196877747,0.027985996463939924,True,True
pool10jd7mphm0mmrnfvyytzs3tfrmjmtkvalfx8nql7tae06v0rkjk3,DOS,23038.755606,170.0,0.0,True,6.842415881572377,9.579382234201328,0.0,0.0,False,False
pool10jn0wjlh9y3w2ygq84u2llvlnxfz3lc4g0ssqlmpp3w3y2d2lw5,EARN,7104483.057688,340.0,0.05,True,2110.8005449665675,2955.120762953194,0.017285566985840023,0.025527349905430454,True,True
pool10jqlkjfn2rtlc6hp95p8k4h04h3dfmdcgnga6umwp2rpukpg20l,CCIO,16350.180704,340.0,0.01,False,0.0,0.0,0.0,0.0,False,False
pool10ldeq0mccp8t4gfmvfkwmfcvh2pvz44hj2hmewfpk9udjxug58y,BREAD,215231.051864,170.0,0.0,True,63.92252736436224,89.49153831010713,0.0,0.0,False,False
pool10le7rwlfg3t9646gm09jp05qg5kqvq3gvut4q2yaeu2ujncnh7w,,2854.261122,340.0,0.05,True,0.847700703628566,1.1867809850799922,0.0,0.0,False,False
pool10ljdn3zwsh7vjkxf6t250423l5qy487x83st7m8a53jxznrkw5g,,127062.59889,340.0,0.005,False,0.0,0.0,0.0,0.0,False,False
pool10mf43thtl3keag50mrlvqa78xkwg7harmu4w5yzr3k7jvw0ap43,JORGE,2927773.115288,190.0,0.0,True,870.1620941979467,1218.2269318771253,0.016958907306437895,0.025637425808402014,True,True
pool10n23qyec2zcetv0e3x7fdjydscsrlet5sph2hgtfc7x5ze56jqn,DOTAR,901698.759103,170.0,0.0,True,267.804993226741,374.92699051743733,0.007918126129678441,0.016590541083426398,True,True
pool10n5e9hupkx0fs39fmhzpusdhd25vh6twxyq2n5dncegpkumhuz5,,0.0,340.0,0.045,False,0.0,0.0,0.0,0.0,False,False
pool10nug2zc80t6tz64awqr0362kfsh6yvje6xz2a6appzhzwe25nc5,,0.0,340.0,0.0,False,0.0,0.0,0.0,0.0,False,False
pool10nwac5phcc4vkjvux5mw6gvdzlxurkd944e5yx9yyfa8sqs35t7,,36120.987876,340.0,0.02,True,10.727745475784854,15.018843666098794,0.0,0.0,False,False
pool10p3g22454ly7eaurlur5wc9d9ual2fnfwy7a6e7k09z3yf929k9,OUROS,6076311.463663,340.0,0.0149,True,1804.6503433146404,2526.510480640496,0.01733393284946115,0.02587704705021423,True,True
pool10p6wd9k0fwk2zqkqnqr8efyr7gms627ujk9dxgk6majskhawr6r,BBHMM,7036434.076718,340.0,0.01,True,2093.915835428461,2931.4821695998453,0.01801416684138642,0.026616666106013844,True,True
pool10p7hdyghmkfuuxep4slslvjs2fk0hechqwadc2348e6g2x8hta6,SBPIO,360.524775,345.0,0.15,False,0.0,0.0,0.0,0.0,False,False
pool10pd44d65586rldtdzuu88e7mn4sxjctvdksmt05nnqfzqu7g7hd,RDB,3460141.27996,340.0,0.01,True,1027.6479338312759,1438.707107363786,0.014362510706083312,0.02294806952220712,True,True
pool10pktmr26fpvrt77j7m5mchqlt0mjmmfvt7ruvdewkcpasp0nzkl,IOGP,0.0,500.0,1.0,False,0.0,0.0,0.0,0.0,False,False
pool10pmpya78vv23pngluf7hwpg9lerepmqdmdu47huf5vsskt56wzq,,247.210196,340.0,0.015,True,0.07342015292528445,0.10278821409539822,0.0,0.0,False,False
pool10pvwz69qz468m79ysw8qjcav5z830sv4zmeprru2n4anyuxwj9l,,124124.412269,345.0,0.06,True,36.86430467307241,51.61002654230137,0.0,0.0,False,False
pool10pxym4rs92lj853juzku38z58d9n59ra55qd2mnm820ljx4c6h9,JVNP,139.818659,340.0,0.05,True,0.04152541579307804,0.05813558211030924,0.0,0.0,False,False
pool10q2fhzwe4f5k2llny65z5z2fuhrpk3x56fdc0782djdq58p9uee,KURIS,2278562.468341,340.0,0.0,True,676.7214604781244,947.4100446693741,0.010787795795126932,0.019460047234583184,True,True
pool10q33p4hx4wqum6thmglw7z5l2vaay4w6m5cdq8fnurw7vjdppcf,SPKL,38230.184169,340.0,0.01,True,11.354208588589097,15.895892024024734,0.0,0.0,False,False
pool10qmnswfc22zm0fscg80gkwqz65ujwjkqmctv8g9l9l58wqtelgg,WAAUS,2697137.476281,170.0,0.008,True,801.1277899846388,1121.578905978494,0.016945280113250697,0.0255491381738375,True,True
pool10qrz84cvz95zg8saf43ruhs5ulczuuqm2d3jn6d8xkkkzgzfje7,,112074.806511,340.0,0.015,True,33.28908892058314,46.604724488816395,0.0,0.0,False,False
pool10quq4wlghwrvmhdzc7geq22pyhzegccwj56ax2g8hx0cjfahufs,SPS2,24708911.64549,340.0,0.05,True,7338.702095118965,10274.18293316655,0.019643114891508818,0.027882069283324686,True,True
pool10rdglgh4pzvkf936p2m669qzarr9dusrhmmz9nultm3uvq4eh5k,KILN0,74073232.951482,340.0,0.05,True,21999.373325316505,30799.122655443105,0.02027827705447339,0.028516915922092437,True,True
pool10retvgthe4vymhaq8vr2734zladmeeuwy07rq8r5f690ydmz3vc,MORAL,971.580862,340.0,0.0,False,0.0,0.0,0.0,0.0,False,False
pool10s8x49tu6wcne63rqv6gmnhwpcg4kg8r4s3ncv6q7uxx76jvlwg,,5097.623546,340.0,0.0,True,1.5139682350735482,2.1195555291029673,0.0,0.0,False,False
pool10scv5quxduhrcc26wpurhk743dngspe8dc3zpkkam0svyx6ejx3,CDNTH,8648242.326177,340.0,0.2,True,2568.4839713319557,3595.8775598647376,0.015048545012650776,0.021986346164302558,True,True
pool10tcg3efecc706w98qs7j5jw84nxkcycseksp4mw64pjty26wr7f,,0.0,340.0,0.02,False,0.0,0.0,0.0,0.0,False,False
pool10tqeu6d03p6rnalqlvdshmpsljxaq2c0ww6draq6xm8lgyl2a3p,CASP,8631852.650929,170.0,0.03,True,2564.597126194645,3590.4359766725033,0.019643688251281006,0.02805899049749339,True,True
pool10u90lv7ayyfdulnt004h2wg42yff22c8vjlnqjxv7pytypuaykv,,6192.921948,340.0,0.025,False,0.0,0.0,0.0,0.0,False,False
pool10usr6ag036ujwhmm85km8w0skjn3fp3dwnktt8sje4lfvwhu40u,WALDO,2136.948271,345.0,0.019,False,0.0,0.0,0.0,0.0,False,False
pool10v6uh7yan2dg8utwpgurj6th3u3s3q3m2lcg8z9mxtncvx72dhc,,1.0,340.0,0.03,False,0.0,0.0,0.0,0.0,False,False
pool10vgnav004xgw03qkqfy6864zq53lzjkcf0syeu4g3uj8xaytlm8,Pier2,1475.994327,170.0,0.08,True,0.43836279423264884,0.6137079119257083,0.0,0.0,False,False
pool10w8gmhnprfmhdlp6npjt8d3ts64ng4qxsu0mr33dhpxpzwn4rgt,,2.91521,340.0,0.02,False,0.0,0.0,0.0,0.0,False,False
pool10wcmpvjmmv7ph7cz2263f52yckvnnwu5kdppwqgu74s2qhe7l7m,4TUN8,1216672.604799,340.0,0.01,True,361.57983601376503,506.211770419271,0.0012818360030161507,0.009872930976517853,True,True
pool10wugf8sxugp74y0dafvc83jmcg2z9v7u5yfs79zy67rxc5lqhd6,,4678.355731,340.0,0.01,False,0.0,0.0,0.0,0.0,False,False
pool10ww24pk8znf747x6d0wcueajegrjwzpv8x9a4aar4t05s7uzf76,S10E,2452.995576,340.0,0.018,True,0.728526924094424,1.0199376937321936,0.0,0.0,False,False
pool10x7rsal3ldumkycuc7f7rslx3vc5axhz5jzwngfcg7hd6t2p7sc,BNP,66639.295215,345.0,0.06,True,19.791524133803467,27.70813378732485,0.0,0.0,False,False
pool10xk8jp4m2cztf69x9gvg3j33x5drkrz2hulsjes29wktcfcxdls,,14276240.864801,345.0,0.06,True,4239.96929595627,5935.957014338777,0.018721510488625734,0.026873423750494743,True,True
