pool_id,ticker,sigma_ada,pledge_met,f_base,f_new,pi_base,pi_new,ratio_base,ratio_new,category_base,category_new,desirability_base,desirability_new
pool100wj94uzf54vup2hdzk0afng4dhjaqggt7j434mtgm8v2gfvfgp,,4419.361614,False,0.0,0.0,0.0,0.0,0.0,0.0,pledge_not_met,pledge_not_met,0.0,0.0
pool102s2nqtea2hf5q0s4amj0evysmfnhrn4apyyhd4azcmsclzm96m,YULI,6712.196804,True,1.9934875375633387,2.790882552588674,1.9934875375633387,2.790882552588674,0.002689863244088463,0.003765808541723847,losing_lt_025,losing_lt_025,0.0,0.0
pool1030as3pp5684ghgf4kzcpv4p2jnmkmme7j363t95690zwxp7wa0,888,1268558.68384,True,376.8253973186946,527.5555562461725,178.70214605507846,185.04409377956875,0.2411273335076021,0.24968468426028764,losing_lt_025,losing_lt_025,0.00016303967640868,0.0002818596891109769
pool1030vz0wxheg0dvarr8hmeavelpszmp52qucs68c7wc9uga6n6e4,ROMER,1764031.096207,True,524.0066153222493,733.609261451149,351.4605385758796,364.515282327129,0.4742346097725511,0.49184970628847985,losing_025_050,losing_025_050,0.00010326719838483535,0.00022089926287269446
pool103455uc7a3477q8pdmzvny884qtlv9vhm2csxvqx2cadwuk36sq,EDEN,58465669.811509,True,17364.06695097956,24309.693731371382,510.5560766761754,580.1410270368436,0.6889062503876429,0.7827989870062357,losing_050_075,losing_075_100,0.0002882687624345335,0.00040587915729969806
pool1043kkcc2uwmdf76wg6jy80tkgwztzprep2rakyypmwc4637c2xe,BNP,24668.670882,True,7.326466967193673,10.25705375407114,7.326466967193673,10.25705375407114,0.00988578751195548,0.01384010251673767,losing_lt_025,losing_lt_025,0.0,0.0
pool104avq7309gjm0fxms69yqusxy8zf888k4mamngg5vnc6vculpzq,NUFIB,24594658.61133,True,7304.513915628251,10226.319481879551,549.2113701348161,636.9813068724363,0.7410648172733649,0.8594950167694042,losing_050_075,losing_075_100,0.0002746766525576947,0.00038991107983932217
pool104gtn3hvp9lz5l6wevhjj98e45s7rfaa4zzvk9pex7nn786qncr,PILOT,14870603.710077,True,4421.948061858516,6190.727286601921,429.22551117463945,467.88847995601026,0.5791648576569347,0.6313337810500887,losing_050_075,losing_050_075,0.0002744978039521288,0.0003934424856360876
pool104hlwrk98e6h07e05ywee3thn379ddmmfveje8d6cuvp54zcah6,ADASC,1182230.365966,True,351.2408178611641,491.7371450056297,341.0030530238565,353.53997582819017,0.46012405955243,0.4770404471444844,losing_025_050,losing_025_050,9.508145099943548e-06,0.00012834820469329205
pool104v7kzpq86r0wnfsz8r7jeld2raap92qq84trjcqk62zyh9akqt,SEAL,1895162.283236,True,562.9799823481063,788.1719752873488,190.81423296442543,202.7415544904584,0.2574704792623431,0.2735643164039169,losing_025_050,losing_025_050,0.00020735954162040985,0.00032618419053370815
pool104z3yr7faqhck6wcsczhmqrrpdeparcr8juw8unxy8tm6xp447d,,70016947.134638,True,20794.66902816775,29112.53663943485,1362.7334514083877,1778.6268319717426,1.838770774014316,2.399946250036834,edge,comfortable,0.0002775318886639405,0.00039038991167240965
pool1057u7q40d3azwak890qe9rt3yh554udtqjgj8nkuk0d5unenspe,ETO16,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,pledge_not_met,pledge_not_met,0.0,0.0
pool105y08fgl97g255q7v9nk0x7aqyxaqcluve2jxhgwemkaxkeyd82,,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,pledge_not_met,pledge_not_met,0.0,0.0
pool106jtt06k5wjpqc5r5fkz06pgwhwaljzs624mnfua8fkhq0fl9am,,90.188364,True,0.02678547489317946,0.03749966485045124,0.02678547489317946,0.03749966485045124,3.614231994581936e-05,5.0599247924147095e-05,losing_lt_025,losing_lt_025,0.0,0.0
pool106l8sgu50wpw3nmqkmhlgzl5cctw428ruem2rpwjklg46nprex0,,502.365742,True,0.1492000580030118,0.2088800812042165,0.1492000580030118,0.2088800812042165,0.00020131941859476854,0.0002818471860326759,losing_lt_025,losing_lt_025,0.0,0.0
pool106p2jjwuwagq2as7cdzx4y6cyc2pdj7a3h3vv5cvkvnskegff3w,VOLT,4183332.400362,True,1242.4327652431175,1739.4058713403645,340.5788912113817,340.89768877114807,0.4595517272717294,0.4599818888966015,losing_025_050,losing_025_050,0.00021572102784971772,0.000334519406399374
pool106sjgd9m4shsvtc9ruk7femgndknefmct6eedskww37pzv8hz9n,,60886841.633738,True,18083.08219214935,25316.31506900909,707.9382667310182,925.1556453430051,0.9552390405665911,1.2483359532364384,losing_075_100,edge,0.0002853767622059875,0.00040061078818420776
pool1072lq3k32sfxs96s9qhrx3s9la2t68vrqwfsp7h9qnwk56yr2mv,lSPF0,7440989.98039,True,2209.938732049225,3093.9142248689145,2209.938732049225,3093.9142248689145,2.9819263251039017,4.174696855145461,comfortable,comfortable,0.0,0.0
pool107attaqquuq5ne2ch0hx0qcnlkzzr2683s4gml4ywnqvgj6pak9,CCJ5,228950.904531,True,67.99974412165399,95.19964177031558,67.99974412165399,95.19964177031558,0.09175377767539518,0.12845528874555323,losing_lt_025,losing_lt_025,0.0,0.0
pool107qfdeg9wlpt9yntg7650kzval6ahl696jr2ca20763ukzr0tzw,SRP,349059.504194,True,103.68605426819701,145.1604759754758,103.68605426819701,145.1604759754758,0.13990622015198995,0.19586870821278593,losing_lt_025,losing_lt_025,0.0,0.0
