pool_id,pool_ticker,declared_pledge_ada,active_pledge_ada,active_stake_ada,third_party_delegation_ada,third_party_delegation_vs_declared_ada
pool10jd7mphm0mmrnfvyytzs3tfrmjmtkvalfx8nql7tae06v0rkjk3,DOS,1000.0,1557.175541,23038.755606,21481.580065,22038.755606
pool10jn0wjlh9y3w2ygq84u2llvlnxfz3lc4g0ssqlmpp3w3y2d2lw5,EARN,100000.0,106108.193574,7104483.057688,6998374.8641139995,7004483.057688
pool10jqlkjfn2rtlc6hp95p8k4h04h3dfmdcgnga6umwp2rpukpg20l,CCIO,410000.0,1022.172676,16350.180704,15328.008028,-393649.819296
pool10ldeq0mccp8t4gfmvfkwmfcvh2pvz44hj2hmewfpk9udjxug58y,BREAD,100.0,619.058768,215231.051864,214611.99309600002,215131.051864
pool10le7rwlfg3t9646gm09jp05qg5kqvq3gvut4q2yaeu2ujncnh7w,,0.0,439.569766,2854.261122,2414.691356,2854.261122
pool10ljdn3zwsh7vjkxf6t250423l5qy487x83st7m8a53jxznrkw5g,,1200000.0,5020.24725,127062.59889,122042.35164,-1072937.40111
pool10mf43thtl3keag50mrlvqa78xkwg7harmu4w5yzr3k7jvw0ap43,JORGE,200000.0,209406.623655,2927773.115288,2718366.491633,2727773.115288
pool10n23qyec2zcetv0e3x7fdjydscsrlet5sph2hgtfc7x5ze56jqn,DOTAR,5000.0,56818.583109,901698.759103,844880.175994,896698.759103
pool10n5e9hupkx0fs39fmhzpusdhd25vh6twxyq2n5dncegpkumhuz5,,1495.0,0.0,0.0,0.0,-1495.0
pool10nug2zc80t6tz64awqr0362kfsh6yvje6xz2a6appzhzwe25nc5,,12000.0,0.0,0.0,0.0,-12000.0
pool10nwac5phcc4vkjvux5mw6gvdzlxurkd944e5yx9yyfa8sqs35t7,,0.0,2.0,36120.987876,36118.987876,36120.987876
pool10p3g22454ly7eaurlur5wc9d9ual2fnfwy7a6e7k09z3yf929k9,OUROS,2500.0,340422.257946,6076311.463663,5735889.205716999,6073811.463663
pool10p6wd9k0fwk2zqkqnqr8efyr7gms627ujk9dxgk6majskhawr6r,BBHMM,550000.0,551023.40242,7036434.076718,6485410.674298,6486434.076718
pool10p7hdyghmkfuuxep4slslvjs2fk0hechqwadc2348e6g2x8hta6,SBPIO,100.0,5.893313,360.524775,354.631462,260.524775
pool10pd44d65586rldtdzuu88e7mn4sxjctvdksmt05nnqfzqu7g7hd,RDB,1000.0,1439.881162,3460141.27996,3458701.398798,3459141.27996
pool10pktmr26fpvrt77j7m5mchqlt0mjmmfvt7ruvdewkcpasp0nzkl,IOGP,64000000.0,0.0,0.0,0.0,-64000000.0
pool10pmpya78vv23pngluf7hwpg9lerepmqdmdu47huf5vsskt56wzq,,200.0,247.210196,247.210196,0.0,47.210195999999996
pool10pvwz69qz468m79ysw8qjcav5z830sv4zmeprru2n4anyuxwj9l,,0.0,0.0,124124.412269,124124.412269,124124.412269
pool10pxym4rs92lj853juzku38z58d9n59ra55qd2mnm820ljx4c6h9,JVNP,10.0,139.818659,139.818659,0.0,129.818659
pool10q2fhzwe4f5k2llny65z5z2fuhrpk3x56fdc0782djdq58p9uee,KURIS,100.0,34747.281659,2278562.468341,2243815.186682,2278462.468341
pool10q33p4hx4wqum6thmglw7z5l2vaay4w6m5cdq8fnurw7vjdppcf,SPKL,1000.0,8576.795501,38230.184169,29653.388668,37230.184169
pool10qmnswfc22zm0fscg80gkwqz65ujwjkqmctv8g9l9l58wqtelgg,WAAUS,30000.0,40865.975291,2697137.476281,2656271.5009899996,2667137.476281
pool10qrz84cvz95zg8saf43ruhs5ulczuuqm2d3jn6d8xkkkzgzfje7,,44325.545672,88771.874447,112074.806511,23302.932064000008,67749.260839
pool10quq4wlghwrvmhdzc7geq22pyhzegccwj56ax2g8hx0cjfahufs,SPS2,10000.0,26172.056006,24708911.64549,24682739.589484,24698911.64549
pool10rdglgh4pzvkf936p2m669qzarr9dusrhmmz9nultm3uvq4eh5k,KILN0,100.0,4679.600928,74073232.951482,74068553.350554,74073132.951482
pool10retvgthe4vymhaq8vr2734zladmeeuwy07rq8r5f690ydmz3vc,MORAL,59000.0,137.688251,971.580862,833.892611,-58028.419138
pool10s8x49tu6wcne63rqv6gmnhwpcg4kg8r4s3ncv6q7uxx76jvlwg,,5000.0,5097.623546,5097.623546,0.0,97.6235459999998
pool10scv5quxduhrcc26wpurhk743dngspe8dc3zpkkam0svyx6ejx3,CDNTH,100.0,1040.369948,8648242.326177,8647201.956229,8648142.326177
pool10tcg3efecc706w98qs7j5jw84nxkcycseksp4mw64pjty26wr7f,,16451.0,0.0,0.0,0.0,-16451.0
pool10tqeu6d03p6rnalqlvdshmpsljxaq2c0ww6draq6xm8lgyl2a3p,CASP,100000.0,100002.076047,8631852.650929,8531850.574882,8531852.650929
pool10u90lv7ayyfdulnt004h2wg42yff22c8vjlnqjxv7pytypuaykv,,45000.0,7.442557,6192.921948,6185.479391,-38807.078052
pool10usr6ag036ujwhmm85km8w0skjn3fp3dwnktt8sje4lfvwhu40u,WALDO,66000.0,2.081122,2136.948271,2134.867149,-63863.051729
pool10v6uh7yan2dg8utwpgurj6th3u3s3q3m2lcg8z9mxtncvx72dhc,,100025.042945,1.0,1.0,0.0,-100024.042945
pool10vgnav004xgw03qkqfy6864zq53lzjkcf0syeu4g3uj8xaytlm8,Pier2,100.0,247.63965,1475.994327,1228.354677,1375.994327
pool10w8gmhnprfmhdlp6npjt8d3ts64ng4qxsu0mr33dhpxpzwn4rgt,,10000.0,2.91521,2.91521,0.0,-9997.08479
pool10wcmpvjmmv7ph7cz2263f52yckvnnwu5kdppwqgu74s2qhe7l7m,4TUN8,200000.0,204998.65838,1216672.604799,1011673.946419,1016672.6047990001
pool10wugf8sxugp74y0dafvc83jmcg2z9v7u5yfs79zy67rxc5lqhd6,,330000.0,700.014847,4678.355731,3978.3408839999997,-325321.644269
pool10ww24pk8znf747x6d0wcueajegrjwzpv8x9a4aar4t05s7uzf76,S10E,0.0,2452.995576,2452.995576,0.0,2452.995576
pool10x7rsal3ldumkycuc7f7rslx3vc5axhz5jzwngfcg7hd6t2p7sc,BNP,2.0,29761.65151,66639.295215,36877.64370500001,66637.295215
pool10xk8jp4m2cztf69x9gvg3j33x5drkrz2hulsjes29wktcfcxdls,,2.0,35270.282973,14276240.864801,14240970.581828,14276238.864801
pool10xmmn972gyza7nj8q4cyy0vrpn6kqzmdz2ut7ynnc8d0ycxlvw3,MATE,101000.0,136208.554279,344298.643126,208090.088847,243298.643126
pool10ya6hxrssmyhl560gqyalhqxudkgfjdlc0e4krww6wweyaeajs8,NKR,40000.0,47007.359428,29702642.180265,29655634.820837,29662642.180265
pool10zyf32q3w3n9x940j6yqgkwuegzn77p94wcmpku6gvmrqw8a97d,XSP,20000.0,45362.472214,25947752.278328,25902389.806114003,25927752.278328
pool120s8wucgh9dnshf3xkvffq30lcf4kta9uzf35s44eulezc8puwj,REEF,1.0,9.802291,9.802291,0.0,8.802291
pool122gfj3ynz5ch8cfkx0tt5dsfpnf36sujcvrvxzqjm28yym8vv8x,CTUTS,500.0,2.618002,67.456466,64.838464,-432.543534
pool122gklgk6gep3dm5grag0kavzzxcwk4kxxrqegfygghjpgch6pns,,1.0,54.258533,26415.60343,26361.344897,26414.60343
pool122pmneflla304ptc7s5ws948u28zaek08k6hk3fmw8rgkzmgect,PBDOT,3100.0,3150.651545,3262.347727,111.69618199999968,162.34772699999985
pool1233gq8vt6nzytuw60sr9gy2jmehc88fpglrjrzsd8kys5gqelgg,,1000.0,2149.219284,4079.358398,1930.139114,3079.358398
pool123gn9my6u32zea8l3uk889rjj2qf2tfagcz67q4v4r9ccjjtge7,SNY,100.0,497.625746,3543.776436,3046.15069,3443.776436
pool124hy9qgc0nhqsve268kj5r53pvz7ppg295q6r2d0sjxswchljf0,BNP,2.0,30945.794293,32121961.703908,32091015.909615,32121959.703908
pool124lm97s6f4satl7xz0ulzgg6tv30tskry3zcntwrz68n60v5yne,SHARP,100000.0,672.752201,11058.880161,10386.12796,-88941.119839
pool12582dmkl7xanxlmfnwd4fepmx4tt5kkw327mmklcjdxngwaxvh2,FGMTF,2e-06,9.820727,1001983.096233,1001973.275506,1001983.096231
pool12584mjtgz3fhgpx823qht56gycnfnezg6aqqthazv4qdxkd5c46,DOLCA,50000.0,75955.07085,713579.760243,637624.689393,663579.760243
pool1258yqnsegc3k7raqcdkxu4893aqexxljflmg9g96yfha2qytayv,1PCT2,50000.0,55087.895719,560337.048234,505249.15251499997,510337.048234
pool125kh7e0y9lwya4sz5etmsk7hvga9jtfpuhw00vz9zvk6sh8xh5r,CHOCO,10000.0,93963.622359,7757931.71301,7663968.090651,7747931.71301
pool1263z8symvqmmsg876y2lzluv29am2v9fpzka9sf3nrhz7uwlzap,LION,1000.0,1072.829681,297273.492819,296200.663138,296273.492819
pool126f65lklaqw39jgx9wl8klqtx99evewxk0x5yc2jzzp5wfs8fde,XPPX,119000.0,144631.572944,536845.683641,392214.11069699994,417845.68364099995
pool126kcx3ve6xedpdk8gm9gtgs5x2h77tuwe5hjjcrp2nshu2xv8l3,ADAAF,2500.0,2647.043882,2939.165647,292.12176499999987,439.1656469999998
pool126mkma8nv5axltmz7mmg8qz9e70nmhnf58hwx5772fhwgkhk6ag,NAP,20000.0,22185.264157,18131001.028506,18108815.764349,18111001.028506
pool126ugnr0nxjxz72jrlzrqetqx0exn43t5w67u9vuq23xex4ym7dv,,100.0,109.61171,109.61171,0.0,9.611710000000002
pool126ut5j5qz5wg09sjxrjugmjhqyslgam9cyj7a275y99l6n3gql0,BIOME,10000.0,1.210482,5516.81282,5515.602338,-4483.18718
pool127cp6le6v4hs453tkwnjd6ua9fcmmh7y5zc44zx752yzklgcrcq,IPMCo,200.0,1442.48367,1442.48367,0.0,1242.48367
pool127gdv243hfcrapslaqq0nnh64u2gts72gtrt4888g6g2z0zsu64,TTS17,28000.0,156831.795235,1165746.560976,1008914.7657410001,1137746.560976
pool127jufnlxk4n6he84qjf8ppzmxs9sjnqlhulnuzsk0uc0whtl9sn,WILDR,6000.0,12012.868419,31110.339119,19097.470699999998,25110.339119
pool127xwsah7jllutuhen8vl7sve5278h7hhxtnys3cl438dyhuwgjg,ARTZ,1500000.0,2024253.871906,2380628.940652,356375.06874599983,880628.9406519998
pool127xz8pls3lr6nct6w274ph2g4u83vqajgykf3l9ll772gvmju8z,,2000.0,2026.816204,2162.16716,135.350956,162.16715999999997
pool128r8qqgl9zgy3ff4759a2qslyauu5takaec3nxx4a6mvj3ys8da,BTCAO,1.0,21597.087334,1491555.53618,1469958.448846,1491554.53618
pool128sj7hpet8874ycvxml85wlv9eyd8pehjhnj3clcvhrr5g5s9qj,BIZ,10000.0,13456.933998,25021.3693,11564.435301999998,15021.369299999998
pool12a4mx8ztxg7dwatm6lmfm36q7eyygkt3y3h29tklvcp6vyxp0nt,,50000.0,0.0,14785.014207,14785.014207,-35214.985793
pool12ahcpgfgzkm29zajw8fgfqjma6ngsks7zdk4tr7q280pwfvtlek,BNP,2.0,42438.594545,32128043.520627,32085604.926082,32128041.520627
pool12ame5t8hdltyl30npznvhn23kxnvthk82j9p7dr4uew3y92uqes,EoK,30000.0,27.419621,81651.547632,81624.12801100001,51651.547632
pool12cc8t9yr58xureweksj73v87xkm6svcs8j3xnt93zd5zw5q6ugr,,900000.0,0.0,0.0,0.0,-900000.0
pool12cmz6vtm43tztqck4xnayhpmeml4ljxutvuexhwgsvrpwllnscv,PUWSP,2.0,12.621346,7598.555142,7585.933796,7596.555142
pool12d3th585ga2w593eu5zqnkahsnlczjpqxemjc0qhku7awnhvn8a,H3ART,10000.0,12065.358034,171544.280445,159478.922411,161544.280445
pool12dcwy586prq83qggtfvaxwdpys9dw4sl2yahrdjyjxsqzcq84rk,,10000.0,38522.997904,1863101.150722,1824578.152818,1853101.150722
pool12e8xz54gjtcz6dzkhua9uq9dp23cqcmf6xc4929t4ep4ketccsm,SOCK,12600.0,12620.06001,32836.442065,20216.382055000002,20236.442065000003
pool12eht6dqxpzqj87xuextrpufz2gxmt4reuesuw26r2utzw0kw906,CAN1,40000.0,107042.7494,6368382.236304,6261339.486904,6328382.236304
pool12f2r9xf4wvht030xwjhpjvy5yptr275qr2qcydnx57jkxyfzz2w,FREE1,300000.0,410840.45644,501185.996294,90345.53985400003,201185.996294
pool12f68ksfmsthe4r9xx2up9x4zx43tstu3psmjvk57papsv8vu9re,,1000.0,1093.094791,1093.094791,0.0,93.09479099999999
pool12fvqhdv6wx77zkjdq06k5ylzswd06w7yavt8fd6sm5pwk30k9l4,,100000.0,0.0,0.0,0.0,-100000.0
pool12fzerww0hmk0fyvaujz5t2kg6hl4n8daz85rqy5jk8qk58r59y6,ZETE2,1000.0,2438.264057,102085.687836,99647.423779,101085.687836
pool12g6gfm5c4q7rzwwxdmh0xdxk07tyvujp6d9tke2m46k7q7cz7p0,NDE,2000.0,3373.193811,114243.911768,110870.717957,112243.911768
pool12h408zlkavwxw4wkw96mt8unjs8sn27k0yk4yhz4pzvsx0wvmq5,,0.0,2.201398,579.88263,577.6812319999999,579.88263
pool12hhrd4azpps5jxppcqs2pgtylatg7xkhaqmnetgv2988k3t4drf,YAM,500.0,500.0,6208.049253,5708.049253,5708.049253
pool12hszgt63rau649xhfuy4mjmdukzpy0atyskd7hujl7zdxjv7e8c,,0.0,7.304864,7.304864,0.0,7.304864
pool12jqfrwhuv2jn0uymwmud2d63gp5drj08fjfart9dxgpu2tmj8a0,IOGP,64000000.0,2.925923,2.925923,0.0,-63999997.074077
pool12jzydsj2yjjn59zefvgz2q47rvfk950xckm5x4ejcdvucueg5c8,ZILLA,20.0,0.0,51.006764,51.006764,31.006763999999997
pool12kdg7dmdfh0t9hmy43pvl38ftu5dvppyn86wgkc4jq8557xkyz7,RENEW,30000.0,38708.382315,184656.933092,145948.550777,154656.933092
pool12ktz62g9d32nq0cdk9jyyqg6kquj7lnmx776at5h598supql0t2,CTEC2,10000.0,14784.168716,7464030.535472,7449246.366756,7454030.535472
pool12l453n0jtxqq88cgwgr67z06ldyhqqvwxgkn0sgungjfvhtp2el,EVERS,1000.0,1496.409636,39421087.918967,39419591.509331,39420087.918967
pool12lsfsh2s8yt8dvrt9m8kgrgr6ktntngvn2vad60xlqz7kxz9fxr,POP4,50000.0,53389.480809,4122221.288075,4068831.807266,4072221.288075
pool12m0v0myprg2nfvlymzaghvjrzhnlzkh2psn3sur2nhkj5wpkdmh,DAPP,1000.0,1097.454129,363054.558046,361957.103917,362054.558046
