pool_id,pool_name.ticker,pool_name.name,sigma_ada,pledge_ada,sigma_over_T,pledge_over_T,R_ada,T_ada,z0_ada,k,f_a0_0.1,f_a0_0.3,f_a0_0.3_plus_1pct,f_a0_0.3_plus_10pct,f_a0_0.3_plus_25pct,f_a0_0.3_plus_50pct,f_a0_0.3_plus_75pct,f_a0_0.3_plus_100pct
pool106sjgd9m4shsvtc9ruk7femgndknefmct6eedskww37pzv8hz9n,,,60886841.633738,1912.562755,0.001570707571,0.000000049339,14966501.840557,38763957566.434639,77527915.132869,500,21370.9597686359,18083.2090231469,18041.5759553798,17675.3301712629,17096.8837995002,16212.5922196790,15415.2801395123,14692.7160668613
pool1072lq3k32sfxs96s9qhrx3s9la2t68vrqwfsp7h9qnwk56yr2mv,lSPF0,🟣 Spectrum Finance | LBSP x2.25,7440989.980390,159626.707727,0.000191956406,0.000004117916,14966501.840557,38763957566.434639,77527915.132869,500,2612.2690497838,2211.2738877651,2206.1960518685,2161.5263676650,2090.9753391595,1983.1214679959,1885.8761743237,1797.7476269333
pool107attaqquuq5ne2ch0hx0qcnlkzzr2683s4gml4ywnqvgj6pak9,CCJ5,CCJ5,228950.904531,10005.433537,0.000005906283,0.000000258112,14966501.840557,38763957566.434639,77527915.132869,500,80.3613516861,67.9997454268,67.8432093537,66.4661626954,64.2912635490,60.9664177275,57.9686059212,55.2518389718
pool107qfdeg9wlpt9yntg7650kzval6ahl696jr2ca20763ukzr0tzw,SRP,Smile Rose Pool,349059.504194,92039.001970,0.000009004744,0.000002374345,14966501.840557,38763957566.434639,77527915.132869,500,122.5284668267,103.6960869553,103.4576109247,101.3597390765,98.0463729939,92.9811122009,88.4140737810,84.2751952130
pool107rsdzswa5s3y8wk5z62tgh5lhm790dsyqjp4lq66fht7qnaq9d,WORLD,Cardano World,25216220.127326,10161.909195,0.000650506855,0.000000262148,14966501.840557,38763957566.434639,77527915.132869,500,8850.8542005924,7489.3805953853,7472.1401391413,7320.4759751904,7080.9385138231,6714.7490613881,6384.5782436188,6085.3609400154
pool1085up093vl7qgwnqsuset7kdt3yflscdp6h8eeakuhyzwlhmq68,BPE,Best Pool Ever: 0.00% Fee & Maximum Rewards,421298.335901,6053.141439,0.000010868300,0.000000156154,14966501.840557,38763957566.434639,77527915.132869,500,147.8742635821,125.1263028074,124.8382434423,122.3041873730,118.3019145751,112.1834975391,106.6668920149,101.6674682586
pool108zdflss3ayqlm5c7vr6mtqj2uwl99vk28ur8dv4zswdzt6yauc,AZUR,AzureADA,45107923.532674,1348828.804205,0.001163656303,0.000034795952,14966501.840557,38763957566.434639,77527915.132869,500,15859.8049011870,13465.8675285628,13435.5528956784,13168.8752981244,12747.6863167755,12103.7997131042,11523.2462179907,10997.1196130441
pool1095d0cr8yp0selmnrst5hnuf8jcl6vlkxlr2j6kq4x6qs4yxuwt,N/A,n/a,59250169.612026,62076.302338,0.001528486082,0.000001601392,14966501.840557,38763957566.434639,77527915.132869,500,20798.1099839287,17601.2180283184,17560.7355131476,17204.6111315697,16642.1504416353,15782.2967432297,15007.0188184379,14304.4231990952
pool109k0t72eh8txza4ptnagnfyqkjnmfe60afmtm4dvj9lz7dy78lh,,,386060.336469,3562.115547,0.000009959260,0.000000091892,14966501.840557,38763957566.434639,77527915.132869,500,135.5054212714,114.6594773301,114.3955033662,112.0733263901,108.4056941477,102.7988540532,97.7435064270,93.1620976407
pool10c9l3k0z50ytt4krkfet7w3gwpv9d9nq47kk9ecy2c5f2uyvkgk,BIRTH,Larissa.Health,273183.412202,106.922142,0.000007047356,0.000000002758,14966501.840557,38763957566.434639,77527915.132869,500,95.8857112231,81.1340857130,80.9472846225,79.3039968339,76.7085980600,72.7409194745,69.1635043564,65.9214719057
pool10cpz0zepq23hm6lrk8vgnsdwl772lasq9caaemvw9kh9ktxqygk,ESQ,Esquire Stake Pool,2211.906006,2142.939953,0.000000057061,0.000000055282,14966501.840557,38763957566.434639,77527915.132869,500,0.7763654751,0.6569247461,0.6554122580,0.6421069113,0.6210925274,0.5889670899,0.5600015316,0.5337514943
pool10d6mmw3mn9ku3r7uqqye672dz3sv76lh5kvh5rdpr9l5ug5yknr,KILN4,kiln,79971298.819684,4880.056634,0.002063032359,0.000000125892,14966501.840557,38763957566.434639,77527915.132869,500,27211.9928152725,23025.8222524399,22972.8124179912,22506.4853029156,21769.9710835901,20644.0355528972,19628.8477793217,18708.8338595188
pool10dzswwk8ycrxfv04nv44fjpqdx4j5euj406df0xsq7xyy0r0ta5,ADAFS,ADAForgeServices,100.797210,2.641293,0.000000002600,0.000000000068,14966501.840557,38763957566.434639,77527915.132869,500,0.0353792011,0.0299362473,0.0298673227,0.0292609936,0.0283033611,0.0268393942,0.0255194241,0.0243232011
pool10efuydxjnasr0309lqklmj9xahupdnzqd59r5dqjeh4twz06tr0,F4ADA,Friends4ADA,11480352.787575,300050.979323,0.000296160493,0.000007740463,14966501.840557,38763957566.434639,77527915.132869,500,4031.0580396635,3413.4756927525,3405.6551948829,3336.8583339252,3228.2009886792,3062.0926333031,2912.3228046854,2776.5938975005
