pool_id,pool_name.name,pool_name.ticker,pool_name.description,active_stake,live_stake,pledged,live_pledge,blocks.epoch,delegators,epochs.0.no,epochs.0.data.epoch_stake,epochs.0.data.delegators,epochs.0.data.block.minted,epochs.0.data.reward.member_lovelace,epochs.0.data.reward.leader_lovelace,pool_update.active.margin,pool_update.active.fixed_cost,pool_update.active.pledge,saturation,f_reward_ada_a0_0.3,f_reward_ada_a0_0.303,f_reward_ada_a0_0.33
pool15jkpn2jewgensrnulsm0kqtj58nauvgng0qvy2ux47jdwncsw9s,Mercy Charity Pool,MERCY,"Help Charities in Thialand and earn rewards! Orphanages, Homeless and etcetera charities",12664533293,,514242355,,0,9,644,12664533293,9,0,0,0,0,340000000,500000000,,3.7613076801,3.7526477955,3.6764668554
pool15jlf23neurgga440wxfux2g4pk0pwjm0t9mvvzvs0npvy59mdpn,,,,99578092,,1822883,,0,1,644,99578092,1,0,0,0,0.02,345000000,2500000000,,0.0295741755,0.0295060845,0.0289070888
pool15ju4ktqmtha9vry4mf44hr2psf807n4achj76z8uhawgw9462kx,,,,699285636247,,30964704789,,0,30,644,699285636247,30,0,0,0,0.008,340000000,20000000000,,207.7079886500,207.2300034929,203.0251716603
pool15jzfzmh3s4vnhm2qm3p5e0632kv8nuw2luxarqrzpa8a6cgnthk,,,,101250210,,99805767,,0,1,644,101250210,1,0,0,0,0,340000000,50000000,,0.0300707858,0.0300015514,0.0293924974
pool15k0zeppza4qzgf6z7wmwsgvl5rz9f6489zxhrxqa8dj6jzju6ct,Cardano Media Taiwan,DDOS,CMT provides the latest info about Cardano in Mandarin. ,5137619355145,,52382135544,,0,448,644,5137619355145,448,0,0,0,0.01,340000000,20000000000,,1526.1525587853,1522.6418333324,1491.7580079204
pool15kek228mhvnsncdjn77u8qtrn8hjh5wfzmh6g942xf0353yc77j,Thoughtful Iris Albattani,TIA,,35017402005504,,0,,39,11,644,35017402005504,11,39,10592007089,897474057,0.05,340000000,0,,10399.9862137736,10376.0415026138,10165.4000585757
pool15kh3h3d77hdcv4ld82cm7mxh7uuqm6d568drqaky9ftlczl6hfh,,,,3743562473,,497621874,,0,4,644,3743562473,4,0,0,0,0.05,340000000,0,,1.1118204345,1.1092606209,1.0867419595
pool15krrlqfd3uc8nea2tw8z3wl2v0fny4enhu3q892988zv7dhv0vk,,,,25196726617,,12244181710,,0,7,644,25196726617,7,0,0,0,0.015,340000000,10000000000,,7.4834790348,7.4662510479,7.3146965764
pool15l4plz3r2lm5x48lz78ph7qh8w89zd7ewrg62gvwv7u7kw6tmns,,,,25539160274,,25539160274,,0,1,644,25539160274,1,0,0,0,0.05,340000000,25000000000,,7.5849979780,7.5675344395,7.4139078222
pool15l7f5vd5sqchjqys6x5ygmdgs88q4y6ndwc7xy9a05y2jfced93,,,,103000000,,3000000,,0,1,644,103000000,1,0,0,0,1,340000000,2000000,,0.0305904645,0.0305200336,0.0299004540
pool15l8p8v8yzdjvl3vml6qafx0wgy4k6t938jl0qy24wslgw7xlhc2,The Savvy Pool,SAvvY,"Join the SAvvY pool - Always ON, Always DEPENDABLE, Always CONSISTANT ",47069,,47069,,0,0,644,47069,0,0,0,0,0.05,345000000,10000000,,0.0000139792,0.0000139471,0.0000136639
pool15lp37f7da0guj662jcxy0eyc49s5gxudcd93j8qz4nfcvuhrsf9,SCV Pool,SCV01,SCV good to go sir!,51169295430,,2899232564,,0,41,644,51169295430,41,0,0,0,0,340000000,100000000,,15.1971753674,15.1621873128,14.8543976591
pool15m3nrmzhaef66j4sue7p66yshtxfug84zuhfd8skxhh9q6mkgyx,drokdev-pool,DROK,This pool D-ROKS and DEVS. Welcome to drokdev group's pool,0,,0,,0,0,644,0,0,0,0,0,0.035,340000000,1000000000,,0.0000000000,0.0000000000,0.0000000000
pool15mfkj8sl7estcmmd5a07afrx5f4hlz3pcr6p6ay5pfmrjfl2hlf,DOXA,DOXA,"Championing Cardano decentralisation, sustainability, and scalability",1012124342771,,472543147207,,0,45,644,1012124342771,45,0,0,0,0.01,340000000,320000000000,,300.8920430883,300.2022324953,294.1339738956
pool15mkly3gw008dmxfrh9eycl5aguyfm0rhdlup2hzukjkrsfdxqew,,,,112597005,,120236159,,0,1,644,112597005,1,0,0,0,0,340000000,500000000,,0.0334407247,0.0333637315,0.0326864226
pool15mv5w2vvfv2kplkrt40ylylyvdudv5axq5nyw6ln3v0gkd2auew,DutchPool NLD,NLD,Cardano ADA Stake pool of the Netherlands,429181152735,,682429748,,0,184,644,429181152735,184,0,0,0,0,340000000,10000000,,127.4649055655,127.1714363806,124.5897901681
pool15nww4436eq733eypdq7vnllsnqyrwftw434xkvpm2mc2kfue2ux,Seed Pools,SEED,Mustard Seed Pools,405629799690,,0,,0,379,644,405629799690,379,0,0,0,0.04,340000000,1000000000000,,120.4709295097,120.1935696270,117.7536368242
pool15pggy59smh8465ldedcc5ks0nlr6xxlna73wmpkfp5jn7sh23pv,KubePool,KPOOL,The Cardano Stake pool powered by KubeCoin,710795142,,12620906,,0,3,644,710795142,3,0,0,0,0.01,340000000,0,,0.2111024693,0.2106164315,0.2063407605
pool15pmdr6nw3g6mmt7regefp2lrx3njah0gpwsnqm794c4wsr23062,MetaDEX.fi,METAX,Advanced Next-Generation DEX building on Cardano.,925841443536,,106505138603,,0,561,644,925841443536,561,0,0,0,0,1000000000,100000000000,,275.0705346443,274.4382201019,268.8757538266
