pool_id,ticker,sigma_ada,declared_pledge_ada,declared_pledge_bin,active_pledge_ada,declared_pledge_met,margin,fixed_cost_ada,f_ada_a0_0p3,member_apr_a0_0p3,f_gt_c_a0_0p3,f_ada_a0_0p6,member_apr_a0_0p6,f_gt_c_a0_0p6,delta_member_apr
pool100wj94uzf54vup2hdzk0afng4dhjaqggt7j434mtgm8v2gfvfgp,,4419.361614,4000.0,low_lt_100k,0.0,False,0.0,340.0,0.0,0.0,False,0.0,0.0,False,0.0
pool102s2nqtea2hf5q0s4amj0evysmfnhrn4apyyhd4azcmsclzm96m,YULI,6712.196804,1.0,low_lt_100k,1497.271996,True,0.005,340.0,1.9934875375633383,0.0,False,1.619708630536861,0.0,False,0.0
pool1030as3pp5684ghgf4kzcpv4p2jnmkmme7j363t95690zwxp7wa0,888,1268558.68384,50000.0,low_lt_100k,53374.407057,True,0.0,170.0,376.82539731869457,0.011901896377833636,True,306.22756559858504,0.007839300156452986,True,-0.00406259622138065
pool1030vz0wxheg0dvarr8hmeavelpszmp52qucs68c7wc9uga6n6e4,ROMER,1764031.096207,50000.0,low_lt_100k,93160.970503,True,0.01,340.0,524.0066153222492,0.007538505482092975,True,425.835452766418,0.003516563956705386,True,-0.004021941525387589
pool103455uc7a3477q8pdmzvny884qtlv9vhm2csxvqx2cadwuk36sq,EDEN,58465669.811509,1000.0,low_lt_100k,1094.142715,True,0.01,340.0,17364.06695097956,0.021043619657720943,True,14108.358990357083,0.017019206440994753,True,-0.00402441321672619
pool1043kkcc2uwmdf76wg6jy80tkgwztzprep2rakyypmwc4637c2xe,BNP,24668.670882,2.0,low_lt_100k,17.639298,True,0.06,345.0,7.326466967193672,0.0,False,5.9527544569103705,0.0,False,0.0
pool104avq7309gjm0fxms69yqusxy8zf888k4mamngg5vnc6vculpzq,NUFIB,24594658.61133,1000.0,low_lt_100k,1004.645511,True,0.03,340.0,7304.51391562825,0.020051395636711707,True,5934.940521323862,0.016108283695893053,True,-0.003943111940818655
pool104gtn3hvp9lz5l6wevhjj98e45s7rfaa4zzvk9pex7nn786qncr,PILOT,14870603.710077,325000.0,mid_100k_to_1M,325050.0,True,0.0,340.0,4421.948061858515,0.020038339688505397,True,3597.2659025592206,0.01598996352284556,True,-0.004048376165659836
pool104hlwrk98e6h07e05ywee3thn379ddmmfveje8d6cuvp54zcah6,ADASC,1182230.365966,100000.0,mid_100k_to_1M,105494.080424,True,0.0,340.0,351.24081786116403,0.0006940945922958756,True,285.48436126690433,0.0,False,-0.0006940945922958756
pool104v7kzpq86r0wnfsz8r7jeld2raap92qq84trjcqk62zyh9akqt,SEAL,1895162.283236,60000.0,low_lt_100k,100377.502775,True,0.0,170.0,562.9799823481062,0.015137246538289914,True,457.5241339207699,0.011075179134726616,True,-0.004062067403563298
pool104z3yr7faqhck6wcsczhmqrrpdeparcr8juw8unxy8tm6xp447d,,70016947.134638,0.0,low_lt_100k,0.0,True,0.05,340.0,20794.669028167747,0.020259827872467655,True,16895.6685853863,0.016397967397646606,True,-0.0038618604748210487
pool106jtt06k5wjpqc5r5fkz06pgwhwaljzs624mnfua8fkhq0fl9am,,90.188364,0.0,low_lt_100k,0.0,True,0.06,345.0,0.026785474893179454,0.0,False,0.02176319835070831,0.0,False,0.0
pool106l8sgu50wpw3nmqkmhlgzl5cctw428ruem2rpwjklg46nprex0,,502.365742,100.0,low_lt_100k,502.365742,True,0.025,345.0,0.14920005800301178,0.0,False,0.12122508469881932,0.0,False,0.0
pool106p2jjwuwagq2as7cdzx4y6cyc2pdj7a3h3vv5cvkvnskegff3w,VOLT,4183332.400362,1000.0,low_lt_100k,2683.517769,True,0.0,340.0,1242.4327652431173,0.01574763503302939,True,1009.4805271059738,0.011682571166113168,True,-0.0040650638669162235
pool106sjgd9m4shsvtc9ruk7femgndknefmct6eedskww37pzv8hz9n,,60886841.633738,100.0,low_lt_100k,1912.562755,True,0.03,170.0,18083.082192149348,0.020832503641037083,True,14692.509966490312,0.01688934592654854,True,-0.003943157714488544
pool1072lq3k32sfxs96s9qhrx3s9la2t68vrqwfsp7h9qnwk56yr2mv,lSPF0,7440989.98039,400.0,low_lt_100k,159626.707727,True,1.0,340.0,2209.9387320492247,0.0,True,1795.5779988950621,0.0,True,0.0
pool107attaqquuq5ne2ch0hx0qcnlkzzr2683s4gml4ywnqvgj6pak9,CCJ5,228950.904531,10000.0,low_lt_100k,10005.433537,True,0.048,170.0,67.99974412165398,0.0,False,55.25183685100966,0.0,False,0.0
pool107qfdeg9wlpt9yntg7650kzval6ahl696jr2ca20763ukzr0tzw,SRP,349059.504194,50000.0,low_lt_100k,92039.00197,True,0.01,340.0,103.686054268197,0.0,False,84.25889209643412,0.0,False,0.0
pool107rsdzswa5s3y8wk5z62tgh5lhm790dsyqjp4lq66fht7qnaq9d,WORLD,25216220.127326,1080.0,low_lt_100k,10161.909195,True,0.01,500.0,7489.117484708768,0.020030897496510127,True,6084.933385166066,0.01600648843117285,True,-0.004024409065337277
pool1085up093vl7qgwnqsuset7kdt3yflscdp6h8eeakuhyzwlhmq68,BPE,421298.335901,1.0,low_lt_100k,6053.141439,True,0.0,170.0,125.12341439613324,0.0,False,101.66277459024897,0.0,False,0.0
pool108zdflss3ayqlm5c7vr6mtqj2uwl99vk28ur8dv4zswdzt6yauc,AZUR,45107923.532674,500000.0,mid_100k_to_1M,1348828.804205,True,0.02,340.0,13422.618455085154,0.020748694485988678,True,10926.839868642937,0.016790454201557392,True,-0.003958240284431286
pool1095d0cr8yp0selmnrst5hnuf8jcl6vlkxlr2j6kq4x6qs4yxuwt,,59250169.612026,0.0,low_lt_100k,62076.302338,True,0.03,340.0,17596.992119288767,0.02062386690145128,True,14297.556096922122,0.01668070410084452,True,-0.003943162800606758
pool109k0t72eh8txza4ptnagnfyqkjnmfe60afmtm4dvj9lz7dy78lh,,386060.336469,2000.0,low_lt_100k,3562.115547,True,0.02,340.0,114.6587941906492,0.0,False,93.160987539018,0.0,False,0.0
pool10c9l3k0z50ytt4krkfet7w3gwpv9d9nq47kk9ecy2c5f2uyvkgk,BIRTH,273183.412202,100.0,low_lt_100k,106.922142,True,1.0,170.0,81.13408354140479,0.0,False,65.92146837686657,0.0,False,0.0
pool10cpz0zepq23hm6lrk8vgnsdwl772lasq9caaemvw9kh9ktxqygk,ESQ,2211.906006,2000.0,low_lt_100k,2142.939953,True,0.03,340.0,0.6569250632935418,0.0,False,0.5337520097713561,0.0,False,0.0
