pool_id,ticker,sigma_ada,declared_pledge_ada,active_pledge_ada,fixed_cost_ada,margin,declared_pledge_met,f_unsplit_a0_0p3_ada,pi_unsplit_a0_0p3_ada,f_half_a0_0p3_ada,pi_split_sum_a0_0p3_ada,delta_pi_a0_0p3_ada,split_increases_pi_a0_0p3,split_decreases_pi_a0_0p3,f_unsplit_a0_0p6_ada,pi_unsplit_a0_0p6_ada,f_half_a0_0p6_ada,pi_split_sum_a0_0p6_ada,delta_pi_a0_0p6_ada,split_increases_pi_a0_0p6,split_decreases_pi_a0_0p6
pool100wj94uzf54vup2hdzk0afng4dhjaqggt7j434mtgm8v2gfvfgp,,4419.361614,4000.0,0.0,340.0,0.0,False,0.0,0.0,0.0,0.0,0.0,False,False,0.0,0.0,0.0,0.0,0.0,False,False
pool102s2nqtea2hf5q0s4amj0evysmfnhrn4apyyhd4azcmsclzm96m,YULI,6712.196804,1.0,1497.271996,340.0,0.005,True,1.9934875375633383,1.9934875375633383,0.9967437668534695,1.993487533706939,-3.856399199975158e-09,False,True,1.619708630536861,1.619708630536861,0.8098543121351063,1.6197086242702126,-6.266648533426178e-09,False,True
pool1030as3pp5684ghgf4kzcpv4p2jnmkmme7j363t95690zwxp7wa0,888,1268558.68384,50000.0,53374.407057,170.0,0.0,True,376.82539731869457,178.70214605507846,188.39517577455254,341.54794825368896,162.8458021986105,True,False,306.22756559858504,175.73175339167844,153.08530811150106,306.1706162230021,130.4388628313237,True,False
pool1030vz0wxheg0dvarr8hmeavelpszmp52qucs68c7wc9uga6n6e4,ROMER,1764031.096207,50000.0,93160.970503,340.0,0.01,True,524.0066153222492,351.4605385758796,261.9786601611318,523.9573203222636,172.49678174638404,True,False,425.835452766418,345.3461149529045,212.87767419572066,425.7553483914413,80.40923343853683,True,False
pool103455uc7a3477q8pdmzvny884qtlv9vhm2csxvqx2cadwuk36sq,EDEN,58465669.811509,1000.0,1094.142715,340.0,0.01,True,17364.06695097956,510.5560766761754,8682.016677631847,847.1494408710893,336.5933641949139,True,False,14108.358990357083,477.9386781329201,7054.1521986594025,814.5318319655896,336.59315383266954,True,False
pool1043kkcc2uwmdf76wg6jy80tkgwztzprep2rakyypmwc4637c2xe,BNP,24668.670882,2.0,17.639298,345.0,0.06,True,7.326466967193672,7.326466967193672,3.6632334694228317,7.326466938845663,-2.834800838513729e-08,False,True,5.9527544569103705,5.9527544569103705,2.9763772054224287,5.952754410844857,-4.606551318175889e-08,False,True
pool104avq7309gjm0fxms69yqusxy8zf888k4mamngg5vnc6vculpzq,NUFIB,24594658.61133,1000.0,1004.645511,340.0,0.03,True,7304.51391562825,549.2113701348161,3652.2498916528884,878.9974738959472,329.78610376113113,True,False,5934.940521323862,508.0699021452637,2967.4587781499213,837.8557405753731,329.78583843010944,True,False
pool104gtn3hvp9lz5l6wevhjj98e45s7rfaa4zzvk9pex7nn786qncr,PILOT,14870603.710077,325000.0,325050.0,340.0,0.0,True,4421.948061858515,429.22551117463945,2209.6070890087635,761.7338416288349,332.5083304541954,True,False,3597.2659025592206,411.1991457959034,1796.4116706588075,743.6701270207132,332.47098122480975,True,False
pool104hlwrk98e6h07e05ywee3thn379ddmmfveje8d6cuvp54zcah6,ADASC,1182230.365966,100000.0,105494.080424,340.0,0.0,True,351.24081786116403,341.0030530238565,175.58924956144722,351.17849912289444,10.175446099037913,True,False,285.48436126690433,285.48436126690433,142.69154665860808,285.38309331721615,-0.10126794968817876,False,True
pool104v7kzpq86r0wnfsz8r7jeld2raap92qq84trjcqk62zyh9akqt,SEAL,1895162.283236,60000.0,100377.502775,170.0,0.0,True,562.9799823481062,190.8142329644254,281.45831752816036,351.8068069166893,160.9925739522639,True,False,457.5241339207699,185.2287510182143,228.71059728580923,346.21922797230377,160.99047695408947,True,False
pool104z3yr7faqhck6wcsczhmqrrpdeparcr8juw8unxy8tm6xp447d,,70016947.134638,0.0,0.0,340.0,0.05,True,20794.669028167747,1362.7334514083873,10397.334514083874,1685.7334514083873,323.0,True,False,16895.6685853863,1167.783429269315,8447.83429269315,1490.783429269315,323.0,True,False
pool106jtt06k5wjpqc5r5fkz06pgwhwaljzs624mnfua8fkhq0fl9am,,90.188364,0.0,0.0,345.0,0.06,True,0.026785474893179454,0.026785474893179454,0.013392737446589727,0.026785474893179454,0.0,False,False,0.02176319835070831,0.02176319835070831,0.010881599175354155,0.02176319835070831,0.0,False,False
pool106l8sgu50wpw3nmqkmhlgzl5cctw428ruem2rpwjklg46nprex0,,502.365742,100.0,502.365742,345.0,0.025,True,0.14920005800301178,0.14920005800301178,0.07460001744107435,0.1492000348821487,-2.3120863085202004e-08,False,True,0.12122508469881932,0.12122508469881932,0.060612523563708415,0.12122504712741683,-3.757140248916713e-08,False,True
pool106p2jjwuwagq2as7cdzx4y6cyc2pdj7a3h3vv5cvkvnskegff3w,VOLT,4183332.400362,1000.0,2683.517769,340.0,0.0,True,1242.4327652431173,340.5788912113817,621.2151809689022,680.3607869816786,339.78189577029696,True,False,1009.4805271059738,340.4294573604366,504.73831086742024,680.2113521671907,339.78189480675417,True,False
pool106sjgd9m4shsvtc9ruk7femgndknefmct6eedskww37pzv8hz9n,,60886841.633738,100.0,1912.562755,170.0,0.03,True,18083.082192149348,707.9382667310181,9041.539346729249,872.8329818647406,164.89471513372257,True,False,14692.509966490312,606.117791240948,7346.25214055884,771.0124407075903,164.89464946664225,True,False
