pool_id,ticker,sigma_ada,fixed_cost_ada,pledge_met,unsaturated_k500,D_base_a0_0p3_c_declared,D_A_a0_0p6_c_declared,D_B_a0_0p6_c170,D_C_a0_0p3_c75,D_D_a0_0p6_c75,f_base,f_A,f_B,f_C,f_D
pool100wj94uzf54vup2hdzk0afng4dhjaqggt7j434mtgm8v2gfvfgp,,4419.361614,340.0,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pool102s2nqtea2hf5q0s4amj0evysmfnhrn4apyyhd4azcmsclzm96m,YULI,6712.196804,340.0,True,True,0.0,0.0,0.0,0.0,0.0,1.9934875375633383,1.619708630536861,1.619708630536861,1.9934875375633383,1.619708630536861
pool1030as3pp5684ghgf4kzcpv4p2jnmkmme7j363t95690zwxp7wa0,888,1268558.68384,170.0,True,True,0.00016303967640867996,0.00010738767337606832,0.00010738767337606832,0.00023792781616145006,0.0001822758131288384,376.82539731869457,306.22756559858504,306.22756559858504,376.82539731869457,306.22756559858504
pool1030vz0wxheg0dvarr8hmeavelpszmp52qucs68c7wc9uga6n6e4,ROMER,1764031.096207,340.0,True,True,0.00010326719838483528,4.817210899596419e-05,0.00014357859041337046,0.0002519890664766745,0.0001968939770878034,524.0066153222492,425.835452766418,425.835452766418,524.0066153222492,425.835452766418
pool103455uc7a3477q8pdmzvny884qtlv9vhm2csxvqx2cadwuk36sq,EDEN,58465669.811509,340.0,True,True,0.0002882687624345335,0.0002331398142602021,0.00023601842662439106,0.00029275601111988694,0.0002376270629455555,17364.06695097956,14108.358990357083,14108.358990357083,17364.06695097956,14108.358990357083
pool1043kkcc2uwmdf76wg6jy80tkgwztzprep2rakyypmwc4637c2xe,BNP,24668.670882,345.0,True,True,0.0,0.0,0.0,0.0,0.0,7.326466967193672,5.9527544569103705,5.9527544569103705,7.326466967193672,5.9527544569103705
pool104avq7309gjm0fxms69yqusxy8zf888k4mamngg5vnc6vculpzq,NUFIB,24594658.61133,340.0,True,True,0.00027467665255769463,0.00022066142049168567,0.00022736612831487273,0.0002851281088703098,0.00023111287680430083,7304.51391562825,5934.940521323862,5934.940521323862,7304.51391562825,5934.940521323862
pool104gtn3hvp9lz5l6wevhjj98e45s7rfaa4zzvk9pex7nn786qncr,PILOT,14870603.710077,340.0,True,True,0.00027449780395212873,0.00021904059620336385,0.000230472546332248,0.0002923181968000952,0.00023686098905133032,4421.948061858515,3597.2659025592206,3597.2659025592206,4421.948061858515,3597.2659025592206
pool104hlwrk98e6h07e05ywee3thn379ddmmfveje8d6cuvp54zcah6,ADASC,1182230.365966,340.0,True,True,9.5081450999435e-06,0.0,9.768346727631388e-05,0.00023366073636202686,0.0001780400565966834,351.24081786116403,285.48436126690433,285.48436126690433,351.24081786116403,285.48436126690433
pool104v7kzpq86r0wnfsz8r7jeld2raap92qq84trjcqk62zyh9akqt,SEAL,1895162.283236,170.0,True,True,0.0002073595416204098,0.0001517147826674879,0.0001517147826674879,0.0002574871749319946,0.00020184241597907268,562.9799823481062,457.5241339207699,457.5241339207699,562.9799823481062,457.5241339207699
pool104z3yr7faqhck6wcsczhmqrrpdeparcr8juw8unxy8tm6xp447d,,70016947.134638,340.0,True,True,0.00027753188866394047,0.00022462969037872062,0.00022693627480733684,0.0002811274467438422,0.00022822524845862236,20794.669028167747,16895.6685853863,16895.6685853863,20794.669028167747,16895.6685853863
pool1057u7q40d3azwak890qe9rt3yh554udtqjgj8nkuk0d5unenspe,ETO16,0.0,340.0,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pool105y08fgl97g255q7v9nk0x7aqyxaqcluve2jxhgwemkaxkeyd82,,0.0,345.0,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pool106jtt06k5wjpqc5r5fkz06pgwhwaljzs624mnfua8fkhq0fl9am,,90.188364,345.0,True,True,0.0,0.0,0.0,0.0,0.0,0.026785474893179454,0.02176319835070831,0.02176319835070831,0.026785474893179454,0.02176319835070831
pool106l8sgu50wpw3nmqkmhlgzl5cctw428ruem2rpwjklg46nprex0,,502.365742,345.0,True,True,0.0,0.0,0.0,0.0,0.0,0.14920005800301178,0.12122508469881932,0.12122508469881932,0.14920005800301178,0.12122508469881932
pool106p2jjwuwagq2as7cdzx4y6cyc2pdj7a3h3vv5cvkvnskegff3w,VOLT,4183332.400362,340.0,True,True,0.00021572102784971767,0.00016003522145360504,0.0002006726807158165,0.0002790676555231649,0.0002233818491270523,1242.4327652431173,1009.4805271059738,1009.4805271059738,1242.4327652431173,1009.4805271059738
pool106sjgd9m4shsvtc9ruk7femgndknefmct6eedskww37pzv8hz9n,,60886841.633738,170.0,True,True,0.00028537676220598745,0.00023136090310340465,0.00023136090310340465,0.0002868902255016257,0.00023287436639904288,18083.082192149348,14692.509966490312,14692.509966490312,18083.082192149348,14692.509966490312
pool1072lq3k32sfxs96s9qhrx3s9la2t68vrqwfsp7h9qnwk56yr2mv,lSPF0,7440989.98039,340.0,True,True,0.0,0.0,0.0,0.0,0.0,2209.9387320492247,1795.5779988950621,1795.5779988950621,2209.9387320492247,1795.5779988950621
pool107attaqquuq5ne2ch0hx0qcnlkzzr2683s4gml4ywnqvgj6pak9,CCJ5,228950.904531,170.0,True,True,0.0,0.0,0.0,0.0,0.0,67.99974412165398,55.25183685100966,55.25183685100966,67.99974412165398,55.25183685100966
pool107qfdeg9wlpt9yntg7650kzval6ahl696jr2ca20763ukzr0tzw,SRP,349059.504194,340.0,True,True,0.0,0.0,0.0,8.135917625589518e-05,2.6260001705541137e-05,103.686054268197,84.25889209643412,84.25889209643412,103.686054268197,84.25889209643412
pool107rsdzswa5s3y8wk5z62tgh5lhm790dsyqjp4lq66fht7qnaq9d,WORLD,25216220.127326,500.0,True,True,0.0002743958561165771,0.00021926696481058697,0.00023222291135413596,0.00029108154484690533,0.00023595265354091523,7489.117484708768,6084.933385166066,6084.933385166066,7489.117484708768,6084.933385166066
pool1085up093vl7qgwnqsuset7kdt3yflscdp6h8eeakuhyzwlhmq68,BPE,421298.335901,170.0,True,True,0.0,0.0,0.0,0.00011897368236439375,6.328715857191137e-05,125.12341439613324,101.66277459024897,101.66277459024897,125.12341439613324,101.66277459024897
pool108zdflss3ayqlm5c7vr6mtqj2uwl99vk28ur8dv4zswdzt6yauc,AZUR,45107923.532674,340.0,True,True,0.000284228691588886,0.00023000622193914235,0.00023369958636278564,0.00028998599495515346,0.00023576352530540985,13422.618455085154,10926.839868642937,10926.839868642937,13422.618455085154,10926.839868642937
pool1095d0cr8yp0selmnrst5hnuf8jcl6vlkxlr2j6kq4x6qs4yxuwt,,59250169.612026,340.0,True,True,0.0002825187246774148,0.00022850279590197974,0.00023128591029776587,0.00028685710888261084,0.00023284118010717577,17596.992119288767,14297.556096922122,14297.556096922122,17596.992119288767,14297.556096922122
pool109k0t72eh8txza4ptnagnfyqkjnmfe60afmtm4dvj9lz7dy78lh,,386060.336469,340.0,True,True,0.0,0.0,0.0,0.00010067239401568792,4.6101000561260116e-05,114.6587941906492,93.160987539018,93.160987539018,114.6587941906492,93.160987539018
pool10c9l3k0z50ytt4krkfet7w3gwpv9d9nq47kk9ecy2c5f2uyvkgk,BIRTH,273183.412202,170.0,True,True,0.0,0.0,0.0,0.0,0.0,81.13408354140479,65.92146837686657,65.92146837686657,81.13408354140479,65.92146837686657
pool10cpz0zepq23hm6lrk8vgnsdwl772lasq9caaemvw9kh9ktxqygk,ESQ,2211.906006,340.0,True,True,0.0,0.0,0.0,0.0,0.0,0.6569250632935418,0.5337520097713561,0.5337520097713561,0.6569250632935418,0.5337520097713561
pool10d6mmw3mn9ku3r7uqqye672dz3sv76lh5kvh5rdpr9l5ug5yknr,KILN4,79971298.819684,340.0,True,False,0.00026948576373136485,0.00021819996608505462,0.00022021944060133256,0.00027263376812438635,0.00022134797047807612,23025.396356854464,18708.14177919244,18708.14177919244,23025.396356854464,18708.14177919244
pool10dzswwk8ycrxfv04nv44fjpqdx4j5euj406df0xsq7xyy0r0ta5,ADAFS,100.79721,345.0,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pool10efuydxjnasr0309lqklmj9xahupdnzqd59r5dqjeh4twz06tr0,F4ADA,11480352.787575,170.0,True,True,0.00028252398773021285,0.00022704814925232744,0.00022704814925232744,0.00029079899475811685,0.0002353231562802314,3413.4750500953546,2776.592853182702,2776.592853182702,3413.4750500953546,2776.592853182702
pool10eltx2wej46e62ulmwzm35xfu0azu47yvpjper7gwhncqe74vg6,CHIL,11309160.587532,340.0,True,True,0.00025922863818979015,0.0002051813690096527,0.00021977750094379325,0.0002819814320871269,0.0002279341629069895,3359.2155490994514,2729.7312581872543,2729.7312581872543,3359.2155490994514,2729.7312581872543
pool10emzedn7jczjrk7x7687mzwpqs2qfk8dnmyuf3ca7ju8cx79z57,MPL,39.46004,345.0,True,True,0.0,0.0,0.0,0.0,0.0,0.011719426910986408,0.009522034630179152,0.009522034630179152,0.011719426910986408,0.009522034630179152
pool10ez5uusmzx7ep6pee6hmqr79z5ee0lhgzdelzgptexh9xq3ar4e,SACT,291.472771,340.0,True,True,0.0,0.0,0.0,0.0,0.0,0.086565918572977,0.0703348267195443,0.0703348267195443,0.086565918572977,0.0703348267195443
pool10f5k6djk7m95dls80f5n2temjlkacsqd47758z2xal8g79kg9ct,,3072.467418,340.0,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pool10fsg5ykzcjuzq5fzm9vj6d3yd0jjqgg6qnza6u8wtq0677vam2t,,97.023027,340.0,True,True,0.0,0.0,0.0,0.0,0.0,0.028815334246098223,0.02341245907495481,0.02341245907495481,0.028815334246098223,0.02341245907495481
pool10fxpa6wkv0wc6wcmahcnz4wvvfx9m7547sevxrge3nfuv7yh8m0,GRANA,4262012.487617,340.0,True,True,0.00021725452545031017,0.0001615894059132109,0.0002014766658623368,0.00027943172478277114,0.00022376660524567186,1265.9415004605273,1028.6960658687171,1028.6960658687171,1265.9415004605273,1028.6960658687171
pool10gtnlhevam52ynwuzua7dqgv7vje4q87q25dzzfrjgw3wwjk2xw,STKCH,597.470252,170.0,True,True,0.0,0.0,0.0,0.0,0.0,0.1774456136112408,0.14417460751099756,0.14417460751099756,0.1774456136112408,0.14417460751099756
pool10h9j9hazmtszyfyty7e6vj3usr6v0jdzvraqcxxs27rtqp7hsgc,,0.0,340.0,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pool10hex9l4wjgqarvhr94xgyh9frv5lhtajhrj4dah0kl65jtws30k,CSN1,13562150.580139,340.0,True,True,0.000266808167080517,0.0002121881947673764,0.00022448617059462093,0.0002859785411641629,0.0002313585688510223,4028.199508670734,3273.165068558782,3273.165068558782,4028.199508670734,3273.165068558782
pool10jd7mphm0mmrnfvyytzs3tfrmjmtkvalfx8nql7tae06v0rkjk3,DOS,23038.755606,170.0,True,True,0.0,0.0,0.0,0.0,0.0,6.842415881572376,5.559483482967973,5.559483482967973,6.842415881572376,5.559483482967973
