pool_id,ticker,sigma_ada,pledge_met,unsaturated_k500,r_base,category_base,r_A,category_A,r_B,category_B,r_C,category_C,r_D,category_D
pool100wj94uzf54vup2hdzk0afng4dhjaqggt7j434mtgm8v2gfvfgp,,4419.361614,False,True,0.0,excluded,0.0,excluded,0.0,excluded,0.0,excluded,0.0,excluded
pool102s2nqtea2hf5q0s4amj0evysmfnhrn4apyyhd4azcmsclzm96m,YULI,6712.196804,True,True,0.0026898632440884624,losing_lt_025,0.0021855138942776233,losing_lt_025,0.0021855138942776233,losing_lt_025,0.0026898632440884624,losing_lt_025,0.0021855138942776233,losing_lt_025
pool1030as3pp5684ghgf4kzcpv4p2jnmkmme7j363t95690zwxp7wa0,888,1268558.68384,True,True,0.2411273335076021,losing_lt_025,0.23711930742505333,losing_lt_025,0.23711930742505333,losing_lt_025,0.11833482833431164,losing_lt_025,0.1143268022517629,losing_lt_025
pool1030vz0wxheg0dvarr8hmeavelpszmp52qucs68c7wc9uga6n6e4,ROMER,1764031.096207,True,True,0.4742346097725511,losing_025_050,0.46598426305489354,losing_025_050,0.250885828813529,losing_025_050,0.13893410933748276,losing_lt_025,0.13068376261982526,losing_lt_025
pool103455uc7a3477q8pdmzvny884qtlv9vhm2csxvqx2cadwuk36sq,EDEN,58465669.811509,True,True,0.6889062503876429,losing_050_075,0.6448947680953944,losing_050_075,0.4178075636748139,losing_025_050,0.33491737290850276,losing_025_050,0.2909058906162542,losing_025_050
pool1043kkcc2uwmdf76wg6jy80tkgwztzprep2rakyypmwc4637c2xe,BNP,24668.670882,True,True,0.009885787511955478,losing_lt_025,0.008032202415621189,losing_lt_025,0.008032202415621189,losing_lt_025,0.009885787511955478,losing_lt_025,0.008032202415621189,losing_lt_025
pool104avq7309gjm0fxms69yqusxy8zf888k4mamngg5vnc6vculpzq,NUFIB,24594658.61133,True,True,0.7410648172733649,losing_050_075,0.6855515921000559,losing_050_075,0.4630569328334224,losing_025_050,0.39423490724008325,losing_025_050,0.3387216820667742,losing_025_050
pool104gtn3hvp9lz5l6wevhjj98e45s7rfaa4zzvk9pex7nn786qncr,PILOT,14870603.710077,True,True,0.5791648576569347,losing_050_075,0.5548414261114138,losing_050_075,0.33047015152438897,losing_025_050,0.22940963550657248,losing_lt_025,0.20508620396105162,losing_lt_025
pool104hlwrk98e6h07e05ywee3thn379ddmmfveje8d6cuvp54zcah6,ADASC,1182230.365966,True,True,0.46012405955243,losing_025_050,0.3852112820692862,losing_025_050,0.2432901421254098,losing_lt_025,0.13446003307696558,losing_lt_025,0.12654266093609237,losing_lt_025
pool104v7kzpq86r0wnfsz8r7jeld2raap92qq84trjcqk62zyh9akqt,SEAL,1895162.283236,True,True,0.25747047926234307,losing_025_050,0.2499338469511137,losing_lt_025,0.2499338469511137,losing_lt_025,0.13607395450470294,losing_lt_025,0.12853732219347355,losing_lt_025
pool104z3yr7faqhck6wcsczhmqrrpdeparcr8juw8unxy8tm6xp447d,,70016947.134638,True,True,1.8387707740143155,edge,1.5757197696287608,edge,1.35780372764975,edge,1.4990781203411523,edge,1.2360271159555973,edge
pool1057u7q40d3azwak890qe9rt3yh554udtqjgj8nkuk0d5unenspe,ETO16,0.0,False,True,0.0,excluded,0.0,excluded,0.0,excluded,0.0,excluded,0.0,excluded
pool105y08fgl97g255q7v9nk0x7aqyxaqcluve2jxhgwemkaxkeyd82,,0.0,False,True,0.0,excluded,0.0,excluded,0.0,excluded,0.0,excluded,0.0,excluded
pool106jtt06k5wjpqc5r5fkz06pgwhwaljzs624mnfua8fkhq0fl9am,,90.188364,True,True,3.614231994581935e-05,losing_lt_025,2.9365634955978225e-05,losing_lt_025,2.9365634955978225e-05,losing_lt_025,3.614231994581935e-05,losing_lt_025,2.9365634955978225e-05,losing_lt_025
pool106l8sgu50wpw3nmqkmhlgzl5cctw428ruem2rpwjklg46nprex0,,502.365742,True,True,0.0002013194185947685,losing_lt_025,0.00016357207830425394,losing_lt_025,0.00016357207830425394,losing_lt_025,0.0002013194185947685,losing_lt_025,0.00016357207830425394,losing_lt_025
pool106p2jjwuwagq2as7cdzx4y6cyc2pdj7a3h3vv5cvkvnskegff3w,VOLT,4183332.400362,True,True,0.4595517272717294,losing_025_050,0.4593500923903941,losing_025_050,0.23011193078561973,losing_lt_025,0.10220988712311037,losing_lt_025,0.1020082522417752,losing_lt_025
pool106sjgd9m4shsvtc9ruk7femgndknefmct6eedskww37pzv8hz9n,,60886841.633738,True,True,0.955239040566591,losing_075_100,0.8178500931287154,losing_075_100,0.8178500931287154,losing_075_100,0.8309026164799003,losing_075_100,0.6935136690420248,losing_050_075
pool1072lq3k32sfxs96s9qhrx3s9la2t68vrqwfsp7h9qnwk56yr2mv,lSPF0,7440989.98039,True,True,2.9819263251039008,comfortable,2.4228188890638016,comfortable,2.4228188890638016,comfortable,2.9819263251039008,comfortable,2.4228188890638016,comfortable
