pool_id,ticker,sigma_ada,unsaturated_k500,apr_base,f_gt_c_base,apr_A,f_gt_c_A,apr_B,f_gt_c_B,apr_C,f_gt_c_C,apr_D,f_gt_c_D
pool10ez5uusmzx7ep6pee6hmqr79z5ee0lhgzdelzgptexh9xq3ar4e,SACT,291.472771,True,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False
pool10f5k6djk7m95dls80f5n2temjlkacsqd47758z2xal8g79kg9ct,,3072.467418,True,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False
pool10fsg5ykzcjuzq5fzm9vj6d3yd0jjqgg6qnza6u8wtq0677vam2t,,97.023027,True,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False
pool10fxpa6wkv0wc6wcmahcnz4wvvfx9m7547sevxrge3nfuv7yh8m0,GRANA,4262012.487617,True,0.015859580357872643,True,0.011796026631664396,True,0.014707796607950586,True,0.02039851590914229,True,0.016334962182934044,True
pool10gtnlhevam52ynwuzua7dqgv7vje4q87q25dzzfrjgw3wwjk2xw,STKCH,597.470252,True,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False
pool10hex9l4wjgqarvhr94xgyh9frv5lhtajhrj4dah0kl65jtws30k,CSN1,13562150.580139,True,0.019476996196877743,True,0.015489738218018476,True,0.016387490453407327,True,0.02087643350498389,True,0.01688917552612463,True
pool10jd7mphm0mmrnfvyytzs3tfrmjmtkvalfx8nql7tae06v0rkjk3,DOS,23038.755606,True,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False
pool10jn0wjlh9y3w2ygq84u2llvlnxfz3lc4g0ssqlmpp3w3y2d2lw5,EARN,7104483.057688,True,0.017285566985840016,True,0.013428624073475498,True,0.015088069230043532,True,0.019872349141666655,True,0.016015406229302136,True
pool10jqlkjfn2rtlc6hp95p8k4h04h3dfmdcgnga6umwp2rpukpg20l,CCIO,16350.180704,True,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False
pool10ldeq0mccp8t4gfmvfkwmfcvh2pvz44hj2hmewfpk9udjxug58y,BREAD,215231.051864,True,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False
pool10le7rwlfg3t9646gm09jp05qg5kqvq3gvut4q2yaeu2ujncnh7w,,2854.261122,True,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False
pool10ljdn3zwsh7vjkxf6t250423l5qy487x83st7m8a53jxznrkw5g,,127062.59889,True,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False
pool10mf43thtl3keag50mrlvqa78xkwg7harmu4w5yzr3k7jvw0ap43,JORGE,2927773.115288,True,0.016958907306437895,True,0.012903588545520442,True,0.013402261066412275,True,0.01982627430156593,True,0.01577095554064848,True
pool10n23qyec2zcetv0e3x7fdjydscsrlet5sph2hgtfc7x5ze56jqn,DOTAR,901698.759103,True,0.007918126129678437,True,0.003853270574673235,True,0.003853270574673235,True,0.015609164772006016,True,0.011544309217000814,True
pool10nwac5phcc4vkjvux5mw6gvdzlxurkd944e5yx9yyfa8sqs35t7,,36120.987876,True,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False
pool10p3g22454ly7eaurlur5wc9d9ual2fnfwy7a6e7k09z3yf929k9,OUROS,6076311.463663,True,0.017333932849461144,True,0.013329515876312977,True,0.015341442202523767,True,0.020470170946201488,True,0.016465753973053325,True
pool10p6wd9k0fwk2zqkqnqr8efyr7gms627ujk9dxgk6majskhawr6r,BBHMM,7036434.076718,True,0.018014166841386417,True,0.014016223061332747,True,0.01576226372142382,True,0.020735936105646027,True,0.01673799232559236,True
pool10p7hdyghmkfuuxep4slslvjs2fk0hechqwadc2348e6g2x8hta6,SBPIO,360.524775,True,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False
pool10pd44d65586rldtdzuu88e7mn4sxjctvdksmt05nnqfzqu7g7hd,RDB,3460141.27996,True,0.014362510706083305,True,0.010338097475242737,True,0.01388879064235585,True,0.019897414760700807,True,0.01587300152986024,True
pool10pmpya78vv23pngluf7hwpg9lerepmqdmdu47huf5vsskt56wzq,,247.210196,True,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False
pool10pvwz69qz468m79ysw8qjcav5z830sv4zmeprru2n4anyuxwj9l,,124124.412269,True,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False
pool10pxym4rs92lj853juzku38z58d9n59ra55qd2mnm820ljx4c6h9,JVNP,139.818659,True,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False
pool10q2fhzwe4f5k2llny65z5z2fuhrpk3x56fdc0782djdq58p9uee,KURIS,2278562.468341,True,0.010787795795126929,True,0.00672268474904094,True,0.012169101150797793,True,0.01927779783315967,True,0.01521268678707368,True
pool10q33p4hx4wqum6thmglw7z5l2vaay4w6m5cdq8fnurw7vjdppcf,SPKL,38230.184169,True,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False
pool10qmnswfc22zm0fscg80gkwqz65ujwjkqmctv8g9l9l58wqtelgg,WAAUS,2697137.476281,True,0.016945280113250694,True,0.012914228444043082,True,0.012914228444043082,True,0.019495954693430403,True,0.01546490302422279,True
pool10qrz84cvz95zg8saf43ruhs5ulczuuqm2d3jn6d8xkkkzgzfje7,,112074.806511,True,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False
pool10quq4wlghwrvmhdzc7geq22pyhzegccwj56ax2g8hx0cjfahufs,SPS2,24708911.64549,True,0.019643114891508814,True,0.015781752404496537,True,0.016258887948511967,True,0.020386885004238745,True,0.016525522517226467,True
pool10rdglgh4pzvkf936p2m669qzarr9dusrhmmz9nultm3uvq4eh5k,KILN0,74073232.951482,True,0.020278277054473385,True,0.016416421560903584,True,0.016575581618190702,True,0.02052637949671507,True,0.01666452400314527,True
pool10retvgthe4vymhaq8vr2734zladmeeuwy07rq8r5f690ydmz3vc,MORAL,971.580862,True,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False
pool10s8x49tu6wcne63rqv6gmnhwpcg4kg8r4s3ncv6q7uxx76jvlwg,,5097.623546,True,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False
pool10scv5quxduhrcc26wpurhk743dngspe8dc3zpkkam0svyx6ejx3,CDNTH,8648242.326177,True,0.015048545012650773,True,0.011796456175917569,True,0.012944435109156912,True,0.016838041585053275,True,0.013585952748320074,True
pool10tqeu6d03p6rnalqlvdshmpsljxaq2c0ww6draq6xm8lgyl2a3p,CASP,8631852.650929,True,0.019643688251281006,True,0.015705559208358554,True,0.015705559208358554,True,0.020423005307773624,True,0.016484876264851175,True
pool10u90lv7ayyfdulnt004h2wg42yff22c8vjlnqjxv7pytypuaykv,,6192.921948,True,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False
pool10usr6ag036ujwhmm85km8w0skjn3fp3dwnktt8sje4lfvwhu40u,WALDO,2136.948271,True,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False
