pool_id,ticker,sigma_ada,unsaturated_k1000,apr_base,f_gt_c_base,apr_A,f_gt_c_A,apr_B,f_gt_c_B,apr_C,f_gt_c_C
pool100wj94uzf54vup2hdzk0afng4dhjaqggt7j434mtgm8v2gfvfgp,,4419.361614,True,0.0,False,0.0,False,0.0,False,0.0,False
pool102s2nqtea2hf5q0s4amj0evysmfnhrn4apyyhd4azcmsclzm96m,YULI,6712.196804,True,0.0,False,0.0,False,0.0,False,0.0,False
pool1030as3pp5684ghgf4kzcpv4p2jnmkmme7j363t95690zwxp7wa0,888,1268558.68384,True,0.011901896377833636,True,0.01190593389709758,True,0.007845861125256903,True,0.007839300156452986,True
pool1030vz0wxheg0dvarr8hmeavelpszmp52qucs68c7wc9uga6n6e4,ROMER,1764031.096207,True,0.007538505482092975,True,0.007542548600211086,True,0.003523134023647319,True,0.003516563956705386,True
pool103455uc7a3477q8pdmzvny884qtlv9vhm2csxvqx2cadwuk36sq,EDEN,58465669.811509,False,0.021043619657720943,False,0.01381078874397809,False,0.011142553326084383,False,0.017019206440994753,False
pool1043kkcc2uwmdf76wg6jy80tkgwztzprep2rakyypmwc4637c2xe,BNP,24668.670882,True,0.0,False,0.0,False,0.0,False,0.0,False
pool104avq7309gjm0fxms69yqusxy8zf888k4mamngg5vnc6vculpzq,NUFIB,24594658.61133,True,0.020051395636711707,True,0.020051477014471995,True,0.01610841593475352,True,0.016108283695893053,True
pool104gtn3hvp9lz5l6wevhjj98e45s7rfaa4zzvk9pex7nn786qncr,PILOT,14870603.710077,True,0.020038339688505397,True,0.02006535248485219,True,0.016033859316909104,True,0.01598996352284556,True
pool104hlwrk98e6h07e05ywee3thn379ddmmfveje8d6cuvp54zcah6,ADASC,1182230.365966,True,0.0006940945922958756,True,0.0007018069010261657,True,0.0,False,0.0,False
pool104v7kzpq86r0wnfsz8r7jeld2raap92qq84trjcqk62zyh9akqt,SEAL,1895162.283236,True,0.015137246538289914,True,0.01514213254673287,True,0.011083118898446416,True,0.011075179134726616,True
pool104z3yr7faqhck6wcsczhmqrrpdeparcr8juw8unxy8tm6xp447d,,70016947.134638,False,0.020259827872467655,False,0.011066268116991023,False,0.008928200096321838,False,0.016397967397646606,False
pool106jtt06k5wjpqc5r5fkz06pgwhwaljzs624mnfua8fkhq0fl9am,,90.188364,True,0.0,False,0.0,False,0.0,False,0.0,False
pool106l8sgu50wpw3nmqkmhlgzl5cctw428ruem2rpwjklg46nprex0,,502.365742,True,0.0,False,0.0,False,0.0,False,0.0,False
pool106p2jjwuwagq2as7cdzx4y6cyc2pdj7a3h3vv5cvkvnskegff3w,VOLT,4183332.400362,True,0.01574763503302939,True,0.015747718910984188,True,0.011682707467789719,True,0.011682571166113168,True
pool106sjgd9m4shsvtc9ruk7femgndknefmct6eedskww37pzv8hz9n,,60886841.633738,False,0.020832503641037083,False,0.013191302946848995,False,0.010680872169646603,False,0.01688934592654854,False
pool1072lq3k32sfxs96s9qhrx3s9la2t68vrqwfsp7h9qnwk56yr2mv,lSPF0,7440989.98039,True,0.0,True,0.0,True,0.0,True,0.0,True
pool107attaqquuq5ne2ch0hx0qcnlkzzr2683s4gml4ywnqvgj6pak9,CCJ5,228950.904531,True,0.0,False,0.0,False,0.0,False,0.0,False
pool107qfdeg9wlpt9yntg7650kzval6ahl696jr2ca20763ukzr0tzw,SRP,349059.504194,True,0.0,False,0.0,False,0.0,False,0.0,False
pool107rsdzswa5s3y8wk5z62tgh5lhm790dsyqjp4lq66fht7qnaq9d,WORLD,25216220.127326,True,0.020030897496510127,True,0.02003098719669756,True,0.016006634193977427,True,0.01600648843117285,True
pool1085up093vl7qgwnqsuset7kdt3yflscdp6h8eeakuhyzwlhmq68,BPE,421298.335901,True,0.0,False,0.0,False,0.0,False,0.0,False
