pool_id,ticker,sigma_ada,declared_pledge_ada,active_pledge_ada,margin,fixed_cost_ada,pledge_met,unsaturated_k1000,included_in_panel,f_base_k500_c_declared,Pi_base_k500_c_declared,r_base_k500_c_declared,category_base,f_A_k1000_c_declared,Pi_A_k1000_c_declared,r_A_k1000_c_declared,category_A,f_B_k1000_c170,Pi_B_k1000_c170,r_B_k1000_c170,category_B,f_C_k500_c75,Pi_C_k500_c75,r_C_k500_c75,category_C,f_D_k1000_c75,Pi_D_k1000_c75,r_D_k1000_c75,category_D
pool100wj94uzf54vup2hdzk0afng4dhjaqggt7j434mtgm8v2gfvfgp,,4419.361614,4000.0,0.0,0.0,340.0,False,True,False,0.0,0.0,0.0,pledge_not_met,0.0,0.0,0.0,pledge_not_met,0.0,0.0,0.0,pledge_not_met,0.0,0.0,0.0,pledge_not_met,0.0,0.0,0.0,pledge_not_met
pool102s2nqtea2hf5q0s4amj0evysmfnhrn4apyyhd4azcmsclzm96m,YULI,6712.196804,1.0,1497.271996,0.005,340.0,True,True,True,1.9934875375633383,1.9934875375633383,0.0026898632440884624,losing_lt_025,1.9934875452761367,1.9934875452761367,0.0026898632544955364,losing_lt_025,1.9934875452761367,1.9934875452761367,0.0026898632544955364,losing_lt_025,1.9934875375633383,1.9934875375633383,0.0026898632440884624,losing_lt_025,1.9934875452761367,1.9934875452761367,0.0026898632544955364,losing_lt_025
pool1030as3pp5684ghgf4kzcpv4p2jnmkmme7j363t95690zwxp7wa0,888,1268558.68384,50000.0,53374.407057,0.0,170.0,True,True,True,376.82539731869457,178.70214605507846,0.2411273335076021,losing_lt_025,376.89555937518014,178.7050981125674,0.2411313167935692,losing_lt_025,376.89555937518014,178.7050981125674,0.2411313167935692,losing_lt_025,376.82539731869457,87.6992561099843,0.11833482833431164,losing_lt_025,376.89555937518014,87.70220816747326,0.11833881162027875,losing_lt_025
pool1030vz0wxheg0dvarr8hmeavelpszmp52qucs68c7wc9uga6n6e4,ROMER,1764031.096207,50000.0,93160.970503,0.01,340.0,True,True,True,524.0066153222492,351.4605385758796,0.4742346097725511,losing_025_050,524.1053033821079,351.4666851935705,0.4742429035595404,losing_025_050,524.1053033821079,192.05484559469252,0.2591444693181758,losing_025_050,524.0066153222492,102.96561214233446,0.13893410933748276,losing_lt_025,524.1053033821079,102.97175876002541,0.13894240312447206,losing_lt_025
pool103455uc7a3477q8pdmzvny884qtlv9vhm2csxvqx2cadwuk36sq,EDEN,58465669.811509,1000.0,1094.142715,0.01,340.0,True,False,False,0.0,0.0,0.0,pledge_not_met,0.0,0.0,0.0,pledge_not_met,0.0,0.0,0.0,pledge_not_met,0.0,0.0,0.0,pledge_not_met,0.0,0.0,0.0,pledge_not_met
pool1043kkcc2uwmdf76wg6jy80tkgwztzprep2rakyypmwc4637c2xe,BNP,24668.670882,2.0,17.639298,0.06,345.0,True,True,True,7.326466967193672,7.326466967193672,0.009885787511955478,losing_lt_025,7.326467023889689,7.326467023889689,0.009885787588456851,losing_lt_025,7.326467023889689,7.326467023889689,0.009885787588456851,losing_lt_025,7.326466967193672,7.326466967193672,0.009885787511955478,losing_lt_025,7.326467023889689,7.326467023889689,0.009885787588456851,losing_lt_025
pool104avq7309gjm0fxms69yqusxy8zf888k4mamngg5vnc6vculpzq,NUFIB,24594658.61133,1000.0,1004.645511,0.03,340.0,True,True,True,7304.51391562825,549.2113701348161,0.7410648172733649,losing_050_075,7304.542180820071,549.2122192105132,0.7410659629527164,losing_050_075,7304.542180820071,384.31895506513035,0.5185713036860828,losing_050_075,7304.51391562825,292.17187014348394,0.39423490724008325,losing_025_050,7304.542180820071,292.1727192191811,0.3942360529194347,losing_025_050
pool104gtn3hvp9lz5l6wevhjj98e45s7rfaa4zzvk9pex7nn786qncr,PILOT,14870603.710077,325000.0,325050.0,0.0,340.0,True,True,True,4421.948061858515,429.22551117463945,0.5791648576569347,losing_050_075,4427.4507548663805,429.3457921260439,0.579327155792263,losing_050_075,4427.4507548663805,263.0617475154377,0.3549558812052382,losing_025_050,4421.948061858515,170.01802986987096,0.22940963550657248,losing_lt_025,4427.4507548663805,170.1383108212754,0.22957193364190082,losing_lt_025
pool104hlwrk98e6h07e05ywee3thn379ddmmfveje8d6cuvp54zcah6,ADASC,1182230.365966,100000.0,105494.080424,0.0,340.0,True,True,True,351.24081786116403,341.0030530238565,0.46012405955243,losing_025_050,351.36571821147436,341.014198269301,0.46013909811449905,losing_025_050,351.36571821147436,186.1838252627898,0.25122255282835204,losing_025_050,351.24081786116403,99.64982451370672,0.13446003307696558,losing_lt_025,351.36571821147436,99.66096975915121,0.1344750716390346,losing_lt_025
pool104v7kzpq86r0wnfsz8r7jeld2raap92qq84trjcqk62zyh9akqt,SEAL,1895162.283236,60000.0,100377.502775,0.0,170.0,True,True,True,562.9799823481062,190.8142329644254,0.25747047926234307,losing_025_050,563.1068286346358,190.82095139354925,0.257479544608987,losing_025_050,563.1068286346358,190.82095139354925,0.257479544608987,losing_025_050,562.9799823481062,100.84591961626319,0.13607395450470294,losing_lt_025,563.1068286346358,100.85263804538705,0.13608301985134683,losing_lt_025
