pool_id,ticker,sigma_ada,declared_pledge_ada,active_pledge_ada,margin,fixed_cost_ada,pledge_met,unsaturated_k1000,f_current_k500_c_declared,apr_current_k500_c_declared,f_gt_c_current,f_A_k1000_c_declared,apr_A_k1000_c_declared,f_gt_c_A,f_B_k1000_c170,apr_B_k1000_c170,f_gt_c_B,f_C_k500_c75,apr_C_k500_c75,f_gt_c_C,f_D_k1000_c75,apr_D_k1000_c75,f_gt_c_D
pool100wj94uzf54vup2hdzk0afng4dhjaqggt7j434mtgm8v2gfvfgp,,4419.361614,4000.0,0.0,0.0,340.0,False,True,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False
pool102s2nqtea2hf5q0s4amj0evysmfnhrn4apyyhd4azcmsclzm96m,YULI,6712.196804,1.0,1497.271996,0.005,340.0,True,True,1.982786137315339,0.0,False,1.9827861449796076,0.0,False,1.9827861449796076,0.0,False,1.982786137315339,0.0,False,1.9827861449796076,0.0,False
pool1030as3pp5684ghgf4kzcpv4p2jnmkmme7j363t95690zwxp7wa0,888,1268558.68384,50000.0,53374.407057,0.0,170.0,True,True,374.8024659162409,0.011785485529632198,True,374.8721863743066,0.011789497636839872,True,374.8721863743066,0.011789497636839872,True,374.8024659162409,0.017252319731584413,True,374.8721863743066,0.017256331838792088,True
pool1030vz0wxheg0dvarr8hmeavelpszmp52qucs68c7wc9uga6n6e4,ROMER,1764031.096207,50000.0,93160.970503,0.01,340.0,True,True,521.1935622865437,0.007423258453099231,True,521.291629208035,0.007427276124007309,True,521.291629208035,0.014391949267477968,True,521.1935622865437,0.018279954823803492,True,521.291629208035,0.018283972494711573,True
pool103455uc7a3477q8pdmzvny884qtlv9vhm2csxvqx2cadwuk36sq,EDEN,58465669.811509,1000.0,1094.142715,0.01,340.0,True,False,17270.853449260176,0.02092839751469277,False,11461.627081681205,0.013747554621103136,False,11461.627081681205,0.013957693323688933,False,17270.853449260176,0.021255966668723564,False,11461.627081681205,0.014075123775133935,False
pool1043kkcc2uwmdf76wg6jy80tkgwztzprep2rakyypmwc4637c2xe,BNP,24668.670882,2.0,17.639298,0.06,345.0,True,True,7.287137172552599,0.0,False,7.287137228891879,0.0,False,7.287137228891879,0.0,False,7.287137172552599,0.0,False,7.287137228891879,0.0,False
pool104avq7309gjm0fxms69yqusxy8zf888k4mamngg5vnc6vculpzq,NUFIB,24594658.61133,1000.0,1004.645511,0.03,340.0,True,True,7265.301942860282,0.01993850121375677,True,7265.330030203053,0.01993858207947534,True,7265.330030203053,0.020428025750568,True,7265.301942860282,0.020701457524577672,True,7265.330030203053,0.020701538390296245,True
pool104gtn3hvp9lz5l6wevhjj98e45s7rfaa4zzvk9pex7nn786qncr,PILOT,14870603.710077,325000.0,325050.0,0.0,340.0,True,True,4398.205185384103,0.019921785578368125,True,4403.673190297133,0.01994862809037594,True,4403.673190297133,0.020783160449784482,True,4398.205185384103,0.02122267425626968,True,4403.673190297133,0.021249516768277493,True
pool104hlwrk98e6h07e05ywee3thn379ddmmfveje8d6cuvp54zcah6,ADASC,1182230.365966,100000.0,105494.080424,0.0,340.0,True,True,349.3551786340434,0.000577660716511158,True,349.4792926107777,0.0005853244684857575,True,349.4792926107777,0.011082432610230869,True,349.3551786340434,0.01694079987864324,True,349.4792926107777,0.016948463630617843,True
pool104v7kzpq86r0wnfsz8r7jeld2raap92qq84trjcqk62zyh9akqt,SEAL,1895162.283236,60000.0,100377.502775,0.0,170.0,True,True,559.9576872734136,0.01502083036517157,True,560.0837351475387,0.015025685619464317,True,560.0837351475387,0.015025685619464317,True,559.9576872734136,0.01868014759691726,True,560.0837351475387,0.018685002851210008,True
pool104z3yr7faqhck6wcsczhmqrrpdeparcr8juw8unxy8tm6xp447d,,70016947.134638,0.0,0.0,0.05,340.0,True,False,20683.039498535014,0.02014926167104297,False,11461.538461538461,0.011015600134986947,False,11461.538461538461,0.01118398079827593,False,20683.039498535014,0.020411737410875798,False,11461.538461538461,0.011278075874819772,False
pool106jtt06k5wjpqc5r5fkz06pgwhwaljzs624mnfua8fkhq0fl9am,,90.188364,0.0,0.0,0.06,345.0,True,True,0.026641685638382238,0.0,False,0.026641685638382238,0.0,False,0.026641685638382238,0.0,False,0.026641685638382238,0.0,False,0.026641685638382238,0.0,False
pool106l8sgu50wpw3nmqkmhlgzl5cctw428ruem2rpwjklg46nprex0,,502.365742,100.0,502.365742,0.025,345.0,True,True,0.1483991251696044,0.0,False,0.14839917112048276,0.0,False,0.14839917112048276,0.0,False,0.1483991251696044,0.0,False,0.14839917112048276,0.0,False
pool106p2jjwuwagq2as7cdzx4y6cyc2pdj7a3h3vv5cvkvnskegff3w,VOLT,4183332.400362,1000.0,2683.517769,0.0,340.0,True,True,1235.76315788621,0.015631249030087786,True,1235.767934345315,0.015631332380269248,True,1235.767934345315,0.01859786690641068,True,1235.76315788621,0.020255552850249436,True,1235.767934345315,0.020255636200430898,True
pool106sjgd9m4shsvtc9ruk7femgndknefmct6eedskww37pzv8hz9n,,60886841.633738,100.0,1912.562755,0.03,170.0,True,False,17986.00894269649,0.020719609678904745,False,11461.547323552735,0.013131810495122284,False,11461.547323552735,0.013131810495122284,False,17986.00894269649,0.02083009249948634,False,11461.547323552735,0.013242293315703873,False
pool1072lq3k32sfxs96s9qhrx3s9la2t68vrqwfsp7h9qnwk56yr2mv,lSPF0,7440989.98039,400.0,159626.707727,1.0,340.0,True,True,2198.0753796410145,0.0,True,2198.078778591238,0.0,True,2198.078778591238,0.0,True,2198.0753796410145,0.0,True,2198.078778591238,0.0,True
pool107attaqquuq5ne2ch0hx0qcnlkzzr2683s4gml4ywnqvgj6pak9,CCJ5,228950.904531,10000.0,10005.433537,0.048,170.0,True,True,67.63470691910773,0.0,False,67.63720837585448,0.0,False,67.63720837585448,0.0,False,67.63470691910773,0.0,False,67.63720837585448,0.0,False
pool107qfdeg9wlpt9yntg7650kzval6ahl696jr2ca20763ukzr0tzw,SRP,349059.504194,50000.0,92039.00197,0.01,340.0,True,True,103.12943294772124,0.0,False,103.14654795447366,0.0,False,103.14654795447366,0.0,False,103.12943294772124,0.005823975839952957,True,103.14654795447366,0.005827519366266197,True
pool107rsdzswa5s3y8wk5z62tgh5lhm790dsyqjp4lq66fht7qnaq9d,WORLD,25216220.127326,1080.0,10161.909195,0.01,500.0,True,True,7448.9145239225045,0.019915675311688117,True,7448.945624897118,0.019915764447467545,True,7448.945624897118,0.020861548545146623,True,7448.9145239225045,0.02113373058900208,True,7448.945624897118,0.021133819724781507,True
pool1085up093vl7qgwnqsuset7kdt3yflscdp6h8eeakuhyzwlhmq68,BPE,421298.335901,1.0,6053.141439,0.0,170.0,True,True,124.4517293654427,0.0,False,124.4517298465694,0.0,False,124.4517298465694,0.0,False,124.4517293654427,0.008568693336888988,True,124.4517298465694,0.008568693420255681,True
pool108zdflss3ayqlm5c7vr6mtqj2uwl99vk28ur8dv4zswdzt6yauc,AZUR,45107923.532674,500000.0,1348828.804205,0.02,340.0,True,False,13350.539429180591,0.02063437901523824,False,11505.848532910388,0.017708746966944588,False,11505.848532910388,0.017978362569870548,False,13350.539429180591,0.021054662160975766,False,11505.848532910388,0.018129030112682118,False
