pool_id,ticker,sigma_ada,pledge_met,unsaturated_k1000,r_base,category_base,r_A,category_A,r_B,category_B,r_C,category_C
pool1k0xa8wlsntmjhtw2shj3tspqd4kjyquw9tuyx5s7zz5jsyw4y2p,WMOPS,6181736.513282,True,True,1.3465515404825692,edge,1.3472525234148314,edge,1.1174275537607858,edge,1.11628845649586,edge
pool1k0xrqp03mn9u3q3sadndd6vu9udl5v38xpzyw0shm8sskuxw2av,JP2,36222079.108682,True,True,1.1833954549814827,edge,1.183540281429053,edge,1.0434478105448997,edge,1.043212467567598,edge
pool1k2224hj6uhdgkflj6ncqvmfhqvhlhj0t8crhqux5mphwwumupec,UPBIT,35864351.698487,True,True,14.383463391164724,strong,14.394610438092943,strong,11.713688304196516,strong,11.695574352938158,strong
pool1k26f25u5uqvhxuj20x3p72kx5gx4lc658f55kr328y5xzh0x4et,BICKS,25378.110549,True,True,0.010170094055711698,losing_lt_025,0.010170097975611473,losing_lt_025,0.008263210975013202,losing_lt_025,0.008263204605176074,losing_lt_025
pool1k2cj852umvq5f527x9u7p58mnletdzx29gr4e4npv4nc6m3hch9,,921332.464717,True,True,0.3693718194930051,losing_025_050,0.3695270427297162,losing_025_050,0.30049249206970413,losing_025_050,0.30024025431004864,losing_025_050
pool1k2qhlrrweu8fecd4hx4hn22lv00nrd3rjdxj6durax7m78q7ynu,,14692412.478449,True,True,5.833586395677831,strong,5.833586395677831,strong,4.7406491129799875,comfortable,4.7406491129799875,comfortable
pool1k2rhjxppp87k488zfeu9t24hl4jgjrjcqxwfg4q7jcu6wvkfwpn,,1.289969,False,True,0.0,excluded,0.0,excluded,0.0,excluded,0.0,excluded
pool1k2yfr7tapqzfgdn7vq2u44225rtqxctelr6dp0xjqggrwnx9hnw,BPP,85424.34872,True,True,0.03423562346519236,losing_lt_025,0.034238073370172144,losing_lt_025,0.027822413684751583,losing_lt_025,0.027818432589159427,losing_lt_025
pool1k3mtxd2duy4848gx8knvlsas7w77f3k2cplwk6hjul72646fjte,QUACK,14420.188426,True,True,0.005778804687964513,losing_lt_025,0.0057788254995581574,losing_lt_025,0.004695329536761975,losing_lt_025,0.004695295717922304,losing_lt_025
pool1k3nkfa5ugavrpd9nwd3s6yyx454qxnquxwmux4rzfunl7q0z38t,KILN9,40549675.566282,True,False,1.2493175989742618,edge,1.2134925360062505,edge,1.0676763188475114,edge,1.0967839492648075,edge
pool1k3wpsc8q8za2qeptx5kv73r76hs5gvp59gga6ad6u5hnj3scy3q,CPU,30645.771776,True,True,0.012281231707644273,losing_lt_025,0.012281397015794969,losing_lt_025,0.009978903685141002,losing_lt_025,0.009978635059396125,losing_lt_025
pool1k5a5e3ylva34qpmwdywv7fn75wt3gzv423e9uw2vmw5rqjc2q7t,MAXC,70154.585652,True,True,0.028113985426289147,losing_lt_025,0.028114039434133965,losing_lt_025,0.02284274480241161,losing_lt_025,0.022842657039663785,losing_lt_025
pool1k633phcvz2hjhj45evwwau4w576jpq83acg5h84w23jauqu56cw,NORTH,76296499.045325,True,False,0.46311634986803574,losing_025_050,0.4609460745995026,losing_025_050,0.4605259048990358,losing_025_050,0.4622892513157156,losing_025_050
pool1k65vmd0uyy0k5eylunwakd99m9j0n2hfynkxzd9472276m32p50,FM2,244.251759,True,True,9.788210858941865e-05,losing_lt_025,9.788213095873078e-05,losing_lt_025,7.952926775402162e-05,losing_lt_025,7.952923140388938e-05,losing_lt_025
pool1k6altfangsst2mmxg8a9wvg3dppyszu8ckfzd3uv6azgw3z2txy,ELITE,1370499.612187,True,True,0.47954021346273207,losing_025_050,0.47965563344992973,losing_025_050,0.44787385057252943,losing_025_050,0.44705256009814703,losing_025_050
pool1k6knum588fm9fe5tmljeytyx65rv6h5jn8au824t86zt62nyd9e,ZONE,380134.821383,True,True,0.15233621863870683,losing_lt_025,0.15233621863870683,losing_lt_025,0.12377317764394931,losing_lt_025,0.12377317764394931,losing_lt_025
pool1k6u3rdl30ruf85q3jpzcfyq4ta0umrxdlt30rcpxqqasumcnkgu,,1008.611006,True,True,0.00040419341552577336,losing_lt_025,0.00040419342893940966,losing_lt_025,0.0003284071827776466,losing_lt_025,0.00032840716098048753,losing_lt_025
pool1k7asvr2vd28jxw25fsh9pxckt5ykadhn8ua4x88vu39dzquvqvh,PRIZE,499.489389,False,True,0.0,excluded,0.0,excluded,0.0,excluded,0.0,excluded
pool1k7ku4sqvepztwqfvqj7wjadcsw96mancwyf8spty9tm0jfnwls9,,240.722383,False,True,0.0,excluded,0.0,excluded,0.0,excluded,0.0,excluded
pool1k7zrx5rw6cvef9m5qtp9sy4e53u93kwqx73ykz7md9gmwgf56yk,TREFI,10662851.655882,True,True,0.4971784164925903,losing_025_050,0.49717841815756525,losing_025_050,0.48911078843156436,losing_025_050,0.48911078572598,losing_025_050
pool1k8dm3fwajc6c8s32accfwqw8dqawl6k243z43cf74uxu7457z6l,,39364368.335038,True,False,15.774979517646239,strong,15.534369342061082,strong,12.621675090424631,strong,12.817170858087572,strong
pool1k8l84smxjczp2mpqmn7qsd23j7h4vd7rwagdscsrjecvgplkmw8,,1.0,False,True,0.0,excluded,0.0,excluded,0.0,excluded,0.0,excluded
pool1k8mxlherc4vmfk9pmxs0rk27qmu3sqy0gsdck4gwduz57xsepak,LOFI,2239.710944,True,True,0.0008975479303433209,losing_lt_025,0.0008975482621503129,losing_lt_025,0.0007292585021827639,losing_lt_025,0.0007292579629964015,losing_lt_025
pool1k8s63hvxl5un403f0lwqm87f7svwn2j7vpeflgupvkhqkjpknut,,2141646.986382,True,True,0.2672709309766963,losing_025_050,0.2672709509833987,losing_025_050,0.25757632381348733,losing_025_050,0.25757629130259596,losing_025_050
pool1k8w7ylxa542hwymnwmuumpnudz7j9ae582wqecxv9n24zu8fptq,DAO,14834.495919,False,True,0.0,excluded,0.0,excluded,0.0,excluded,0.0,excluded
pool1k93a7tazk6uhy0pe26pau9hthyn9kmtdcdl9er5kw9w82fl5j2w,LIFE,306.685167,False,True,0.0,excluded,0.0,excluded,0.0,excluded,0.0,excluded
pool1k99yncea8tq9pfeks3yymyj6fwjf4apx0s490j09m4y66vtyufr,PUMP,1809472.213659,True,True,0.47004843208746483,losing_025_050,0.470049253826819,losing_025_050,0.46429402797666297,losing_025_050,0.4642926926502125,losing_025_050
pool1k9xjmvud972vng83669mkveaedteaprnfflqv047y66ugtqjyyq,,1167.085052,True,True,0.0004677008696725748,losing_lt_025,0.0004677010351464894,losing_lt_025,0.0003800073599512545,losing_lt_025,0.00038000709105614333,losing_lt_025
pool1ka8q6my2a5fennpr2nmrj5yzma27d2fkev8lmpfq90kxzjszwgm,,366.625702,True,True,0.00014692258028934982,losing_lt_025,0.00014692262163530116,losing_lt_025,0.000119374697265734,losing_lt_025,0.00011937463007856304,losing_lt_025
pool1kccqxg032r6dcqqpvmv87azttcug5ug6cur9pa7qkuwc5ze4pxa,HUDO,29017.70999,True,True,0.011628632697601416,losing_lt_025,0.011628632697601416,losing_lt_025,0.00944826406680115,losing_lt_025,0.00944826406680115,losing_lt_025
pool1kcrpxr6rqyqu0zlpdflma4565qrxtz4u4whcqhsan6335g5uext,GLOBA,32.479113,True,True,1.3015764406203706e-05,losing_lt_025,1.3015764455018467e-05,losing_lt_025,1.0575308699026493e-05,losing_lt_025,1.0575308619702505e-05,losing_lt_025
pool1kcrr7re05pwesye0zh00a4xxnsrw5c29rd82fn4qecdcqu5rue3,4WARD,439538.566146,True,True,0.17621647237728127,losing_lt_025,0.17629181800978616,losing_lt_025,0.14335896733226086,losing_lt_025,0.14323653067944037,losing_lt_025
pool1kcvaxe4q4npwt28qlr3h84htjf4qrqglqk3cr2484ptycr0ldut,RRC,55591953.86676,True,False,1.549735304924347,edge,1.212550551061075,edge,1.0669158384792525,edge,1.340878450993161,edge
pool1kcw2kqj27qe7ntsz9fhvyvyvpf7prclwc5jq4cw0qydh7cygcek,IOGP,0.0,False,True,0.0,excluded,0.0,excluded,0.0,excluded,0.0,excluded
pool1kcwfpv65agclgu9p6eetn6x4q0zexzgr5v2cl9255qlwjjqr56v,,1.77386,False,True,0.0,excluded,0.0,excluded,0.0,excluded,0.0,excluded
pool1kdfznpenxa9wwcz8tweump45k5h78h8hl4slv78fdypsug9ypc6,DOW,357360.789813,True,True,0.14321508114647874,losing_lt_025,0.14322046982552383,losing_lt_025,0.11637538717515533,losing_lt_025,0.11636663057170706,losing_lt_025
pool1kdhhrsl8av6gzr7vrf5q06pwlrsr8646wkjkg0h550tw6vxf8mv,VIVA,32094.476337,True,True,0.012861648555999904,losing_lt_025,0.01286167305330822,losing_lt_025,0.010450149163678153,losing_lt_025,0.010450109355552137,losing_lt_025
pool1kdr3lv2e7h5tx3gp3fwrpxhaj8cxh7v422uwj84enqxf6j5flj7,REYTS,400.299099,True,True,0.0001604169503499684,losing_lt_025,0.00016041699691768423,losing_lt_025,0.00013033888566802655,losing_lt_025,0.00013033880999548832,losing_lt_025
pool1keasvddt9vndl8jyhg204s6kqusv5zgzg3kk3l3g949ew402ahe,UPSTR,261145.155441,True,True,0.10465771656647258,losing_lt_025,0.10466344556324869,losing_lt_025,0.08504835723009843,losing_lt_025,0.08503904761033725,losing_lt_025
pool1kez2gdqpwq2d3xd5k5q4enea59sp8tmgqsyt0rtmgxvuyykz8qg,CSPS1,561.645229,False,True,0.0,excluded,0.0,excluded,0.0,excluded,0.0,excluded
pool1kf0c6a38vy9t7muc2jpfefdc0y6ey8386ujtn6rtly25y5yxwqf,FGMTC,1026353.314341,True,True,0.24757869333981303,losing_lt_025,0.24757869333981333,losing_lt_025,0.23986608856595668,losing_lt_025,0.23986608856595612,losing_lt_025
pool1kffetqjt06qvk4995tz3e3q9h3c8cdq9eedrz8qr3ynnc63qckz,LUNA,768545.594961,True,True,0.3079901541710784,losing_025_050,0.30799134445256077,losing_025_050,0.2502449015501345,losing_025_050,0.2502429673427256,losing_025_050
pool1kftku3r6truhvjm75gsh9pm33zfv7nuwas88m5sxqqknyyj82gf,NORBY,4406.979749,False,True,0.0,excluded,0.0,excluded,0.0,excluded,0.0,excluded
pool1kfu02878dsz2l2pml9r42fvh32l4zn3msjvgfx077q3yx2xgul8,WOMEN,10738.508606,False,True,0.0,excluded,0.0,excluded,0.0,excluded,0.0,excluded
pool1khwvcz8jz9auk53k698ywgr6ams27hrz20vnwqx2d4xggscp93f,CBUS,1252857.377449,True,True,0.46678855982573436,losing_025_050,0.4667902147357386,losing_025_050,0.4080893853385071,losing_025_050,0.40801195726724404,losing_025_050
pool1khyv2zj3asyhz76a4r2ky42sdxn3gqu3lcyw3sj74trmwhlc5ud,PALMA,764030.001311,True,True,0.3062347737905058,losing_025_050,0.3062902508340202,losing_025_050,0.24895091691511587,losing_lt_025,0.2488607667194051,losing_lt_025
pool1kjd9ff9u5ytq4atavv2dfsg3pvxqw8d50642pzmpn386zel0ka8,HASH,433160.211263,True,True,0.1736378631714251,losing_lt_025,0.17369015158642168,losing_lt_025,0.14120807321823498,losing_lt_025,0.14112310454386548,losing_lt_025
pool1kjhpg98jhm08usqg4sh5x9esa595apyw75qczyjp3z24g0cdate,,12059156.057595,True,True,0.5061128049592915,losing_050_075,0.5061129173765287,losing_050_075,0.4516411042706835,losing_025_050,0.4516409215926728,losing_025_050
pool1kkfkdces5mdcyc9dn2hgg3463jggjvw3h89nejjarkz25uavaqu,1PCT9,16408785.271812,True,True,0.5424173366353234,losing_050_075,0.5424347113284904,losing_050_075,0.525599868387047,losing_050_075,0.5255716345106507,losing_050_075
pool1kkmk9dnzrrjtnsejttydecmq63x4dpkln70yfledaednj7mf7rk,LUM,548135.583956,True,True,0.2196629757357619,losing_lt_025,0.21966466965565823,losing_lt_025,0.1784802966437895,losing_lt_025,0.178477544023958,losing_lt_025
pool1kkqc725ffjcarn2ycawan340fkf476276c5yxy9nw3u5x3xluyg,,201.640658,True,True,8.080600310509078e-05,losing_lt_025,8.080600361440946e-05,losing_lt_025,6.56548787640884e-05,losing_lt_025,6.565487793644554e-05,losing_lt_025
pool1kks6sgxvx7p6fe3hhnne68xzwa9jg8qgy50yt3w3lrelvns7390,lido,630859.941025,True,True,0.25281343300523024,losing_025_050,0.2528144097688746,losing_025_050,0.20541329515762793,losing_lt_025,0.20541170791670577,losing_lt_025
pool1kkwd6say8twq3z9e36v57adw02j2x52ascd6eumxy5zd66qm4fa,NDE,11271.452921,True,True,0.004516951582299151,losing_lt_025,0.004516951756930923,losing_lt_025,0.003670023586282968,losing_lt_025,0.0036700233025063387,losing_lt_025
pool1kl2vuauwfc5k0avf874ym5tcm04ywa22frleszhujeccj4va3lt,,70092705.538052,True,False,1.865315731162297,edge,1.2262056974827658,edge,1.0779327303807094,edge,1.5972096327453287,edge
pool1kl7qlqtzxamrj8qwutn6ww0ksw3m7chwuewztqr6uu6yz0nuqtn,,7065.623281,True,True,0.002831505686934547,losing_lt_025,0.002831515093339601,losing_lt_025,0.002300621298516985,losing_lt_025,0.0023006060131087716,losing_lt_025
pool1kllc67fn00yqpffw8e9dqnlcaa733h9u5nwx97vhtjlw2t5e56j,KEEN,9.892022,False,True,0.0,excluded,0.0,excluded,0.0,excluded,0.0,excluded
pool1klq8yy3rr6k4ez7uwkzz5ku3yuym3eeg6g2ne3p9f4hnzfycfkl,,47.868172,True,True,1.9182815952238708e-05,losing_lt_025,1.9182815952238708e-05,losing_lt_025,1.558603796119395e-05,losing_lt_025,1.558603796119395e-05,losing_lt_025
pool1km88m74x0l6gax9whuw9v86ftejwztxyg4arfh5cartjv8eqsze,,100.380823,True,True,4.022687257769181e-05,losing_lt_025,4.0226872636806386e-05,losing_lt_025,3.268433411343375e-05,losing_lt_025,3.2684334017372566e-05,losing_lt_025
pool1kmmahq4upmm5j8fkh3xa9vd7gdffkp8pd4axucfh4w4dw549yqe,,77026458.26547,True,False,39.29782907648058,strong,20.194680144679406,strong,20.19468014467941,strong,38.77889811271403,strong
pool1kmsr376syqkluhxvv8k2axugqw7unjmlkwhfxjxtj7cw7qcn0jn,CRDN3,15509410.949401,True,True,0.6108801785827251,losing_050_075,0.610943539223147,losing_050_075,0.5802419163710894,losing_050_075,0.5801389553304038,losing_050_075
pool1kn059wyuuff0srprtvufv327th542l4c25e5hhcmwlsjymwr32d,,504.68367,True,True,0.00020224825233902829,losing_lt_025,0.00020224825597809016,losing_lt_025,0.00016432671389157285,losing_lt_025,0.00016432670797809733,losing_lt_025
pool1knwd92dnngrypyvj3egguuxtl8g8elxarlvaqsyjewvh7sjla2g,,14144.899478,True,True,0.0056684668568383004,losing_lt_025,0.005668469957988291,losing_lt_025,0.004605636789996306,losing_lt_025,0.00460563175062757,losing_lt_025
